player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Michele Di Gregorio,it ITA,GK,Juventus,27-027,1997,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,21.0,4.0,14.3,24.7,7.0,42.9,37.3,10.0,1.0,10.0,0.0,0.0,4.0
Wladimiro Falcone,it ITA,GK,Lecce,29-133,1995,1.0,1.0,90.0,4.0,4.0,6.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4,0.27,-1.6,-1.65,4.0,10.0,40.0,24.0,4.0,37.5,34.5,2.0,50.0,31.5,9.0,0.0,0.0,1.0,1.0,16.0
Pierluigi Gollini,it ITA,GK,Genoa,29-158,1995,1.0,1.0,90.0,2.0,2.0,7.0,5.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.9,0.41,0.9,0.89,6.0,19.0,31.6,26.0,3.0,50.0,40.0,7.0,85.7,60.4,17.0,1.0,5.9,0.0,0.0,4.0
Jesse Joronen,fi FIN,GK,Venezia,31-155,1993,1.0,1.0,90.0,3.0,3.0,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5,0.12,-0.5,-0.49,1.0,6.0,16.7,23.0,4.0,21.7,26.2,7.0,14.3,27.4,21.0,0.0,0.0,1.0,1.0,16.5
Mike Maignan,fr FRA,GK,Milan,29-051,1995,1.0,1.0,90.0,2.0,2.0,3.0,2.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.3,0.44,0.3,0.32,3.0,4.0,75.0,28.0,8.0,10.7,24.4,2.0,50.0,41.0,7.0,1.0,14.3,4.0,4.0,22.0
Alex Meret,it ITA,GK,Napoli,27-154,1997,1.0,1.0,90.0,3.0,3.0,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.75,0.0,0.01,0.0,3.0,0.0,26.0,8.0,3.8,21.2,8.0,25.0,24.3,5.0,1.0,20.0,2.0,2.0,21.2
Vanja Milinković-Savić,rs SRB,GK,Torino,27-185,1997,1.0,1.0,90.0,2.0,2.0,5.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.17,-1.2,-1.15,5.0,23.0,21.7,46.0,8.0,34.8,34.8,12.0,58.3,55.4,30.0,1.0,3.3,0.0,0.0,9.4
Lorenzo Montipò,it ITA,GK,Hellas Verona,28-185,1996,1.0,1.0,90.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.17,0.7,0.66,6.0,30.0,20.0,27.0,1.0,74.1,49.8,10.0,100.0,65.4,17.0,0.0,0.0,1.0,1.0,13.5
Juan Musso,ar ARG,GK,Atalanta,30-109,1994,1.0,1.0,90.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.19,0.7,0.74,4.0,20.0,20.0,19.0,4.0,36.8,33.1,14.0,92.9,56.9,15.0,0.0,0.0,1.0,1.0,17.5
Maduka Okoye,ng NGA,GK,Udinese,24-361,1999,1.0,1.0,90.0,1.0,1.0,6.0,5.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.2,0.22,1.2,1.16,2.0,14.0,14.3,18.0,2.0,55.6,45.8,4.0,100.0,65.0,25.0,2.0,8.0,0.0,0.0,5.5
