player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Simone Aresti,it ITA,GK,Cagliari,37,1986,1.0,0.0,1.0,1.0,90.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.21,0.0,1.0,0.0,1.0,0.0,100.0,64.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Emil Audero,it ITA,GK,Inter,26,1997,4.0,4.0,337.0,3.0,0.8,11.0,8.0,72.7,2.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,3.1,0.28,0.1,0.02,6.0,24.0,25.0,177.0,28.0,11.9,24.6,18.0,16.7,27.2,54.0,6.0,11.1,2.0,0.53,10.2
Nicola Bagnolini,it ITA,GK,Bologna,19,2004,1.0,0.0,5.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.02,0.0,0.36,1.0,2.0,50.0,1.0,0.0,100.0,47.0,2.0,50.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
Etrit Berisha,al ALB,GK,Empoli,34,1989,14.0,14.0,1260.0,25.0,1.79,74.0,49.0,68.9,3.0,3.0,8.0,4.0,28.6,3.0,2.0,1.0,0.0,14.0,0.0,5.0,1.0,20.7,0.24,-3.3,-0.24,44.0,184.0,23.9,400.0,75.0,34.8,33.0,90.0,50.0,40.8,236.0,11.0,4.7,10.0,0.71,12.4
Elia Caprile,it ITA,GK,Empoli,21,2001,23.0,23.0,2070.0,27.0,1.17,106.0,78.0,78.3,6.0,6.0,11.0,5.0,21.7,5.0,4.0,1.0,0.0,23.0,0.0,5.0,0.0,27.6,0.22,0.6,0.02,117.0,350.0,33.4,657.0,137.0,40.3,36.8,159.0,53.5,45.1,391.0,31.0,7.9,20.0,0.87,13.3
Marco Carnesecchi,it ITA,GK,Atalanta,23,2000,27.0,27.0,2425.0,30.0,1.11,107.0,75.0,75.7,15.0,5.0,7.0,8.0,29.6,7.0,4.0,2.0,1.0,26.9,0.0,2.0,0.0,29.3,0.22,-0.7,-0.03,121.0,338.0,35.8,680.0,142.0,30.6,33.8,193.0,67.4,51.7,332.0,20.0,6.0,39.0,1.45,14.7
Michele Cerofolini,it ITA,GK,Frosinone,24,1999,8.0,7.0,675.0,11.0,1.47,28.0,18.0,60.7,2.0,2.0,3.0,3.0,42.9,1.0,0.0,0.0,1.0,7.5,0.0,1.0,1.0,5.9,0.22,-4.1,-0.55,18.0,100.0,18.0,171.0,28.0,47.4,37.2,38.0,50.0,42.8,126.0,4.0,3.2,7.0,0.93,14.3
Oliver Christensen,dk DEN,GK,Fiorentina,24,1999,4.0,4.0,360.0,9.0,2.25,19.0,10.0,63.2,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,4.7,0.15,-4.3,-1.08,23.0,61.0,37.7,170.0,15.0,31.8,31.0,20.0,35.0,33.7,32.0,1.0,3.1,9.0,2.25,19.5
Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35.0,35.0,3150.0,68.0,1.94,159.0,93.0,61.6,6.0,8.0,21.0,3.0,8.6,10.0,7.0,1.0,2.0,35.0,1.0,7.0,3.0,51.7,0.28,-13.3,-0.38,172.0,540.0,31.9,982.0,143.0,42.3,36.9,252.0,49.6,41.2,545.0,23.0,4.2,22.0,0.63,11.8
Nikita Contini Baranovsky,it ITA,GK,Napoli,27,1996,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,17.0,1.0,0.0,15.0,1.0,0.0,0.0,3.0,15.88,37.0
