player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Tammy Abraham,eng ENG,FW,Roma,25,1997,8.0,2.0,242.0,1.0,0.0,0.0,0.0,1.0,0.0,0.37,0.0,0.37,0.37,0.37,0.6,0.6,0.22,0.22,2.7,2.0,0.0,50.0,0.74,0.25,0.5,0.15,0.4,0.4,19.0,40.0,47.5,231.0,75.0,14.0,25.0,56.0,4.0,9.0,44.4,0.0,1.0,0.0,3.0,1.0,1.0,0.0,4.0,37.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.12,1.0,0.0,0.0,1.0,1.0,0.37,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,69.0,4.0,4.0,31.0,34.0,9.0,69.0,37.0,6.0,2.0,2.0,53.0,9.0,2.0,0.0,6.0,5.0,2.0,1.0,0.0,0.0,1.0,6.0,5.0,54.5
Francesco Acerbi,it ITA,DF,Inter,35,1988,29.0,26.0,2388.0,3.0,1.0,0.0,0.0,1.0,0.0,0.11,0.04,0.15,0.11,0.15,1.6,1.6,0.06,0.06,26.5,6.0,0.0,40.0,0.23,0.2,0.5,0.11,1.4,1.4,1615.0,1781.0,90.7,29326.0,9174.0,601.0,650.0,92.5,856.0,908.0,94.3,132.0,179.0,73.7,7.0,58.0,5.0,2.0,87.0,1719.0,60.0,43.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,8.0,2.0,5.0,22.0,0.83,19.0,0.0,3.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,22.0,13.0,16.0,6.0,0.0,20.0,13.0,7.0,32.0,77.0,1.0,1977.0,219.0,941.0,946.0,98.0,25.0,1977.0,1211.0,21.0,11.0,0.0,1446.0,4.0,1.0,0.0,19.0,24.0,3.0,0.0,0.0,0.0,102.0,70.0,37.0,65.4
Yacine Adli,fr FRA,MF,Milan,23,2000,24.0,17.0,1407.0,1.0,2.0,0.0,0.0,3.0,0.0,0.06,0.13,0.19,0.06,0.19,0.3,0.3,0.02,0.02,15.6,1.0,0.0,25.0,0.06,0.25,1.0,0.07,0.7,0.7,1125.0,1300.0,86.5,20142.0,6752.0,489.0,534.0,91.6,487.0,534.0,91.2,120.0,177.0,67.8,22.0,149.0,16.0,6.0,125.0,1220.0,78.0,36.0,3.0,16.0,50.0,35.0,11.0,12.0,0.0,7.0,2.0,14.0,62.0,3.97,41.0,18.0,0.0,0.0,8.0,0.51,4.0,3.0,0.0,0.0,0.0,34.0,17.0,17.0,13.0,4.0,22.0,8.0,14.0,20.0,15.0,1.0,1439.0,38.0,262.0,913.0,281.0,8.0,1439.0,873.0,30.0,27.0,3.0,1053.0,18.0,10.0,0.0,26.0,9.0,1.0,0.0,1.0,0.0,94.0,15.0,10.0,60.0
Michel Aebischer,ch SUI,MF,Bologna,26,1997,36.0,26.0,2230.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.04,0.04,0.0,0.04,1.1,1.1,0.04,0.04,24.8,5.0,0.0,27.8,0.2,0.0,0.0,0.06,-1.1,-1.1,1370.0,1503.0,91.2,21535.0,5798.0,729.0,773.0,94.3,525.0,562.0,93.4,79.0,103.0,76.7,17.0,117.0,9.0,1.0,125.0,1447.0,53.0,34.0,3.0,5.0,12.0,6.0,3.0,0.0,0.0,13.0,3.0,17.0,40.0,1.61,32.0,2.0,2.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,35.0,20.0,9.0,20.0,6.0,28.0,6.0,22.0,12.0,22.0,0.0,1694.0,51.0,405.0,1032.0,270.0,23.0,1694.0,1040.0,26.0,23.0,3.0,1308.0,27.0,19.0,0.0,37.0,30.0,0.0,0.0,0.0,0.0,135.0,11.0,16.0,40.7
Lucien Agoume,fr FRA,MF,Inter,21,2002,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,75.0,7.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,4.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Marley Aké,fr FRA,FW,Udinese,22,2001,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,87.5,83.0,45.0,6.0,6.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,6.0,1.0,0.0,9.0,9.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30,1992,19.0,8.0,705.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.07,0.07,7.8,3.0,0.0,42.9,0.38,0.0,0.0,0.08,-0.5,-0.5,220.0,263.0,83.7,3557.0,826.0,113.0,128.0,88.3,95.0,104.0,91.3,12.0,15.0,80.0,1.0,14.0,0.0,0.0,10.0,260.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.64,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,14.0,4.0,2.0,10.0,4.0,6.0,12.0,15.0,1.0,348.0,22.0,111.0,187.0,58.0,5.0,348.0,189.0,11.0,9.0,1.0,215.0,13.0,7.0,0.0,15.0,5.0,0.0,0.0,1.0,0.0,29.0,5.0,7.0,41.7
David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,6.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,88.9,85.0,20.0,2.0,3.0,66.7,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,2.0,6.0,10.0,1.0,17.0,12.0,3.0,1.0,1.0,10.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Luis Alberto,es ESP,MF,Lazio,30,1992,33.0,29.0,2311.0,5.0,7.0,0.0,0.0,7.0,0.0,0.19,0.27,0.47,0.19,0.47,4.7,4.7,0.18,0.18,25.7,15.0,4.0,26.8,0.58,0.09,0.33,0.08,0.3,0.3,1303.0,1679.0,77.6,20459.0,6568.0,711.0,797.0,89.2,442.0,538.0,82.2,104.0,239.0,43.5,64.0,172.0,48.0,4.0,212.0,1452.0,215.0,71.0,14.0,6.0,150.0,114.0,45.0,54.0,0.0,13.0,12.0,28.0,118.0,4.6,81.0,29.0,7.0,0.0,9.0,0.35,8.0,1.0,0.0,0.0,0.0,35.0,20.0,16.0,12.0,7.0,34.0,4.0,30.0,7.0,13.0,0.0,1904.0,23.0,231.0,1004.0,690.0,61.0,1904.0,1018.0,83.0,62.0,10.0,1383.0,33.0,24.0,0.0,16.0,23.0,6.0,0.0,0.0,0.0,140.0,10.0,19.0,34.5
