team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atalanta,29.0,51.1,38.0,418.0,3420.0,72.0,57.0,5.0,5.0,76.0,1.0,1.89,1.5,3.39,1.76,3.26,57.8,53.9,1.52,1.42,38.0,38.0,3420.0,42.0,1.11,142.0,99.0,74.6,21.0,6.0,11.0,15.0,39.5,9.0,6.0,2.0,1.0,38.0,0.0,4.0,1.0,39.8,0.23,-1.2,-0.03,161.0,459.0,35.1,974.0,213.0,28.9,29.6,270.0,65.9,50.1,444.0,30.0,6.8,55.0,1.45,16.7,197.0,6.0,36.5,5.18,0.12,0.34,0.1,14.2,13.1,16051.0,19961.0,80.4,281418.0,100413.0,7280.0,8321.0,87.5,6956.0,7989.0,87.1,1466.0,2642.0,55.5,437.0,1223.0,381.0,114.0,1754.0,18129.0,1769.0,439.0,42.0,124.0,710.0,210.0,103.0,67.0,1.0,772.0,63.0,382.0,971.0,25.55,735.0,80.0,55.0,32.0,128.0,3.37,103.0,9.0,7.0,6.0,1.0,613.0,369.0,273.0,249.0,91.0,483.0,119.0,364.0,340.0,614.0,7.0,24136.0,2222.0,7494.0,10658.0,6186.0,912.0,24131.0,13093.0,715.0,519.0,175.0,15915.0,621.0,377.0,1.0,486.0,367.0,63.0,4.0,9.0,1.0,2023.0,627.0,491.0,56.1
Bologna,28.0,58.1,38.0,418.0,3420.0,52.0,32.0,4.0,5.0,85.0,2.0,1.37,0.84,2.21,1.26,2.11,47.9,44.0,1.26,1.16,38.0,38.0,3420.0,32.0,0.84,125.0,91.0,76.8,18.0,14.0,6.0,17.0,44.7,7.0,3.0,2.0,2.0,38.0,2.0,3.0,1.0,32.1,0.23,1.1,0.03,118.0,348.0,33.9,941.0,159.0,26.5,29.6,285.0,34.7,33.2,505.0,13.0,2.6,19.0,0.5,12.2,159.0,19.0,33.7,4.18,0.1,0.3,0.1,4.1,4.0,19125.0,22504.0,85.0,315900.0,100821.0,9408.0,10260.0,91.7,7744.0,8573.0,90.3,1415.0,2441.0,58.0,356.0,1267.0,256.0,55.0,1453.0,20652.0,1797.0,523.0,32.0,137.0,510.0,165.0,100.0,51.0,1.0,755.0,55.0,414.0,823.0,21.66,611.0,64.0,52.0,30.0,78.0,2.05,50.0,1.0,13.0,6.0,0.0,633.0,385.0,299.0,267.0,67.0,426.0,113.0,313.0,258.0,677.0,17.0,26519.0,2580.0,8682.0,12696.0,5367.0,718.0,26514.0,15952.0,660.0,485.0,149.0,18969.0,542.0,311.0,2.0,458.0,456.0,55.0,3.0,7.0,1.0,1769.0,416.0,413.0,50.2
Cagliari,29.0,42.1,38.0,418.0,3420.0,41.0,30.0,4.0,6.0,77.0,4.0,1.08,0.79,1.87,0.97,1.76,42.9,38.4,1.13,1.01,38.0,38.0,3420.0,68.0,1.79,157.0,92.0,59.2,8.0,12.0,18.0,5.0,13.2,5.0,4.0,0.0,1.0,38.0,3.0,10.0,3.0,56.2,0.34,-8.8,-0.23,202.0,544.0,37.1,838.0,137.0,42.1,64.0,312.0,61.2,45.9,583.0,28.0,4.8,24.0,0.63,0.0,127.0,15.0,28.7,3.34,0.08,0.29,0.09,-1.9,-1.4,10731.0,14709.0,73.0,205047.0,81881.0,4427.0,5206.0,85.0,4662.0,5786.0,80.6,1441.0,2966.0,48.6,330.0,863.0,260.0,125.0,1109.0,12744.0,1901.0,505.0,34.0,134.0,852.0,175.0,46.0,111.0,2.0,804.0,64.0,308.0,785.0,20.66,550.0,80.0,54.0,43.0,70.0,1.84,44.0,5.0,10.0,3.0,2.0,540.0,315.0,272.0,203.0,65.0,373.0,113.0,260.0,265.0,816.0,12.0,18599.0,2190.0,6532.0,7916.0,4352.0,669.0,18593.0,9241.0,529.0,339.0,111.0,10603.0,545.0,338.0,2.0,464.0,418.0,64.0,3.0,5.0,3.0,1774.0,571.0,613.0,48.2
Empoli,34.0,44.0,38.0,418.0,3420.0,26.0,19.0,5.0,5.0,88.0,1.0,0.68,0.5,1.18,0.55,1.05,36.2,32.4,0.95,0.85,38.0,38.0,3420.0,54.0,1.42,185.0,130.0,74.1,9.0,9.0,20.0,9.0,23.7,8.0,6.0,2.0,0.0,38.0,0.0,10.0,1.0,48.9,0.22,-4.1,-0.11,162.0,542.0,29.9,1031.0,220.0,39.8,33.0,309.0,42.7,37.7,645.0,42.0,6.5,31.0,0.82,12.4,112.0,22.0,27.1,2.95,0.05,0.19,0.08,-10.2,-11.4,11571.0,15348.0,75.4,210427.0,82600.0,4961.0,5759.0,86.1,5094.0,6059.0,84.1,1240.0,2680.0,46.3,297.0,827.0,206.0,74.0,1056.0,13346.0,1920.0,550.0,36.0,53.0,672.0,176.0,52.0,92.0,0.0,795.0,82.0,331.0,717.0,18.87,480.0,84.0,48.0,57.0,46.0,1.21,30.0,3.0,4.0,6.0,0.0,618.0,378.0,311.0,227.0,80.0,462.0,154.0,308.0,263.0,840.0,9.0,19509.0,2513.0,7254.0,8232.0,4223.0,643.0,19504.0,10396.0,524.0,356.0,142.0,11485.0,543.0,304.0,1.0,524.0,514.0,82.0,4.0,8.0,1.0,1623.0,509.0,628.0,44.8
Fiorentina,30.0,57.3,38.0,418.0,3420.0,60.0,41.0,4.0,8.0,80.0,0.0,1.58,1.08,2.66,1.47,2.55,51.7,45.4,1.36,1.19,38.0,38.0,3420.0,46.0,1.21,148.0,101.0,74.3,17.0,9.0,12.0,8.0,21.1,9.0,8.0,1.0,0.0,38.0,3.0,5.0,0.0,44.9,0.25,-1.1,-0.03,187.0,443.0,42.2,1217.0,135.0,29.5,31.0,200.0,42.0,37.2,339.0,8.0,2.4,32.0,0.84,19.5,171.0,13.0,33.2,4.5,0.11,0.33,0.09,8.3,10.6,16143.0,19926.0,81.0,305931.0,102859.0,6363.0,7188.0,88.5,7493.0,8539.0,87.8,1990.0,3276.0,60.7,395.0,1327.0,374.0,103.0,1656.0,18034.0,1835.0,540.0,50.0,145.0,748.0,199.0,45.0,104.0,1.0,813.0,57.0,360.0,910.0,23.95,679.0,79.0,59.0,44.0,106.0,2.79,71.0,11.0,10.0,5.0,1.0,564.0,320.0,242.0,231.0,91.0,388.0,81.0,307.0,236.0,509.0,8.0,23609.0,2091.0,6719.0,10823.0,6269.0,911.0,23601.0,13966.0,621.0,541.0,162.0,15951.0,543.0,331.0,0.0,459.0,450.0,57.0,6.0,9.0,0.0,1718.0,626.0,603.0,50.9
Frosinone,34.0,49.7,38.0,418.0,3420.0,44.0,29.0,8.0,10.0,68.0,2.0,1.16,0.76,1.92,0.95,1.71,45.8,37.9,1.2,1.0,38.0,38.0,3420.0,69.0,1.82,180.0,112.0,64.4,8.0,11.0,19.0,7.0,18.4,8.0,5.0,1.0,2.0,38.0,0.0,11.0,2.0,53.4,0.27,-13.6,-0.36,90.0,416.0,21.6,956.0,175.0,34.6,37.2,316.0,26.9,27.1,538.0,22.0,4.1,26.0,0.68,14.3,147.0,18.0,32.0,3.87,0.08,0.24,0.08,-1.8,-1.9,13740.0,17545.0,78.3,226596.0,87424.0,6769.0,7660.0,88.4,5457.0,6523.0,83.7,1085.0,2330.0,46.6,350.0,962.0,279.0,69.0,1326.0,15536.0,1961.0,525.0,50.0,55.0,524.0,213.0,69.0,63.0,3.0,800.0,48.0,352.0,801.0,21.08,572.0,82.0,41.0,39.0,75.0,1.97,46.0,10.0,4.0,9.0,3.0,545.0,322.0,244.0,225.0,76.0,439.0,143.0,296.0,241.0,789.0,14.0,21725.0,2575.0,7362.0,9638.0,4917.0,700.0,21715.0,11251.0,563.0,414.0,147.0,13600.0,578.0,348.0,1.0,388.0,442.0,48.0,8.0,8.0,2.0,1780.0,518.0,602.0,46.3
Genoa,34.0,44.1,38.0,418.0,3420.0,43.0,27.0,5.0,6.0,79.0,3.0,1.13,0.71,1.84,1.0,1.71,35.7,31.0,0.94,0.82,38.0,38.0,3420.0,45.0,1.18,139.0,94.0,69.8,12.0,13.0,13.0,9.0,23.7,4.0,3.0,1.0,0.0,38.0,1.0,4.0,1.0,41.6,0.28,-2.4,-0.06,245.0,634.0,38.6,1174.0,110.0,43.6,35.9,325.0,37.5,32.2,609.0,48.0,7.9,41.0,1.08,12.2,119.0,21.0,30.0,3.13,0.1,0.32,0.08,7.3,7.0,12053.0,15765.0,76.5,219285.0,85245.0,5128.0,5934.0,86.4,5142.0,6121.0,84.0,1379.0,2710.0,50.9,300.0,865.0,223.0,75.0,1079.0,13987.0,1731.0,487.0,21.0,72.0,610.0,142.0,50.0,73.0,3.0,695.0,47.0,309.0,705.0,18.55,448.0,105.0,57.0,58.0,75.0,1.97,53.0,3.0,10.0,4.0,0.0,625.0,352.0,315.0,247.0,63.0,462.0,162.0,300.0,332.0,796.0,11.0,19810.0,2525.0,7228.0,8554.0,4197.0,577.0,19804.0,10592.0,468.0,367.0,83.0,11911.0,577.0,293.0,3.0,450.0,406.0,47.0,3.0,4.0,1.0,1643.0,610.0,543.0,52.9
Hellas Verona,36.0,44.4,38.0,418.0,3420.0,38.0,29.0,3.0,7.0,88.0,6.0,1.0,0.76,1.76,0.92,1.68,38.0,32.4,1.0,0.85,38.0,38.0,3420.0,51.0,1.34,163.0,113.0,69.9,9.0,11.0,18.0,8.0,21.1,2.0,2.0,0.0,0.0,38.0,0.0,6.0,1.0,43.5,0.26,-6.5,-0.17,331.0,791.0,41.8,983.0,111.0,55.6,41.1,319.0,76.5,55.3,492.0,22.0,4.5,45.0,1.18,15.3,146.0,13.0,33.6,3.84,0.08,0.24,0.08,0.0,2.6,10639.0,14710.0,72.3,211949.0,86317.0,4116.0,5023.0,81.9,4666.0,5727.0,81.5,1618.0,3113.0,52.0,335.0,958.0,216.0,92.0,1122.0,12799.0,1850.0,538.0,24.0,153.0,724.0,143.0,37.0,86.0,0.0,761.0,61.0,318.0,777.0,20.45,546.0,91.0,42.0,40.0,69.0,1.82,46.0,6.0,4.0,4.0,4.0,621.0,387.0,302.0,245.0,74.0,414.0,133.0,281.0,302.0,784.0,15.0,18925.0,2169.0,6433.0,8621.0,4096.0,598.0,18918.0,9744.0,539.0,383.0,113.0,10514.0,595.0,284.0,2.0,541.0,447.0,61.0,4.0,2.0,1.0,1842.0,750.0,644.0,53.8
Inter,27.0,57.1,38.0,418.0,3420.0,87.0,60.0,13.0,14.0,46.0,1.0,2.29,1.58,3.87,1.95,3.53,78.2,67.4,2.06,1.77,38.0,38.0,3420.0,22.0,0.58,113.0,90.0,82.3,29.0,7.0,2.0,21.0,55.3,4.0,2.0,1.0,1.0,38.0,0.0,3.0,0.0,29.2,0.23,7.2,0.19,111.0,252.0,44.0,1196.0,151.0,16.9,26.1,249.0,20.1,25.8,453.0,24.0,5.3,16.0,0.42,12.1,196.0,19.0,33.8,5.16,0.13,0.38,0.12,8.8,6.6,19136.0,22447.0,85.2,332897.0,109819.0,8631.0,9446.0,91.4,8159.0,9056.0,90.1,1839.0,2800.0,65.7,440.0,1288.0,437.0,116.0,1620.0,20739.0,1631.0,439.0,61.0,165.0,804.0,228.0,96.0,94.0,0.0,655.0,77.0,351.0,1059.0,27.87,819.0,85.0,68.0,47.0,152.0,4.0,109.0,9.0,10.0,13.0,4.0,540.0,321.0,252.0,219.0,69.0,365.0,116.0,249.0,280.0,576.0,7.0,26069.0,2583.0,8234.0,11755.0,6248.0,1016.0,26055.0,15793.0,720.0,568.0,163.0,18981.0,474.0,230.0,0.0,405.0,408.0,77.0,11.0,4.0,0.0,1602.0,535.0,370.0,59.1
Juventus,31.0,48.5,38.0,418.0,3420.0,52.0,37.0,3.0,5.0,87.0,2.0,1.37,0.97,2.34,1.29,2.26,54.6,50.6,1.44,1.33,38.0,38.0,3420.0,31.0,0.82,116.0,86.0,75.0,19.0,14.0,5.0,17.0,44.7,3.0,2.0,1.0,0.0,38.0,0.0,4.0,2.0,30.1,0.24,1.1,0.03,154.0,360.0,42.8,768.0,144.0,36.6,29.4,321.0,24.6,28.7,601.0,28.0,4.7,23.0,0.61,16.7,146.0,19.0,27.5,3.84,0.09,0.34,0.1,-2.6,-1.6,14757.0,18079.0,81.6,274823.0,94184.0,5963.0,6728.0,88.6,6820.0,7755.0,87.9,1727.0,2762.0,62.5,417.0,1191.0,296.0,105.0,1473.0,16332.0,1675.0,397.0,35.0,156.0,708.0,193.0,53.0,106.0,0.0,695.0,72.0,320.0,936.0,24.63,669.0,89.0,68.0,38.0,87.0,2.29,54.0,6.0,14.0,6.0,3.0,577.0,369.0,270.0,233.0,74.0,375.0,124.0,251.0,253.0,725.0,4.0,22069.0,2211.0,6537.0,10295.0,5425.0,881.0,22064.0,12535.0,709.0,501.0,183.0,14597.0,553.0,307.0,1.0,478.0,376.0,72.0,3.0,3.0,2.0,1656.0,486.0,434.0,52.8
