team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Atalanta,29.0,48.9,38.0,418.0,3420.0,41.0,32.0,6.0,9.0,67.0,1.0,1.08,0.84,1.92,0.92,1.76,41.1,34.1,1.08,0.9,38.0,38.0,3420.0,72.0,1.89,202.0,130.0,66.8,11.0,6.0,21.0,4.0,10.5,5.0,5.0,0.0,0.0,38.0,1.0,10.0,0.0,60.0,0.28,-12.0,-0.32,209.0,643.0,32.5,1289.0,128.0,40.7,36.6,308.0,38.3,35.2,528.0,24.0,4.5,30.0,0.79,13.8,134.0,17.0,30.2,3.53,0.08,0.26,0.08,-0.1,0.9,15167.0,19162.0,79.2,266542.0,98033.0,6856.0,7718.0,88.8,6412.0,7447.0,86.1,1494.0,2927.0,51.0,322.0,1021.0,221.0,63.0,1174.0,17161.0,1943.0,517.0,52.0,84.0,571.0,147.0,71.0,56.0,0.0,862.0,58.0,412.0,785.0,20.66,574.0,67.0,47.0,48.0,76.0,2.0,51.0,6.0,5.0,7.0,2.0,647.0,414.0,330.0,249.0,68.0,457.0,125.0,332.0,340.0,704.0,12.0,23409.0,2610.0,8227.0,10686.0,4722.0,611.0,23400.0,12082.0,559.0,407.0,129.0,14996.0,634.0,322.0,1.0,395.0,454.0,58.0,7.0,5.0,0.0,1937.0,491.0,627.0,43.9
vs Bologna,28.0,41.9,38.0,418.0,3420.0,31.0,18.0,3.0,7.0,120.0,2.0,0.82,0.47,1.29,0.74,1.21,37.1,31.6,0.98,0.83,38.0,38.0,3420.0,54.0,1.42,163.0,111.0,69.3,6.0,14.0,18.0,10.0,26.3,5.0,4.0,0.0,1.0,38.0,2.0,6.0,2.0,46.3,0.26,-5.7,-0.15,134.0,392.0,34.2,873.0,139.0,33.9,33.6,280.0,34.3,32.4,411.0,22.0,5.4,25.0,0.66,13.0,120.0,18.0,29.9,3.16,0.07,0.23,0.08,-6.1,-3.6,12943.0,16289.0,79.5,229194.0,82032.0,5715.0,6531.0,87.5,5673.0,6536.0,86.8,1233.0,2313.0,53.3,280.0,1030.0,235.0,79.0,1228.0,14526.0,1714.0,482.0,37.0,83.0,641.0,165.0,60.0,81.0,3.0,695.0,49.0,355.0,684.0,18.0,467.0,67.0,46.0,47.0,51.0,1.34,37.0,2.0,5.0,5.0,1.0,633.0,377.0,282.0,259.0,92.0,514.0,131.0,383.0,306.0,554.0,15.0,20260.0,2078.0,6258.0,9632.0,4581.0,651.0,20253.0,11049.0,590.0,397.0,146.0,12820.0,572.0,330.0,1.0,503.0,443.0,49.0,6.0,5.0,2.0,1744.0,413.0,416.0,49.8
vs Cagliari,29.0,57.9,38.0,418.0,3420.0,65.0,50.0,4.0,5.0,86.0,2.0,1.71,1.32,3.03,1.61,2.92,54.5,50.7,1.43,1.33,38.0,38.0,3420.0,42.0,1.11,132.0,90.0,71.2,18.0,12.0,8.0,11.0,28.9,6.0,4.0,1.0,1.0,38.0,0.0,5.0,1.0,39.9,0.27,-1.1,-0.03,152.0,428.0,35.5,973.0,185.0,32.1,33.1,339.0,34.2,34.5,686.0,38.0,5.5,35.0,0.92,13.4,153.0,20.0,31.6,4.03,0.13,0.4,0.11,10.5,10.3,16632.0,20551.0,80.9,296186.0,104096.0,7382.0,8230.0,89.7,7131.0,8231.0,86.6,1712.0,3038.0,56.4,370.0,1298.0,331.0,106.0,1597.0,18579.0,1881.0,501.0,62.0,154.0,761.0,217.0,80.0,88.0,1.0,744.0,91.0,334.0,890.0,23.42,654.0,91.0,49.0,49.0,117.0,3.08,81.0,9.0,11.0,7.0,1.0,558.0,327.0,275.0,213.0,70.0,355.0,110.0,245.0,251.0,809.0,8.0,24480.0,2364.0,7605.0,11414.0,5656.0,856.0,24475.0,13814.0,761.0,539.0,166.0,16459.0,555.0,276.0,2.0,441.0,434.0,91.0,1.0,6.0,1.0,1722.0,613.0,571.0,51.8
vs Empoli,34.0,56.0,38.0,418.0,3420.0,53.0,37.0,6.0,8.0,71.0,3.0,1.39,0.97,2.37,1.24,2.21,52.9,47.1,1.39,1.24,38.0,38.0,3420.0,29.0,0.76,117.0,91.0,79.5,20.0,9.0,9.0,21.0,55.3,5.0,5.0,0.0,0.0,38.0,0.0,0.0,3.0,33.9,0.25,7.9,0.21,176.0,446.0,39.5,1118.0,186.0,31.7,33.4,251.0,36.7,33.7,493.0,27.0,5.5,34.0,0.89,14.6,177.0,12.0,31.8,4.66,0.08,0.27,0.09,0.1,-0.1,15981.0,19821.0,80.6,289846.0,100899.0,6929.0,7832.0,88.5,7018.0,8054.0,87.1,1715.0,3018.0,56.8,436.0,1206.0,341.0,103.0,1573.0,17760.0,2012.0,581.0,36.0,166.0,814.0,234.0,97.0,87.0,0.0,879.0,49.0,376.0,996.0,26.21,722.0,93.0,70.0,43.0,90.0,2.37,56.0,7.0,13.0,6.0,0.0,589.0,334.0,286.0,243.0,60.0,396.0,126.0,270.0,261.0,674.0,9.0,23884.0,2336.0,7803.0,10245.0,6018.0,943.0,23876.0,13608.0,677.0,504.0,196.0,15815.0,570.0,318.0,2.0,530.0,487.0,49.0,6.0,5.0,3.0,1687.0,628.0,509.0,55.2
vs Fiorentina,30.0,42.7,38.0,418.0,3420.0,46.0,29.0,8.0,9.0,80.0,3.0,1.21,0.76,1.97,1.0,1.76,48.2,41.1,1.27,1.08,38.0,38.0,3420.0,61.0,1.61,178.0,115.0,68.0,12.0,9.0,17.0,10.0,26.3,8.0,4.0,3.0,1.0,38.0,1.0,7.0,1.0,56.4,0.28,-3.6,-0.09,241.0,672.0,35.9,1226.0,177.0,41.3,36.4,293.0,56.7,43.4,593.0,37.0,6.2,15.0,0.39,10.8,139.0,12.0,37.5,3.66,0.1,0.27,0.11,-2.2,-3.1,11354.0,14943.0,76.0,208608.0,82705.0,4825.0,5654.0,85.3,5023.0,5968.0,84.2,1261.0,2503.0,50.4,284.0,671.0,217.0,74.0,989.0,13158.0,1696.0,490.0,27.0,90.0,457.0,116.0,36.0,65.0,0.0,701.0,89.0,340.0,642.0,16.89,442.0,59.0,53.0,32.0,83.0,2.18,56.0,2.0,5.0,11.0,4.0,608.0,382.0,323.0,218.0,67.0,440.0,147.0,293.0,272.0,887.0,14.0,19020.0,2838.0,8090.0,7773.0,3347.0,594.0,19011.0,9941.0,444.0,322.0,118.0,11221.0,493.0,289.0,2.0,478.0,422.0,89.0,7.0,8.0,1.0,1623.0,603.0,626.0,49.1
vs Frosinone,34.0,50.3,38.0,418.0,3420.0,67.0,46.0,5.0,8.0,84.0,1.0,1.76,1.21,2.97,1.63,2.84,57.7,51.7,1.52,1.36,38.0,38.0,3420.0,44.0,1.16,156.0,111.0,76.9,19.0,11.0,8.0,12.0,31.6,10.0,8.0,1.0,1.0,38.0,3.0,7.0,0.0,43.8,0.23,-0.2,-0.01,212.0,601.0,35.3,1019.0,126.0,43.4,37.8,327.0,48.6,38.7,409.0,18.0,4.4,30.0,0.79,14.4,174.0,14.0,31.6,4.58,0.11,0.36,0.1,9.3,10.3,13984.0,17938.0,78.0,251918.0,91923.0,6075.0,6988.0,86.9,6027.0,7089.0,85.0,1500.0,2863.0,52.4,431.0,1033.0,320.0,101.0,1330.0,16076.0,1791.0,408.0,43.0,108.0,676.0,180.0,73.0,74.0,1.0,794.0,71.0,340.0,970.0,25.53,725.0,73.0,69.0,31.0,114.0,3.0,83.0,5.0,15.0,5.0,1.0,697.0,407.0,365.0,265.0,67.0,427.0,120.0,307.0,302.0,620.0,18.0,21986.0,2355.0,7214.0,9899.0,5093.0,837.0,21978.0,11739.0,688.0,472.0,169.0,13842.0,537.0,292.0,1.0,482.0,352.0,71.0,5.0,10.0,0.0,1855.0,602.0,518.0,53.8
vs Genoa,34.0,55.9,38.0,418.0,3420.0,44.0,34.0,3.0,4.0,92.0,5.0,1.16,0.89,2.05,1.08,1.97,42.8,39.7,1.13,1.04,38.0,38.0,3419.0,45.0,1.18,125.0,80.0,68.0,13.0,13.0,12.0,10.0,26.3,6.0,5.0,1.0,0.0,38.0,1.0,6.0,2.0,36.8,0.26,-6.2,-0.16,115.0,372.0,30.9,854.0,163.0,30.3,33.2,268.0,42.2,37.5,479.0,21.0,4.4,43.0,1.13,16.0,135.0,19.0,27.2,3.55,0.08,0.3,0.08,1.2,1.3,16363.0,20157.0,81.2,286090.0,94528.0,7408.0,8296.0,89.3,6928.0,7998.0,86.6,1599.0,2776.0,57.6,362.0,1216.0,312.0,95.0,1560.0,18253.0,1836.0,470.0,38.0,122.0,774.0,203.0,69.0,79.0,0.0,812.0,68.0,354.0,894.0,23.53,656.0,81.0,48.0,56.0,80.0,2.11,59.0,2.0,9.0,4.0,1.0,493.0,298.0,230.0,198.0,65.0,339.0,88.0,251.0,271.0,677.0,11.0,24035.0,2012.0,6648.0,11685.0,5922.0,797.0,24031.0,14050.0,769.0,581.0,141.0,16210.0,577.0,342.0,2.0,449.0,419.0,68.0,4.0,6.0,2.0,1713.0,543.0,610.0,47.1
vs Hellas Verona,36.0,55.6,38.0,418.0,3420.0,50.0,34.0,2.0,2.0,78.0,1.0,1.32,0.89,2.21,1.26,2.16,48.7,47.2,1.28,1.24,38.0,38.0,3420.0,38.0,1.0,151.0,111.0,76.8,18.0,11.0,9.0,11.0,28.9,7.0,3.0,2.0,2.0,38.0,0.0,4.0,0.0,38.3,0.22,0.3,0.01,170.0,558.0,30.5,1125.0,194.0,36.4,34.3,316.0,46.8,38.7,553.0,44.0,8.0,27.0,0.71,11.8,161.0,18.0,31.4,4.24,0.09,0.3,0.09,1.3,0.8,14365.0,18516.0,77.6,263077.0,97914.0,5937.0,6853.0,86.6,6595.0,7780.0,84.8,1524.0,2963.0,51.4,369.0,992.0,258.0,64.0,1348.0,16354.0,2078.0,576.0,41.0,119.0,617.0,215.0,82.0,94.0,0.0,895.0,84.0,320.0,866.0,22.79,601.0,94.0,78.0,40.0,80.0,2.11,61.0,3.0,10.0,2.0,2.0,545.0,307.0,248.0,242.0,55.0,350.0,89.0,261.0,215.0,656.0,15.0,22493.0,2346.0,7614.0,10424.0,4686.0,785.0,22491.0,12373.0,571.0,407.0,156.0,14198.0,622.0,328.0,1.0,478.0,518.0,84.0,1.0,7.0,0.0,1812.0,644.0,750.0,46.2
vs Inter,27.0,42.9,38.0,418.0,3420.0,22.0,17.0,2.0,4.0,70.0,7.0,0.58,0.45,1.03,0.53,0.97,31.2,28.0,0.82,0.74,38.0,38.0,3420.0,89.0,2.34,210.0,122.0,63.8,2.0,7.0,29.0,1.0,2.6,14.0,13.0,1.0,0.0,38.0,0.0,8.0,2.0,74.7,0.3,-12.3,-0.32,161.0,490.0,32.9,896.0,153.0,36.8,36.5,342.0,46.8,41.1,622.0,21.0,3.4,30.0,0.79,12.9,110.0,9.0,28.1,2.89,0.05,0.18,0.07,-9.2,-8.0,13716.0,16837.0,81.5,248335.0,84176.0,6054.0,6779.0,89.3,5789.0,6596.0,87.8,1558.0,2625.0,59.4,313.0,1027.0,257.0,79.0,1199.0,15132.0,1664.0,466.0,17.0,134.0,608.0,144.0,57.0,66.0,0.0,586.0,41.0,310.0,694.0,18.26,530.0,54.0,31.0,33.0,40.0,1.05,34.0,2.0,1.0,3.0,0.0,420.0,231.0,206.0,161.0,53.0,435.0,141.0,294.0,291.0,803.0,11.0,20616.0,2525.0,6771.0,9368.0,4668.0,621.0,20612.0,11738.0,660.0,500.0,126.0,13593.0,483.0,306.0,1.0,434.0,378.0,41.0,4.0,14.0,2.0,1432.0,370.0,535.0,40.9
vs Juventus,31.0,51.5,38.0,418.0,3420.0,29.0,19.0,2.0,3.0,66.0,4.0,0.76,0.5,1.26,0.71,1.21,30.1,27.6,0.79,0.73,38.0,38.0,3420.0,54.0,1.42,151.0,97.0,66.2,5.0,14.0,19.0,7.0,18.4,5.0,3.0,2.0,0.0,38.0,3.0,11.0,2.0,43.3,0.26,-8.7,-0.23,172.0,503.0,34.2,978.0,135.0,37.3,35.9,315.0,43.8,36.2,560.0,16.0,2.9,23.0,0.61,12.7,113.0,19.0,25.7,2.97,0.06,0.24,0.06,-1.1,-0.6,16182.0,19506.0,83.0,289690.0,91816.0,7026.0,7799.0,90.1,7070.0,7976.0,88.6,1691.0,2834.0,59.7,336.0,1340.0,242.0,90.0,1373.0,17692.0,1789.0,522.0,21.0,120.0,756.0,173.0,82.0,60.0,1.0,687.0,25.0,300.0,777.0,20.45,591.0,68.0,45.0,39.0,43.0,1.13,28.0,3.0,8.0,2.0,0.0,576.0,319.0,271.0,227.0,78.0,408.0,150.0,258.0,273.0,741.0,12.0,23447.0,2539.0,7169.0,10888.0,5582.0,634.0,23444.0,13850.0,658.0,592.0,106.0,16034.0,533.0,313.0,3.0,401.0,454.0,25.0,2.0,5.0,2.0,1582.0,434.0,486.0,47.2
