team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atalanta,16.0,52.0,1.0,11.0,90.0,4.0,2.0,1.0,1.0,2.0,0.0,4.0,2.0,6.0,3.0,5.0,1.7,0.9,1.72,0.93,1.0,1.0,90.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.19,0.7,0.74,4.0,20.0,20.0,19.0,4.0,36.8,33.1,14.0,92.9,56.9,15.0,0.0,0.0,1.0,1.0,17.5,5.0,0.0,50.0,5.0,0.3,0.6,0.1,2.3,2.1,411.0,498.0,82.5,7691.0,2193.0,170.0,193.0,88.1,185.0,207.0,89.4,54.0,86.0,62.8,7.0,42.0,7.0,3.0,37.0,456.0,41.0,10.0,1.0,4.0,15.0,3.0,0.0,3.0,0.0,13.0,1.0,6.0,18.0,18.0,13.0,1.0,3.0,1.0,7.0,7.0,5.0,0.0,1.0,1.0,0.0,10.0,6.0,7.0,3.0,0.0,7.0,4.0,3.0,12.0,16.0,0.0,593.0,49.0,165.0,333.0,101.0,19.0,592.0,331.0,16.0,11.0,3.0,408.0,16.0,11.0,0.0,24.0,10.0,1.0,1.0,0.0,0.0,46.0,20.0,23.0,46.5
Bologna,16.0,73.0,1.0,11.0,90.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.2,2.4,3.18,2.43,1.0,1.0,90.0,1.0,1.0,2.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9,0.0,-0.1,-0.1,3.0,6.0,50.0,33.0,6.0,15.2,29.0,4.0,25.0,27.3,12.0,0.0,0.0,2.0,2.0,23.5,5.0,1.0,23.8,5.0,0.0,0.0,0.12,-2.2,-2.4,523.0,617.0,84.8,10053.0,2932.0,169.0,189.0,89.4,274.0,307.0,89.3,60.0,80.0,75.0,14.0,42.0,12.0,5.0,51.0,568.0,48.0,16.0,3.0,3.0,31.0,9.0,1.0,7.0,0.0,17.0,1.0,11.0,37.0,37.0,21.0,6.0,6.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,16.0,9.0,7.0,5.0,4.0,8.0,2.0,6.0,3.0,17.0,0.0,718.0,65.0,209.0,309.0,210.0,39.0,717.0,501.0,23.0,18.0,6.0,520.0,11.0,11.0,0.0,17.0,16.0,1.0,1.0,1.0,0.0,44.0,16.0,10.0,61.5
Cagliari,14.0,43.0,1.0,11.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.98,0.98,1.0,1.0,90.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.16,0.5,0.49,3.0,9.0,33.3,21.0,4.0,28.6,30.3,5.0,60.0,41.2,17.0,2.0,11.8,0.0,0.0,4.7,2.0,0.0,15.4,2.0,0.0,0.0,0.08,-1.0,-1.0,281.0,380.0,73.9,5668.0,2200.0,91.0,102.0,89.2,142.0,176.0,80.7,42.0,80.0,52.5,8.0,20.0,2.0,0.0,27.0,333.0,44.0,9.0,2.0,1.0,16.0,5.0,0.0,5.0,0.0,24.0,3.0,5.0,20.0,20.0,15.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,6.0,7.0,0.0,8.0,5.0,3.0,15.0,27.0,0.0,498.0,64.0,210.0,201.0,97.0,13.0,498.0,272.0,15.0,14.0,3.0,279.0,16.0,6.0,0.0,15.0,7.0,3.0,0.0,0.0,0.0,41.0,11.0,10.0,52.4
Como,16.0,43.0,1.0,11.0,90.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.17,0.17,1.0,1.0,90.0,3.0,3.0,6.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3,0.38,-0.7,-0.71,2.0,9.0,22.2,21.0,3.0,42.9,31.3,7.0,0.0,9.7,9.0,0.0,0.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.2,-0.2,358.0,415.0,86.3,6476.0,1763.0,142.0,152.0,93.4,185.0,197.0,93.9,27.0,52.0,51.9,2.0,22.0,2.0,1.0,34.0,372.0,42.0,14.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,17.0,1.0,8.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,3.0,3.0,4.0,1.0,3.0,4.0,10.0,2.0,477.0,49.0,159.0,229.0,90.0,5.0,477.0,335.0,9.0,15.0,0.0,350.0,12.0,9.0,0.0,12.0,11.0,1.0,0.0,0.0,0.0,24.0,3.0,12.0,20.0
Empoli,16.0,39.0,1.0,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.47,0.47,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.14,0.1,0.14,3.0,13.0,23.1,15.0,2.0,73.3,43.9,4.0,50.0,39.0,11.0,1.0,9.1,0.0,0.0,3.0,2.0,1.0,18.2,2.0,0.0,0.0,0.04,-0.5,-0.5,198.0,307.0,64.5,3341.0,1417.0,97.0,132.0,73.5,74.0,100.0,74.0,17.0,49.0,34.7,7.0,23.0,3.0,0.0,35.0,252.0,51.0,19.0,0.0,2.0,21.0,7.0,2.0,4.0,0.0,20.0,4.0,4.0,17.0,17.0,6.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,3.0,10.0,4.0,9.0,3.0,6.0,4.0,21.0,0.0,403.0,38.0,88.0,205.0,117.0,14.0,403.0,174.0,8.0,9.0,3.0,194.0,17.0,6.0,0.0,16.0,18.0,4.0,0.0,0.0,0.0,41.0,16.0,22.0,42.1
Fiorentina,16.0,61.0,1.0,11.0,90.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7,0.7,0.75,0.75,1.0,1.0,90.0,1.0,1.0,6.0,5.0,83.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.26,0.5,0.48,1.0,7.0,14.3,21.0,6.0,23.8,27.6,7.0,28.6,26.4,10.0,0.0,0.0,2.0,2.0,21.3,7.0,1.0,46.7,7.0,0.07,0.14,0.05,0.3,0.3,373.0,462.0,80.7,6747.0,1831.0,159.0,175.0,90.9,175.0,201.0,87.1,32.0,67.0,47.8,8.0,29.0,3.0,1.0,39.0,409.0,48.0,15.0,0.0,9.0,20.0,9.0,3.0,4.0,0.0,15.0,5.0,5.0,25.0,25.0,20.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,1.0,1.0,8.0,4.0,4.0,5.0,25.0,0.0,560.0,65.0,168.0,263.0,132.0,16.0,560.0,313.0,20.0,15.0,4.0,372.0,9.0,9.0,1.0,9.0,11.0,5.0,0.0,0.0,0.0,43.0,11.0,8.0,57.9
Genoa,15.0,32.0,1.0,11.0,90.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,2.1,1.2,2.11,1.17,1.0,1.0,90.0,2.0,2.0,7.0,5.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.9,0.41,0.9,0.89,6.0,19.0,31.6,25.0,3.0,52.0,40.0,8.0,75.0,54.0,17.0,1.0,5.9,0.0,0.0,4.0,6.0,1.0,50.0,6.0,0.17,0.33,0.1,-0.1,0.8,188.0,260.0,72.3,3784.0,1560.0,76.0,86.0,88.4,77.0,100.0,77.0,33.0,66.0,50.0,5.0,15.0,3.0,2.0,16.0,216.0,44.0,20.0,1.0,1.0,12.0,1.0,0.0,1.0,0.0,12.0,0.0,3.0,20.0,20.0,10.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,10.0,4.0,6.0,3.0,1.0,9.0,3.0,6.0,12.0,22.0,1.0,363.0,68.0,145.0,153.0,71.0,14.0,362.0,175.0,9.0,7.0,1.0,183.0,14.0,7.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,27.0,12.0,24.0,33.3
Hellas Verona,16.0,33.0,1.0,11.0,90.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,6.0,3.0,6.0,1.7,1.7,1.72,1.72,1.0,1.0,90.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.17,0.7,0.66,6.0,30.0,20.0,27.0,1.0,74.1,49.8,10.0,100.0,65.4,17.0,0.0,0.0,1.0,1.0,13.5,4.0,0.0,44.4,4.0,0.33,0.75,0.21,1.3,1.3,195.0,296.0,65.9,3478.0,1407.0,93.0,109.0,85.3,73.0,101.0,72.3,20.0,69.0,29.0,8.0,13.0,6.0,2.0,18.0,260.0,34.0,13.0,1.0,3.0,9.0,1.0,0.0,1.0,0.0,9.0,2.0,4.0,16.0,16.0,10.0,1.0,2.0,0.0,5.0,5.0,3.0,0.0,1.0,0.0,1.0,18.0,10.0,6.0,11.0,1.0,13.0,2.0,11.0,10.0,23.0,2.0,390.0,57.0,160.0,168.0,68.0,10.0,390.0,162.0,5.0,4.0,2.0,194.0,9.0,5.0,0.0,15.0,13.0,2.0,0.0,0.0,0.0,44.0,13.0,23.0,36.1
Inter,16.0,68.0,1.0,11.0,90.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,4.0,1.9,1.9,1.87,1.87,1.0,1.0,90.0,2.0,2.0,7.0,4.0,71.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.1,0.16,0.1,0.08,0.0,1.0,0.0,25.0,4.0,0.0,20.1,5.0,20.0,27.2,11.0,0.0,0.0,1.0,1.0,21.5,7.0,1.0,41.2,7.0,0.12,0.29,0.12,0.1,0.1,457.0,541.0,84.5,8053.0,2510.0,190.0,210.0,90.5,237.0,265.0,89.4,27.0,52.0,51.9,11.0,35.0,8.0,3.0,51.0,486.0,49.0,15.0,3.0,4.0,20.0,4.0,0.0,4.0,0.0,22.0,6.0,5.0,25.0,25.0,18.0,3.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,11.0,6.0,4.0,3.0,4.0,5.0,1.0,4.0,3.0,17.0,1.0,634.0,49.0,142.0,331.0,167.0,25.0,634.0,438.0,16.0,18.0,6.0,455.0,13.0,4.0,0.0,16.0,12.0,6.0,0.0,1.0,0.0,31.0,24.0,12.0,66.7
Juventus,14.0,57.0,1.0,11.0,90.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,5.0,3.0,5.0,1.2,1.2,1.2,1.2,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,21.0,4.0,14.3,24.7,7.0,42.9,37.3,10.0,1.0,10.0,0.0,0.0,4.0,6.0,1.0,46.2,6.0,0.23,0.5,0.09,1.8,1.8,503.0,557.0,90.3,9387.0,2742.0,204.0,212.0,96.2,235.0,256.0,91.8,59.0,73.0,80.8,7.0,21.0,6.0,3.0,29.0,520.0,33.0,12.0,2.0,2.0,14.0,3.0,1.0,1.0,0.0,10.0,4.0,4.0,17.0,17.0,12.0,2.0,1.0,1.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,15.0,9.0,6.0,7.0,2.0,10.0,2.0,8.0,4.0,10.0,0.0,633.0,56.0,219.0,311.0,106.0,18.0,633.0,473.0,28.0,16.0,6.0,495.0,13.0,4.0,0.0,11.0,12.0,4.0,0.0,0.0,0.0,34.0,12.0,3.0,80.0
