player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ahmed Abdullahi,ng NGA,FW,Gent,19,2004,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,74.0,26.0,1.0,1.0,100.0,3.0,4.0,75.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,5.0,2.0,0.0,8.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Shuto Abe,jp JPN,MF,RWD Molenbeek,25,1997,28.0,15.0,1475.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.06,0.12,0.06,0.12,1.3,1.3,0.08,0.08,16.4,6.0,0.0,37.5,0.37,0.06,0.17,0.08,-0.3,-0.3,525.0,697.0,75.3,8876.0,2426.0,238.0,298.0,79.9,217.0,273.0,79.5,49.0,75.0,65.3,9.0,59.0,7.0,2.0,70.0,681.0,10.0,5.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,6.0,19.0,22.0,1.34,16.0,0.0,3.0,2.0,2.0,0.12,1.0,0.0,1.0,0.0,0.0,47.0,32.0,23.0,17.0,7.0,21.0,6.0,15.0,13.0,37.0,0.0,889.0,45.0,255.0,486.0,156.0,21.0,889.0,577.0,12.0,15.0,2.0,508.0,32.0,14.0,0.0,32.0,16.0,1.0,0.0,1.0,0.0,97.0,10.0,17.0,37.0
Abner,br BRA,"DF,MF",RWD Molenbeek,27,1996,25.0,20.0,1850.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.03,0.03,20.6,1.0,0.0,16.7,0.05,0.0,0.0,0.1,-0.6,-0.6,651.0,873.0,74.6,10746.0,3762.0,286.0,334.0,85.6,309.0,393.0,78.6,40.0,110.0,36.4,7.0,44.0,9.0,3.0,73.0,705.0,165.0,12.0,0.0,3.0,56.0,0.0,0.0,0.0,0.0,153.0,3.0,19.0,21.0,1.02,16.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,11.0,7.0,5.0,15.0,1.0,14.0,25.0,57.0,1.0,1096.0,79.0,327.0,502.0,271.0,11.0,1096.0,693.0,38.0,38.0,2.0,605.0,35.0,7.0,0.0,19.0,37.0,1.0,0.0,0.0,1.0,103.0,23.0,21.0,52.3
Francis Abu,gh GHA,MF,Cercle Brugge,22,2001,8.0,5.0,409.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,0.02,4.5,2.0,0.0,40.0,0.44,0.0,0.0,0.02,-0.1,-0.1,163.0,231.0,70.6,2812.0,1107.0,65.0,88.0,73.9,76.0,98.0,77.6,13.0,32.0,40.6,4.0,22.0,5.0,0.0,30.0,206.0,23.0,18.0,0.0,0.0,9.0,4.0,1.0,3.0,0.0,1.0,2.0,3.0,10.0,2.21,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,4.0,12.0,2.0,7.0,0.0,7.0,8.0,2.0,0.0,281.0,7.0,34.0,185.0,66.0,0.0,281.0,138.0,3.0,5.0,0.0,110.0,7.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,55.0,10.0,3.0,76.9
Tayo Adaramola,ie IRL,DF,RWD Molenbeek,19,2003,9.0,8.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.04,0.04,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-0.3,-0.3,182.0,245.0,74.3,2884.0,1196.0,93.0,111.0,83.8,75.0,100.0,75.0,8.0,19.0,42.1,4.0,15.0,7.0,5.0,22.0,202.0,43.0,3.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,9.0,7.0,1.1,6.0,1.0,0.0,0.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,21.0,14.0,13.0,8.0,0.0,7.0,1.0,6.0,7.0,19.0,1.0,347.0,35.0,132.0,143.0,84.0,7.0,347.0,196.0,19.0,12.0,5.0,159.0,13.0,9.0,0.0,10.0,4.0,1.0,0.0,1.0,0.0,43.0,8.0,7.0,53.3
Noah Adedeji,be BEL,"MF,FW",Genk,18,2005,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.57,0.57,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.1,-0.1,12.0,15.0,80.0,185.0,26.0,5.0,6.0,83.3,7.0,8.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,1.0,6.0,7.0,6.0,2.0,19.0,12.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Afolabi,ie IRL,FW,Kortrijk,23,2000,10.0,4.0,397.0,1.0,0.0,0.0,0.0,1.0,0.0,0.23,0.0,0.23,0.23,0.23,0.3,0.3,0.06,0.06,4.4,2.0,0.0,50.0,0.45,0.25,0.5,0.07,0.7,0.7,58.0,86.0,67.4,771.0,198.0,35.0,45.0,77.8,12.0,27.0,44.4,5.0,5.0,100.0,4.0,5.0,3.0,0.0,7.0,84.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,126.0,3.0,10.0,62.0,56.0,11.0,126.0,97.0,2.0,3.0,0.0,99.0,19.0,6.0,0.0,10.0,4.0,3.0,0.0,0.0,0.0,13.0,8.0,5.0,61.5
Brian Agbor,cm CMR,DF,Gent,22,2001,3.0,2.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.06,0.06,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.13,-0.1,-0.1,123.0,143.0,86.0,2616.0,837.0,37.0,43.0,86.0,69.0,73.0,94.5,17.0,25.0,68.0,1.0,11.0,0.0,0.0,10.0,135.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,5.0,4.0,1.0,5.0,12.0,1.0,173.0,19.0,70.0,101.0,2.0,1.0,173.0,127.0,1.0,1.0,0.0,114.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,100.0
Takahiro Akimoto,jp JPN,DF,OH Leuven,25,1998,5.0,2.0,261.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.03,0.03,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,99.0,129.0,76.7,1469.0,631.0,53.0,58.0,91.4,35.0,51.0,68.6,5.0,10.0,50.0,2.0,9.0,3.0,0.0,16.0,101.0,28.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,8.0,2.76,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,0.0,2.0,1.0,1.0,6.0,9.0,0.0,165.0,9.0,53.0,75.0,40.0,5.0,165.0,90.0,3.0,4.0,0.0,81.0,7.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,7.0,5.0,58.3
Carlos Alberto,br BRA,"FW,MF",RWD Molenbeek,21,2002,10.0,9.0,659.0,2.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,1.8,1.8,0.25,0.25,7.3,6.0,0.0,60.0,0.82,0.2,0.33,0.18,0.2,0.2,76.0,104.0,73.1,971.0,264.0,47.0,55.0,85.5,21.0,30.0,70.0,1.0,6.0,16.7,4.0,2.0,2.0,0.0,9.0,94.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,11.0,1.5,9.0,0.0,2.0,0.0,2.0,0.27,2.0,0.0,0.0,0.0,0.0,11.0,8.0,6.0,3.0,2.0,12.0,0.0,12.0,9.0,8.0,0.0,206.0,9.0,44.0,85.0,88.0,22.0,206.0,114.0,12.0,8.0,6.0,102.0,20.0,5.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,27.0,8.0,19.0,29.6
Josimar Alcocer,cr CRC,"FW,MF",Westerlo,19,2004,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,6.0,8.0,75.0,63.0,37.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,5.0,9.0,1.0,14.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
