team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Anderlecht,32.0,53.0,30.0,330.0,2700.0,56.0,41.0,7.0,7.0,54.0,2.0,1.87,1.37,3.23,1.63,3.0,47.8,42.6,1.59,1.42,30.0,30.0,2700.0,30.0,1.0,134.0,103.0,79.9,18.0,9.0,3.0,7.0,23.3,4.0,3.0,1.0,0.0,30.0,0.0,0.0,0.0,38.7,0.26,8.7,0.29,141.0,330.0,42.7,908.0,112.0,27.9,28.5,243.0,31.7,29.7,445.0,20.0,4.5,19.0,0.63,14.4,138.0,9.0,34.8,4.6,0.12,0.36,0.11,8.2,6.4,12794.0,16119.0,79.4,241039.0,83147.0,4924.0,5805.0,84.8,5751.0,6673.0,86.2,1653.0,2767.0,59.7,302.0,1054.0,317.0,69.0,1306.0,14670.0,1395.0,395.0,36.0,129.0,523.0,127.0,56.0,24.0,0.0,571.0,54.0,281.0,697.0,23.23,541.0,52.0,39.0,28.0,99.0,3.3,77.0,5.0,7.0,6.0,1.0,548.0,320.0,255.0,209.0,84.0,350.0,103.0,247.0,282.0,646.0,10.0,19627.0,2214.0,6364.0,8479.0,4985.0,746.0,19620.0,13864.0,469.0,471.0,104.0,12678.0,519.0,262.0,0.0,328.0,359.0,54.0,6.0,4.0,0.0,1672.0,371.0,390.0,48.8
Antwerp,27.0,59.3,30.0,330.0,2700.0,52.0,36.0,5.0,9.0,44.0,1.0,1.73,1.2,2.93,1.57,2.77,51.6,44.5,1.72,1.48,30.0,30.0,2700.0,27.0,0.9,97.0,71.0,77.3,14.0,10.0,6.0,12.0,40.0,5.0,5.0,0.0,0.0,30.0,0.0,3.0,1.0,28.3,0.25,2.3,0.08,173.0,459.0,37.7,1223.0,152.0,32.7,32.5,184.0,32.1,31.0,340.0,36.0,10.6,45.0,1.5,15.8,140.0,5.0,34.2,4.67,0.11,0.34,0.11,0.4,2.5,15205.0,18375.0,82.7,291629.0,96695.0,5586.0,6412.0,87.1,7413.0,8265.0,89.7,1868.0,2964.0,63.0,310.0,1169.0,313.0,61.0,1515.0,16878.0,1445.0,369.0,30.0,119.0,557.0,175.0,57.0,60.0,0.0,660.0,52.0,281.0,721.0,24.03,558.0,48.0,39.0,25.0,83.0,2.77,60.0,3.0,10.0,5.0,3.0,537.0,336.0,248.0,224.0,65.0,289.0,70.0,219.0,277.0,454.0,6.0,21650.0,2088.0,6150.0,10485.0,5243.0,859.0,21641.0,15921.0,616.0,567.0,189.0,15062.0,503.0,263.0,1.0,294.0,313.0,52.0,8.0,5.0,1.0,1601.0,354.0,412.0,46.2
Cercle Brugge,27.0,45.1,30.0,330.0,2700.0,43.0,34.0,2.0,3.0,66.0,3.0,1.43,1.13,2.57,1.37,2.5,50.9,48.5,1.7,1.62,30.0,30.0,2700.0,34.0,1.13,123.0,90.0,72.4,14.0,5.0,11.0,11.0,36.7,1.0,0.0,1.0,0.0,30.0,0.0,4.0,2.0,39.8,0.33,7.8,0.26,258.0,711.0,36.3,663.0,37.0,82.7,49.8,180.0,90.6,59.8,365.0,11.0,3.0,54.0,1.8,18.5,140.0,13.0,29.0,4.67,0.08,0.29,0.1,-7.9,-7.5,6972.0,11706.0,59.6,131714.0,68263.0,2836.0,4104.0,69.1,2905.0,4446.0,65.3,914.0,2370.0,38.6,345.0,912.0,309.0,58.0,1215.0,9993.0,1640.0,417.0,31.0,22.0,595.0,174.0,52.0,116.0,0.0,806.0,73.0,281.0,791.0,26.37,522.0,87.0,64.0,51.0,65.0,2.17,41.0,5.0,10.0,2.0,0.0,632.0,403.0,277.0,255.0,100.0,467.0,63.0,404.0,327.0,602.0,8.0,15895.0,1278.0,3894.0,7009.0,5202.0,904.0,15892.0,8083.0,378.0,378.0,142.0,6883.0,719.0,328.0,2.0,391.0,355.0,73.0,0.0,1.0,2.0,1913.0,848.0,895.0,48.7
Charleroi,30.0,47.8,30.0,330.0,2700.0,26.0,20.0,3.0,4.0,58.0,4.0,0.87,0.67,1.53,0.77,1.43,32.9,29.7,1.1,0.99,30.0,30.0,2700.0,48.0,1.6,150.0,103.0,71.3,7.0,8.0,15.0,8.0,26.7,5.0,5.0,0.0,0.0,30.0,0.0,3.0,1.0,50.3,0.31,3.3,0.11,190.0,496.0,38.3,827.0,147.0,42.3,44.0,228.0,64.0,45.1,411.0,45.0,10.9,42.0,1.4,0.0,107.0,3.0,32.8,3.57,0.07,0.21,0.09,-6.9,-6.7,10737.0,14423.0,74.4,190144.0,76437.0,4763.0,5773.0,82.5,4222.0,5271.0,80.1,1247.0,2380.0,52.4,252.0,872.0,232.0,69.0,1210.0,12881.0,1481.0,333.0,31.0,106.0,554.0,146.0,51.0,66.0,0.0,695.0,61.0,335.0,563.0,18.77,431.0,54.0,27.0,22.0,48.0,1.6,34.0,5.0,3.0,4.0,0.0,563.0,368.0,292.0,224.0,47.0,372.0,122.0,250.0,336.0,622.0,8.0,17950.0,1845.0,5591.0,8128.0,4418.0,595.0,17946.0,11653.0,437.0,409.0,110.0,10616.0,500.0,266.0,1.0,359.0,297.0,61.0,3.0,5.0,1.0,1687.0,512.0,556.0,47.9
Club Brugge,29.0,56.8,30.0,330.0,2700.0,60.0,39.0,8.0,10.0,58.0,3.0,2.0,1.3,3.3,1.73,3.03,60.1,52.2,2.0,1.74,30.0,30.0,2700.0,29.0,0.97,98.0,69.0,70.4,14.0,9.0,7.0,10.0,33.3,3.0,0.0,0.0,3.0,30.0,2.0,1.0,0.0,28.3,0.29,-0.7,-0.02,177.0,360.0,49.2,883.0,119.0,30.2,35.1,212.0,43.9,34.3,277.0,29.0,10.5,55.0,1.83,9.9,169.0,10.0,35.9,5.63,0.11,0.31,0.11,-0.1,-0.2,13835.0,17084.0,81.0,260216.0,90516.0,5354.0,6266.0,85.4,6313.0,7311.0,86.3,1741.0,2682.0,64.9,363.0,1184.0,319.0,88.0,1552.0,15530.0,1505.0,358.0,36.0,122.0,687.0,196.0,148.0,24.0,0.0,681.0,49.0,318.0,837.0,27.9,617.0,70.0,53.0,26.0,97.0,3.23,65.0,5.0,8.0,8.0,0.0,481.0,320.0,195.0,207.0,79.0,334.0,72.0,262.0,263.0,437.0,4.0,20384.0,1616.0,5575.0,9709.0,5284.0,908.0,20374.0,14693.0,658.0,495.0,197.0,13691.0,468.0,290.0,3.0,323.0,312.0,49.0,7.0,3.0,0.0,1644.0,481.0,374.0,56.3
Eupen,26.0,44.7,30.0,330.0,2700.0,24.0,18.0,1.0,1.0,56.0,2.0,0.8,0.6,1.4,0.77,1.37,28.9,28.1,0.96,0.94,30.0,30.0,2700.0,58.0,1.93,167.0,112.0,67.7,7.0,3.0,20.0,5.0,16.7,6.0,4.0,1.0,1.0,30.0,0.0,6.0,4.0,52.5,0.29,-1.5,-0.05,110.0,369.0,29.8,789.0,153.0,28.4,36.0,329.0,44.1,35.0,476.0,21.0,4.4,32.0,1.07,13.3,95.0,8.0,32.0,3.17,0.08,0.24,0.1,-4.9,-5.1,10219.0,13665.0,74.8,188929.0,69525.0,4021.0,4860.0,82.7,4634.0,5618.0,82.5,1226.0,2417.0,50.7,217.0,722.0,157.0,48.0,976.0,12020.0,1571.0,347.0,27.0,90.0,481.0,133.0,53.0,50.0,0.0,674.0,74.0,320.0,508.0,16.93,371.0,47.0,34.0,19.0,41.0,1.37,32.0,2.0,5.0,1.0,0.0,543.0,342.0,292.0,190.0,61.0,388.0,125.0,263.0,320.0,729.0,17.0,17167.0,2293.0,6572.0,7497.0,3270.0,461.0,17166.0,11221.0,410.0,338.0,101.0,10116.0,465.0,249.0,1.0,392.0,306.0,74.0,1.0,6.0,4.0,1520.0,376.0,487.0,43.6
Genk,26.0,53.9,30.0,330.0,2700.0,49.0,30.0,2.0,5.0,64.0,6.0,1.63,1.0,2.63,1.57,2.57,59.3,55.2,1.98,1.84,30.0,30.0,2700.0,31.0,1.03,116.0,84.0,75.0,12.0,11.0,7.0,10.0,33.3,3.0,2.0,1.0,0.0,30.0,1.0,1.0,0.0,34.6,0.27,3.6,0.12,160.0,437.0,36.6,883.0,117.0,42.4,36.8,211.0,29.9,32.3,414.0,33.0,8.0,20.0,0.67,12.6,162.0,9.0,33.0,5.4,0.1,0.29,0.12,-10.3,-8.2,11988.0,15285.0,78.4,224807.0,84351.0,4643.0,5529.0,84.0,5379.0,6345.0,84.8,1513.0,2509.0,60.3,384.0,1195.0,310.0,74.0,1597.0,13636.0,1574.0,390.0,31.0,96.0,564.0,163.0,50.0,78.0,0.0,749.0,75.0,303.0,872.0,29.07,636.0,73.0,55.0,32.0,79.0,2.63,52.0,3.0,14.0,2.0,0.0,499.0,309.0,223.0,192.0,84.0,335.0,78.0,257.0,287.0,558.0,7.0,18819.0,1911.0,5385.0,8373.0,5260.0,888.0,18814.0,12890.0,557.0,427.0,203.0,11848.0,549.0,317.0,3.0,365.0,354.0,75.0,4.0,3.0,0.0,1662.0,465.0,449.0,50.9
Gent,32.0,54.3,30.0,330.0,2700.0,50.0,30.0,4.0,6.0,40.0,6.0,1.67,1.0,2.67,1.53,2.53,49.7,45.0,1.66,1.5,30.0,30.0,2700.0,38.0,1.27,122.0,81.0,75.4,12.0,11.0,7.0,7.0,23.3,11.0,8.0,3.0,0.0,30.0,0.0,3.0,0.0,42.6,0.26,4.6,0.15,143.0,327.0,43.7,669.0,162.0,32.9,34.3,222.0,48.2,40.1,436.0,36.0,8.3,17.0,0.57,12.3,161.0,7.0,37.0,5.37,0.11,0.29,0.11,0.3,1.0,12627.0,16246.0,77.7,246082.0,85106.0,4737.0,5742.0,82.5,5689.0,6723.0,84.6,1836.0,2982.0,61.6,321.0,1120.0,321.0,75.0,1409.0,14665.0,1532.0,370.0,36.0,218.0,568.0,174.0,65.0,54.0,7.0,699.0,49.0,351.0,762.0,25.4,576.0,55.0,49.0,32.0,79.0,2.63,50.0,8.0,10.0,6.0,1.0,582.0,377.0,271.0,236.0,75.0,333.0,102.0,231.0,326.0,571.0,9.0,19781.0,1733.0,5532.0,9196.0,5258.0,847.0,19775.0,13442.0,614.0,545.0,180.0,12500.0,463.0,285.0,1.0,311.0,328.0,48.0,6.0,11.0,0.0,1715.0,513.0,496.0,50.8
Kortrijk,36.0,43.0,30.0,330.0,2700.0,22.0,13.0,2.0,2.0,63.0,2.0,0.73,0.43,1.17,0.67,1.1,25.6,24.6,0.85,0.82,30.0,30.0,2700.0,57.0,1.9,168.0,115.0,66.7,6.0,6.0,18.0,5.0,16.7,2.0,1.0,0.0,1.0,30.0,0.0,10.0,4.0,56.2,0.34,3.2,0.11,203.0,568.0,35.7,718.0,141.0,57.1,40.5,275.0,57.5,41.7,502.0,38.0,7.6,27.0,0.9,11.5,85.0,14.0,28.4,2.83,0.07,0.24,0.08,-3.6,-4.6,9321.0,12859.0,72.5,171522.0,69224.0,3776.0,4742.0,79.6,4033.0,5067.0,79.6,1123.0,2302.0,48.8,201.0,766.0,183.0,68.0,999.0,11274.0,1544.0,416.0,24.0,72.0,531.0,134.0,55.0,40.0,1.0,632.0,41.0,300.0,506.0,16.87,351.0,47.0,33.0,31.0,32.0,1.07,22.0,3.0,2.0,2.0,0.0,553.0,325.0,332.0,181.0,40.0,395.0,126.0,269.0,328.0,835.0,12.0,16649.0,2188.0,5681.0,7412.0,3787.0,452.0,16647.0,10476.0,493.0,471.0,98.0,9214.0,523.0,299.0,1.0,323.0,324.0,41.0,1.0,2.0,4.0,1586.0,499.0,555.0,47.3
Mechelen,30.0,50.9,30.0,330.0,2700.0,37.0,28.0,3.0,4.0,48.0,0.0,1.23,0.93,2.17,1.13,2.07,42.4,39.4,1.41,1.31,30.0,30.0,2700.0,34.0,1.13,124.0,90.0,73.4,13.0,6.0,11.0,10.0,33.3,4.0,1.0,1.0,2.0,30.0,1.0,1.0,1.0,39.8,0.31,6.8,0.23,182.0,428.0,42.5,810.0,104.0,34.0,32.3,283.0,54.1,39.1,463.0,32.0,6.9,21.0,0.7,11.9,133.0,6.0,35.1,4.43,0.09,0.26,0.11,-5.4,-5.4,12524.0,15834.0,79.1,248424.0,85807.0,4257.0,5138.0,82.9,6299.0,7198.0,87.5,1686.0,2791.0,60.4,289.0,1058.0,254.0,71.0,1287.0,14363.0,1407.0,314.0,30.0,124.0,565.0,143.0,60.0,47.0,0.0,604.0,64.0,314.0,674.0,22.47,535.0,52.0,35.0,16.0,68.0,2.27,50.0,4.0,6.0,5.0,0.0,509.0,304.0,276.0,176.0,57.0,357.0,135.0,222.0,301.0,642.0,4.0,19144.0,2105.0,6439.0,8602.0,4291.0,583.0,19140.0,13458.0,487.0,469.0,104.0,12415.0,431.0,207.0,0.0,303.0,286.0,64.0,3.0,4.0,1.0,1567.0,505.0,448.0,53.0
