team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Anderlecht,32.0,46.9,30.0,330.0,2700.0,30.0,17.0,3.0,4.0,71.0,5.0,1.0,0.57,1.57,0.9,1.47,36.6,34.1,1.22,1.14,30.0,30.0,2700.0,58.0,1.93,145.0,89.0,64.8,3.0,9.0,18.0,2.0,6.7,7.0,7.0,0.0,0.0,30.0,0.0,5.0,2.0,52.3,0.32,-3.7,-0.12,223.0,533.0,41.8,814.0,115.0,51.6,40.1,229.0,49.3,37.4,409.0,20.0,4.9,38.0,1.27,15.4,130.0,10.0,32.5,4.33,0.07,0.21,0.09,-6.6,-7.1,11003.0,14290.0,77.0,210158.0,77738.0,4295.0,5160.0,83.2,4908.0,5861.0,83.7,1468.0,2535.0,57.9,308.0,980.0,259.0,70.0,1255.0,12821.0,1429.0,360.0,25.0,110.0,557.0,143.0,59.0,49.0,1.0,609.0,40.0,291.0,696.0,23.2,536.0,48.0,34.0,26.0,50.0,1.67,36.0,3.0,4.0,3.0,0.0,489.0,311.0,229.0,191.0,69.0,358.0,111.0,247.0,298.0,595.0,15.0,17830.0,1890.0,5382.0,7875.0,4761.0,658.0,17826.0,11936.0,527.0,533.0,128.0,10888.0,518.0,297.0,4.0,376.0,310.0,40.0,1.0,7.0,2.0,1596.0,390.0,371.0,51.2
vs Antwerp,27.0,40.6,30.0,330.0,2700.0,26.0,15.0,5.0,5.0,71.0,5.0,0.87,0.5,1.37,0.7,1.2,31.9,28.0,1.06,0.93,30.0,30.0,2700.0,55.0,1.83,147.0,93.0,66.0,6.0,10.0,14.0,7.0,23.3,9.0,5.0,2.0,2.0,30.0,1.0,3.0,3.0,51.7,0.31,-0.3,-0.01,204.0,490.0,41.6,800.0,114.0,45.5,37.7,251.0,50.2,38.1,420.0,25.0,6.0,19.0,0.63,11.9,92.0,7.0,31.6,3.07,0.07,0.23,0.1,-5.9,-7.0,9455.0,12461.0,75.9,177006.0,71978.0,3773.0,4553.0,82.9,4203.0,5052.0,83.2,1170.0,2171.0,53.9,210.0,791.0,182.0,51.0,1054.0,11107.0,1302.0,329.0,28.0,82.0,440.0,121.0,55.0,45.0,0.0,516.0,52.0,253.0,489.0,16.3,336.0,48.0,29.0,26.0,43.0,1.43,24.0,3.0,7.0,5.0,0.0,532.0,311.0,304.0,178.0,50.0,333.0,100.0,233.0,282.0,706.0,9.0,15937.0,2242.0,5895.0,7009.0,3258.0,539.0,15932.0,10509.0,428.0,390.0,138.0,9357.0,541.0,283.0,4.0,332.0,284.0,52.0,4.0,9.0,3.0,1628.0,412.0,354.0,53.8
vs Cercle Brugge,27.0,54.9,30.0,330.0,2700.0,32.0,24.0,0.0,1.0,67.0,4.0,1.07,0.8,1.87,1.07,1.87,39.2,38.4,1.31,1.28,30.0,30.0,2700.0,44.0,1.47,142.0,99.0,70.4,11.0,5.0,14.0,7.0,23.3,3.0,2.0,0.0,1.0,30.0,0.0,7.0,1.0,46.1,0.31,3.1,0.1,207.0,668.0,31.0,1066.0,159.0,46.0,39.2,314.0,56.7,42.6,470.0,49.0,10.4,13.0,0.43,10.4,122.0,9.0,39.1,4.07,0.1,0.26,0.13,-7.2,-6.4,9620.0,14404.0,66.8,191693.0,78386.0,3595.0,4903.0,73.3,4208.0,5568.0,75.6,1533.0,3098.0,49.5,232.0,757.0,209.0,71.0,1010.0,12495.0,1839.0,450.0,27.0,170.0,476.0,139.0,62.0,41.0,0.0,863.0,70.0,437.0,549.0,18.3,387.0,55.0,28.0,23.0,53.0,1.77,37.0,4.0,4.0,0.0,3.0,587.0,357.0,333.0,216.0,38.0,390.0,151.0,239.0,358.0,902.0,3.0,18613.0,2786.0,8151.0,7119.0,3558.0,593.0,18612.0,10762.0,410.0,312.0,115.0,9500.0,617.0,305.0,2.0,371.0,371.0,70.0,1.0,3.0,1.0,1882.0,895.0,848.0,51.3
vs Charleroi,30.0,52.2,30.0,330.0,2700.0,47.0,33.0,5.0,5.0,34.0,5.0,1.57,1.1,2.67,1.4,2.5,46.0,42.1,1.53,1.4,30.0,30.0,2700.0,26.0,0.87,111.0,84.0,79.3,15.0,8.0,7.0,12.0,40.0,4.0,3.0,1.0,0.0,30.0,0.0,2.0,0.0,35.3,0.29,9.3,0.31,131.0,390.0,33.6,868.0,135.0,35.3,34.0,203.0,41.4,35.1,435.0,34.0,7.8,23.0,0.77,12.7,145.0,14.0,35.5,4.83,0.1,0.29,0.1,1.0,-0.1,12429.0,15939.0,78.0,235618.0,85368.0,4711.0,5661.0,83.2,5840.0,6866.0,85.1,1526.0,2641.0,57.8,297.0,1016.0,251.0,49.0,1340.0,14372.0,1532.0,400.0,35.0,109.0,549.0,165.0,80.0,51.0,0.0,709.0,35.0,301.0,701.0,23.37,509.0,63.0,32.0,35.0,78.0,2.6,54.0,4.0,5.0,6.0,2.0,499.0,315.0,251.0,185.0,63.0,385.0,85.0,300.0,332.0,657.0,7.0,19585.0,1965.0,6010.0,9263.0,4515.0,667.0,19580.0,13253.0,550.0,459.0,146.0,12319.0,527.0,277.0,1.0,308.0,343.0,35.0,4.0,4.0,0.0,1689.0,556.0,512.0,52.1
vs Club Brugge,29.0,43.2,30.0,330.0,2700.0,29.0,24.0,0.0,3.0,67.0,4.0,0.97,0.8,1.77,0.97,1.77,26.2,23.9,0.87,0.8,30.0,30.0,2699.0,62.0,2.07,178.0,117.0,69.7,7.0,9.0,14.0,3.0,10.0,10.0,8.0,1.0,1.0,30.0,1.0,8.0,2.0,63.3,0.31,3.3,0.11,151.0,414.0,36.5,873.0,122.0,34.7,33.7,255.0,43.5,35.8,560.0,34.0,6.1,17.0,0.57,9.7,98.0,11.0,33.4,3.27,0.1,0.3,0.08,2.8,5.1,9887.0,13048.0,75.8,186675.0,69827.0,3851.0,4662.0,82.6,4502.0,5424.0,83.0,1220.0,2282.0,53.5,220.0,701.0,148.0,31.0,877.0,11560.0,1433.0,349.0,11.0,81.0,357.0,98.0,44.0,26.0,0.0,638.0,55.0,289.0,499.0,16.63,363.0,43.0,25.0,28.0,48.0,1.6,35.0,3.0,2.0,3.0,0.0,565.0,373.0,305.0,199.0,61.0,402.0,134.0,268.0,340.0,736.0,7.0,16651.0,2352.0,6406.0,7226.0,3217.0,451.0,16648.0,10949.0,413.0,374.0,130.0,9775.0,485.0,243.0,2.0,328.0,314.0,55.0,3.0,10.0,2.0,1549.0,374.0,481.0,43.7
vs Eupen,26.0,55.4,30.0,330.0,2700.0,54.0,36.0,4.0,6.0,49.0,3.0,1.8,1.2,3.0,1.67,2.87,57.5,52.9,1.92,1.76,30.0,30.0,2700.0,24.0,0.8,96.0,72.0,76.0,20.0,3.0,7.0,12.0,40.0,1.0,1.0,0.0,0.0,30.0,0.0,3.0,0.0,25.0,0.25,1.0,0.03,99.0,321.0,30.8,830.0,124.0,28.9,31.4,201.0,40.3,36.8,373.0,30.0,8.0,38.0,1.27,15.5,162.0,15.0,31.5,5.4,0.1,0.31,0.11,-3.5,-2.9,13670.0,17057.0,80.1,259398.0,87274.0,5074.0,5986.0,84.8,6450.0,7440.0,86.7,1711.0,2781.0,61.5,388.0,1071.0,313.0,83.0,1500.0,15442.0,1574.0,442.0,36.0,146.0,621.0,167.0,73.0,55.0,0.0,710.0,41.0,314.0,896.0,29.87,676.0,67.0,52.0,42.0,85.0,2.83,62.0,2.0,10.0,5.0,0.0,469.0,289.0,213.0,182.0,74.0,361.0,75.0,286.0,316.0,534.0,3.0,20549.0,1615.0,5612.0,9970.0,5177.0,850.0,20543.0,14645.0,590.0,487.0,177.0,13559.0,487.0,285.0,1.0,323.0,374.0,41.0,6.0,1.0,0.0,1654.0,487.0,376.0,56.4
vs Genk,26.0,46.0,30.0,330.0,2700.0,31.0,22.0,2.0,3.0,69.0,0.0,1.03,0.73,1.77,0.97,1.7,33.4,30.9,1.11,1.03,30.0,30.0,2700.0,51.0,1.7,166.0,115.0,70.5,7.0,11.0,12.0,5.0,16.7,5.0,2.0,2.0,1.0,30.0,0.0,3.0,2.0,56.4,0.32,7.4,0.25,235.0,562.0,41.8,825.0,111.0,47.3,38.3,308.0,55.8,41.4,463.0,30.0,6.5,23.0,0.77,12.2,113.0,13.0,33.2,3.77,0.09,0.26,0.09,-2.4,-1.9,9694.0,13016.0,74.5,185903.0,74436.0,3769.0,4626.0,81.5,4323.0,5268.0,82.1,1297.0,2419.0,53.6,262.0,782.0,245.0,62.0,1031.0,11455.0,1515.0,418.0,17.0,70.0,513.0,142.0,66.0,45.0,1.0,567.0,46.0,289.0,585.0,19.5,433.0,39.0,39.0,28.0,55.0,1.83,41.0,2.0,5.0,4.0,0.0,618.0,380.0,308.0,221.0,89.0,403.0,128.0,275.0,303.0,700.0,9.0,16703.0,2285.0,6150.0,6844.0,3901.0,636.0,16700.0,10554.0,464.0,405.0,136.0,9595.0,547.0,291.0,0.0,365.0,347.0,46.0,2.0,5.0,2.0,1596.0,449.0,465.0,49.1
vs Gent,32.0,45.6,30.0,330.0,2700.0,38.0,24.0,8.0,11.0,79.0,1.0,1.27,0.8,2.07,1.0,1.8,42.8,34.3,1.43,1.14,30.0,30.0,2700.0,53.0,1.77,167.0,115.0,70.7,7.0,11.0,12.0,4.0,13.3,6.0,4.0,2.0,0.0,30.0,0.0,11.0,3.0,48.0,0.26,-2.0,-0.07,154.0,417.0,36.9,749.0,140.0,41.9,37.7,234.0,44.0,35.1,451.0,25.0,5.5,30.0,1.0,13.7,111.0,7.0,31.4,3.7,0.08,0.27,0.1,-4.8,-4.3,10381.0,13784.0,75.3,190476.0,73909.0,4267.0,5158.0,82.7,4362.0,5385.0,81.0,1317.0,2413.0,54.6,268.0,877.0,241.0,64.0,1201.0,12279.0,1455.0,337.0,40.0,106.0,544.0,142.0,71.0,47.0,1.0,660.0,50.0,258.0,646.0,21.53,479.0,54.0,38.0,23.0,63.0,2.1,44.0,1.0,8.0,5.0,2.0,540.0,359.0,277.0,206.0,57.0,415.0,106.0,309.0,364.0,705.0,15.0,17546.0,2146.0,5828.0,7641.0,4277.0,622.0,17535.0,11394.0,558.0,469.0,146.0,10267.0,561.0,285.0,1.0,341.0,295.0,50.0,8.0,6.0,3.0,1717.0,496.0,513.0,49.2
vs Kortrijk,36.0,57.0,30.0,330.0,2700.0,53.0,35.0,1.0,2.0,44.0,1.0,1.77,1.17,2.93,1.73,2.9,54.9,53.4,1.83,1.78,30.0,30.0,2700.0,22.0,0.73,87.0,65.0,77.0,18.0,6.0,6.0,15.0,50.0,2.0,2.0,0.0,0.0,30.0,1.0,1.0,0.0,26.3,0.28,4.3,0.14,135.0,342.0,39.5,812.0,100.0,30.8,33.2,196.0,46.9,37.4,417.0,23.0,5.5,36.0,1.2,15.1,167.0,11.0,34.7,5.57,0.11,0.31,0.12,-1.9,-1.4,13461.0,17185.0,78.3,257573.0,89701.0,5018.0,6023.0,83.3,6141.0,7209.0,85.2,1834.0,3017.0,60.8,357.0,1227.0,343.0,80.0,1589.0,15584.0,1502.0,345.0,50.0,128.0,624.0,189.0,85.0,78.0,2.0,720.0,99.0,304.0,832.0,27.73,637.0,62.0,45.0,25.0,85.0,2.83,62.0,4.0,9.0,2.0,2.0,555.0,345.0,237.0,231.0,87.0,349.0,93.0,256.0,298.0,533.0,7.0,20732.0,1641.0,5502.0,10082.0,5375.0,957.0,20730.0,14533.0,588.0,463.0,205.0,13327.0,514.0,295.0,0.0,338.0,312.0,99.0,2.0,2.0,0.0,1796.0,555.0,499.0,52.7
vs Mechelen,30.0,49.0,30.0,330.0,2700.0,33.0,23.0,1.0,4.0,55.0,5.0,1.1,0.77,1.87,1.07,1.83,42.4,39.3,1.41,1.31,30.0,30.0,2700.0,39.0,1.3,137.0,99.0,73.7,11.0,6.0,13.0,10.0,33.3,4.0,3.0,1.0,0.0,30.0,1.0,3.0,2.0,41.4,0.28,4.4,0.15,173.0,438.0,39.5,803.0,139.0,40.6,35.5,235.0,47.7,36.0,423.0,30.0,7.1,34.0,1.13,14.7,122.0,13.0,26.8,4.07,0.07,0.26,0.09,-9.4,-7.3,12262.0,15376.0,79.7,228742.0,80707.0,4760.0,5582.0,85.3,5738.0,6680.0,85.9,1412.0,2437.0,57.9,336.0,1005.0,277.0,66.0,1353.0,13948.0,1403.0,348.0,22.0,91.0,562.0,156.0,71.0,56.0,0.0,597.0,25.0,252.0,789.0,26.3,554.0,69.0,65.0,42.0,54.0,1.8,36.0,5.0,7.0,3.0,0.0,407.0,260.0,194.0,164.0,49.0,353.0,85.0,268.0,275.0,594.0,10.0,18838.0,1845.0,5342.0,8903.0,4786.0,731.0,18834.0,13045.0,529.0,495.0,118.0,12140.0,488.0,229.0,1.0,304.0,294.0,25.0,3.0,4.0,2.0,1490.0,448.0,505.0,47.0
