team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Augsburg,29.0,43.9,34.0,374.0,3060.0,49.0,35.0,5.0,7.0,71.0,3.0,1.44,1.03,2.47,1.29,2.32,46.1,40.7,1.36,1.2,34.0,34.0,3060.0,60.0,1.76,183.0,123.0,71.0,10.0,9.0,15.0,3.0,8.8,10.0,7.0,2.0,1.0,34.0,0.0,12.0,2.0,56.0,0.26,-2.0,-0.06,185.0,490.0,37.8,1172.0,98.0,32.5,34.5,264.0,41.3,37.4,520.0,30.0,5.8,52.0,1.53,11.6,123.0,12.0,28.7,3.62,0.1,0.36,0.1,2.9,3.3,10545.0,14262.0,73.9,199672.0,80511.0,4147.0,4989.0,83.1,4851.0,5902.0,82.2,1272.0,2491.0,51.1,299.0,919.0,284.0,89.0,1137.0,12585.0,1596.0,393.0,34.0,76.0,631.0,165.0,65.0,80.0,0.0,681.0,81.0,314.0,726.0,21.35,503.0,78.0,58.0,39.0,78.0,2.29,58.0,6.0,8.0,4.0,0.0,528.0,319.0,234.0,222.0,72.0,439.0,133.0,306.0,295.0,727.0,9.0,18129.0,2132.0,6226.0,7677.0,4413.0,795.0,18122.0,9497.0,462.0,313.0,91.0,10394.0,533.0,236.0,1.0,454.0,338.0,81.0,5.0,10.0,2.0,1669.0,587.0,602.0,49.4
Bayern Munich,30.0,61.3,34.0,374.0,3060.0,93.0,71.0,5.0,5.0,47.0,2.0,2.74,2.09,4.82,2.59,4.68,85.2,81.3,2.5,2.39,34.0,34.0,3060.0,45.0,1.32,124.0,78.0,66.1,23.0,3.0,8.0,11.0,32.4,4.0,3.0,1.0,0.0,34.0,2.0,3.0,0.0,41.0,0.3,-4.0,-0.12,99.0,242.0,40.9,1072.0,170.0,20.4,33.1,216.0,10.6,20.9,341.0,14.0,4.1,48.0,1.41,0.0,229.0,13.0,36.2,6.74,0.14,0.38,0.13,7.8,6.7,19987.0,22946.0,87.1,340799.0,109694.0,9254.0,10094.0,91.7,8928.0,9742.0,91.6,1476.0,2208.0,66.8,506.0,1563.0,458.0,86.0,1941.0,21398.0,1488.0,347.0,83.0,119.0,655.0,228.0,78.0,102.0,2.0,620.0,60.0,363.0,1156.0,34.0,875.0,86.0,72.0,38.0,166.0,4.88,126.0,9.0,11.0,6.0,3.0,520.0,323.0,227.0,191.0,102.0,378.0,81.0,297.0,288.0,473.0,18.0,26644.0,2111.0,7127.0,12412.0,7367.0,1214.0,26639.0,16452.0,944.0,704.0,276.0,19847.0,468.0,357.0,1.0,304.0,306.0,60.0,2.0,4.0,0.0,1768.0,410.0,319.0,56.2
Bochum,25.0,46.6,34.0,374.0,3060.0,41.0,30.0,4.0,4.0,97.0,2.0,1.21,0.88,2.09,1.09,1.97,44.5,41.4,1.31,1.22,34.0,34.0,3060.0,74.0,2.18,189.0,117.0,65.6,7.0,12.0,15.0,4.0,11.8,11.0,9.0,2.0,0.0,34.0,0.0,9.0,4.0,62.3,0.28,-7.7,-0.23,450.0,1084.0,41.5,1497.0,91.0,63.5,51.3,258.0,51.9,41.2,523.0,35.0,6.7,104.0,3.06,7.7,145.0,18.0,27.7,4.26,0.07,0.26,0.08,-3.5,-4.4,9786.0,14203.0,68.9,185281.0,85808.0,4234.0,5278.0,80.2,3854.0,5032.0,76.6,1393.0,2934.0,47.5,371.0,902.0,265.0,85.0,1151.0,12336.0,1784.0,454.0,42.0,50.0,649.0,154.0,58.0,77.0,1.0,813.0,83.0,325.0,884.0,26.0,561.0,134.0,81.0,55.0,72.0,2.12,43.0,8.0,9.0,6.0,1.0,603.0,366.0,272.0,253.0,78.0,460.0,142.0,318.0,308.0,768.0,9.0,18361.0,2175.0,5905.0,8082.0,4546.0,787.0,18357.0,8480.0,400.0,292.0,91.0,9653.0,494.0,280.0,0.0,446.0,409.0,83.0,4.0,11.0,4.0,1808.0,815.0,816.0,50.0
Darmstadt 98,32.0,45.7,34.0,374.0,3060.0,28.0,21.0,3.0,3.0,83.0,4.0,0.82,0.62,1.44,0.74,1.35,32.3,30.0,0.95,0.88,34.0,34.0,3060.0,86.0,2.53,215.0,130.0,60.5,3.0,8.0,23.0,3.0,8.8,2.0,1.0,1.0,0.0,34.0,2.0,9.0,2.0,74.3,0.34,-9.7,-0.29,278.0,690.0,40.3,1333.0,195.0,36.8,36.0,310.0,64.5,49.3,504.0,27.0,5.4,60.0,1.76,19.1,110.0,12.0,27.2,3.24,0.06,0.23,0.08,-4.3,-5.0,11807.0,15336.0,77.0,223927.0,86971.0,4830.0,5582.0,86.5,5247.0,6139.0,85.5,1494.0,2813.0,53.1,302.0,873.0,226.0,65.0,1083.0,13685.0,1594.0,408.0,19.0,103.0,514.0,115.0,42.0,62.0,1.0,641.0,57.0,311.0,723.0,21.26,522.0,68.0,48.0,32.0,50.0,1.47,38.0,3.0,4.0,3.0,1.0,560.0,323.0,303.0,197.0,60.0,400.0,137.0,263.0,317.0,707.0,19.0,19009.0,2407.0,7114.0,8147.0,3897.0,566.0,19006.0,9943.0,437.0,310.0,99.0,11700.0,470.0,230.0,0.0,429.0,351.0,57.0,2.0,2.0,2.0,1502.0,510.0,569.0,47.3
Dortmund,32.0,57.8,34.0,374.0,3060.0,68.0,49.0,6.0,6.0,59.0,4.0,2.0,1.44,3.44,1.82,3.26,63.5,58.8,1.87,1.73,34.0,34.0,3060.0,43.0,1.26,145.0,103.0,73.8,18.0,9.0,7.0,10.0,29.4,6.0,5.0,1.0,0.0,34.0,0.0,9.0,2.0,44.6,0.28,3.6,0.1,133.0,349.0,38.1,1267.0,135.0,20.8,28.3,269.0,31.6,30.7,466.0,15.0,3.2,24.0,0.71,14.5,184.0,17.0,36.4,5.41,0.12,0.34,0.12,4.5,3.2,17191.0,20445.0,84.1,300426.0,100507.0,7696.0,8552.0,90.0,7352.0,8202.0,89.6,1651.0,2584.0,63.9,389.0,1144.0,301.0,46.0,1452.0,18810.0,1591.0,467.0,52.0,151.0,522.0,176.0,79.0,77.0,2.0,602.0,44.0,344.0,909.0,26.74,668.0,68.0,62.0,42.0,121.0,3.56,84.0,8.0,8.0,10.0,4.0,548.0,356.0,297.0,201.0,50.0,431.0,121.0,310.0,251.0,628.0,12.0,24316.0,2558.0,8082.0,11083.0,5366.0,901.0,24310.0,14643.0,770.0,565.0,229.0,17002.0,532.0,329.0,2.0,315.0,391.0,44.0,5.0,6.0,2.0,1763.0,390.0,426.0,47.8
Eint Frankfurt,34.0,52.1,34.0,374.0,3060.0,48.0,36.0,2.0,3.0,70.0,5.0,1.41,1.06,2.47,1.35,2.41,46.2,44.4,1.36,1.31,34.0,34.0,3060.0,50.0,1.47,146.0,94.0,71.9,11.0,14.0,9.0,7.0,20.6,11.0,9.0,2.0,0.0,34.0,0.0,4.0,0.0,49.7,0.27,-0.3,-0.01,106.0,390.0,27.2,976.0,152.0,30.4,34.4,277.0,33.6,31.4,485.0,20.0,4.1,34.0,1.0,15.7,139.0,11.0,34.6,4.09,0.11,0.33,0.11,1.8,1.6,15017.0,18809.0,79.8,260025.0,91225.0,6582.0,7496.0,87.8,6907.0,7959.0,86.8,1204.0,2409.0,50.0,292.0,1007.0,276.0,60.0,1305.0,17091.0,1667.0,407.0,54.0,57.0,557.0,161.0,61.0,85.0,0.0,739.0,51.0,368.0,688.0,20.24,493.0,63.0,48.0,31.0,81.0,2.38,63.0,2.0,9.0,3.0,1.0,602.0,359.0,282.0,240.0,80.0,424.0,99.0,325.0,302.0,704.0,12.0,22762.0,2453.0,7846.0,10620.0,4523.0,815.0,22759.0,13004.0,574.0,391.0,176.0,14898.0,523.0,298.0,4.0,355.0,318.0,51.0,2.0,11.0,0.0,1792.0,477.0,525.0,47.6
Freiburg,25.0,46.6,34.0,374.0,3060.0,43.0,32.0,7.0,9.0,64.0,4.0,1.26,0.94,2.21,1.06,2.0,49.4,42.4,1.45,1.25,34.0,34.0,3060.0,58.0,1.71,158.0,99.0,65.2,11.0,9.0,14.0,10.0,29.4,5.0,3.0,2.0,0.0,34.0,1.0,5.0,1.0,50.0,0.3,-7.0,-0.21,193.0,568.0,34.0,1103.0,160.0,36.8,34.2,286.0,56.6,45.2,485.0,31.0,6.4,30.0,0.88,13.6,131.0,7.0,33.4,3.85,0.09,0.27,0.11,-6.4,-6.4,12337.0,16023.0,77.0,223388.0,83596.0,5228.0,6120.0,85.4,5515.0,6445.0,85.6,1296.0,2579.0,50.3,296.0,936.0,246.0,81.0,1208.0,14477.0,1494.0,406.0,34.0,68.0,593.0,128.0,76.0,39.0,0.0,582.0,52.0,327.0,714.0,21.0,538.0,55.0,51.0,36.0,77.0,2.26,51.0,5.0,10.0,8.0,2.0,546.0,319.0,303.0,175.0,68.0,436.0,149.0,287.0,272.0,725.0,7.0,19706.0,2362.0,6698.0,9055.0,4130.0,653.0,19697.0,10673.0,468.0,383.0,94.0,12176.0,452.0,240.0,1.0,364.0,376.0,52.0,7.0,5.0,1.0,1633.0,625.0,628.0,49.9
Gladbach,27.0,46.8,34.0,374.0,3060.0,55.0,43.0,5.0,6.0,66.0,2.0,1.62,1.26,2.88,1.47,2.74,46.5,41.8,1.37,1.23,34.0,34.0,3060.0,67.0,1.97,207.0,140.0,70.5,7.0,13.0,14.0,4.0,11.8,6.0,6.0,0.0,0.0,34.0,0.0,7.0,0.0,58.4,0.26,-8.6,-0.25,144.0,405.0,35.6,1059.0,177.0,28.7,32.3,266.0,38.0,33.6,538.0,28.0,5.2,34.0,1.0,15.3,144.0,4.0,31.9,4.24,0.11,0.35,0.1,8.5,8.2,13544.0,16946.0,79.9,232267.0,84618.0,6222.0,7073.0,88.0,5785.0,6704.0,86.3,1162.0,2210.0,52.6,374.0,801.0,261.0,83.0,1227.0,15325.0,1568.0,414.0,45.0,67.0,574.0,174.0,62.0,87.0,1.0,615.0,53.0,330.0,806.0,23.71,572.0,85.0,59.0,29.0,98.0,2.88,71.0,9.0,8.0,4.0,2.0,582.0,337.0,291.0,247.0,44.0,465.0,168.0,297.0,333.0,860.0,15.0,20954.0,2559.0,7900.0,9058.0,4189.0,720.0,20948.0,12077.0,598.0,435.0,153.0,13427.0,429.0,320.0,1.0,337.0,372.0,53.0,4.0,6.0,0.0,1701.0,485.0,478.0,50.4
Heidenheim,22.0,42.5,34.0,374.0,3060.0,46.0,34.0,2.0,3.0,54.0,1.0,1.35,1.0,2.35,1.29,2.29,39.4,37.0,1.16,1.09,34.0,34.0,3060.0,55.0,1.62,174.0,121.0,72.4,10.0,12.0,12.0,6.0,17.6,10.0,7.0,1.0,2.0,34.0,0.0,7.0,3.0,53.6,0.27,1.6,0.05,249.0,595.0,41.8,1162.0,167.0,35.3,35.9,318.0,58.2,46.0,495.0,24.0,4.8,17.0,0.5,13.2,114.0,12.0,29.1,3.35,0.11,0.39,0.1,6.6,7.0,10264.0,14339.0,71.6,206040.0,85936.0,3699.0,4713.0,78.5,4741.0,5858.0,80.9,1578.0,2863.0,55.1,279.0,730.0,201.0,73.0,983.0,12534.0,1767.0,381.0,22.0,112.0,663.0,183.0,90.0,75.0,0.0,798.0,38.0,427.0,666.0,19.59,442.0,95.0,54.0,34.0,81.0,2.38,57.0,9.0,5.0,5.0,1.0,601.0,352.0,311.0,225.0,65.0,463.0,129.0,334.0,302.0,783.0,5.0,18405.0,2361.0,6987.0,7570.0,4058.0,637.0,18402.0,9120.0,510.0,361.0,90.0,10152.0,549.0,279.0,0.0,442.0,325.0,38.0,1.0,10.0,3.0,1741.0,690.0,612.0,53.0
Hoffenheim,30.0,49.5,34.0,374.0,3060.0,65.0,47.0,6.0,6.0,86.0,5.0,1.91,1.38,3.29,1.74,3.12,53.6,49.0,1.58,1.44,34.0,34.0,3060.0,66.0,1.94,211.0,143.0,69.7,13.0,7.0,14.0,2.0,5.9,5.0,2.0,3.0,0.0,34.0,3.0,9.0,1.0,68.6,0.31,3.6,0.11,208.0,529.0,39.3,1112.0,165.0,35.2,32.7,296.0,46.6,39.6,545.0,31.0,5.7,73.0,2.15,16.7,160.0,16.0,35.0,4.71,0.13,0.37,0.11,11.4,10.0,13457.0,17038.0,79.0,240505.0,94518.0,5931.0,6757.0,87.8,5840.0,6864.0,85.1,1372.0,2563.0,53.5,346.0,1069.0,292.0,76.0,1359.0,15411.0,1575.0,414.0,62.0,74.0,603.0,149.0,59.0,56.0,2.0,617.0,52.0,328.0,813.0,23.91,608.0,68.0,48.0,38.0,110.0,3.24,78.0,5.0,8.0,6.0,2.0,517.0,304.0,286.0,185.0,46.0,413.0,143.0,270.0,357.0,790.0,12.0,20983.0,2561.0,6920.0,9475.0,4742.0,752.0,20977.0,11630.0,538.0,401.0,144.0,13325.0,477.0,241.0,4.0,339.0,366.0,52.0,5.0,5.0,1.0,1715.0,515.0,515.0,50.0
