team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Augsburg,29.0,56.1,34.0,374.0,3060.0,58.0,40.0,7.0,10.0,63.0,1.0,1.71,1.18,2.88,1.5,2.68,57.4,49.7,1.69,1.46,34.0,34.0,3060.0,50.0,1.47,130.0,79.0,65.4,15.0,9.0,10.0,8.0,23.5,7.0,5.0,2.0,0.0,34.0,1.0,6.0,1.0,42.3,0.28,-6.7,-0.2,186.0,488.0,38.1,1175.0,172.0,32.8,33.4,289.0,35.6,33.5,502.0,32.0,6.4,38.0,1.12,13.4,174.0,5.0,35.0,5.12,0.1,0.29,0.1,0.6,1.3,14958.0,18656.0,80.2,264692.0,98255.0,6839.0,7791.0,87.8,6224.0,7202.0,86.4,1555.0,2741.0,56.7,391.0,1058.0,332.0,83.0,1420.0,16854.0,1744.0,514.0,43.0,156.0,658.0,179.0,95.0,53.0,4.0,678.0,58.0,331.0,902.0,26.53,693.0,73.0,64.0,34.0,104.0,3.06,77.0,8.0,10.0,8.0,0.0,491.0,293.0,245.0,196.0,50.0,393.0,120.0,273.0,249.0,803.0,16.0,22454.0,2539.0,7734.0,9897.0,5017.0,852.0,22444.0,12145.0,665.0,446.0,176.0,14820.0,495.0,291.0,0.0,360.0,436.0,58.0,9.0,7.0,1.0,1575.0,603.0,587.0,50.7
vs Bayern Munich,30.0,38.7,34.0,374.0,3060.0,45.0,35.0,3.0,4.0,62.0,3.0,1.32,1.03,2.35,1.24,2.26,32.1,29.0,0.95,0.85,34.0,34.0,3060.0,94.0,2.76,234.0,141.0,62.0,8.0,3.0,23.0,3.0,8.8,5.0,5.0,0.0,0.0,34.0,1.0,11.0,1.0,87.0,0.36,-6.0,-0.18,162.0,436.0,37.2,1008.0,160.0,32.4,34.1,304.0,35.9,32.9,523.0,24.0,4.6,22.0,0.65,12.5,120.0,8.0,34.3,3.53,0.12,0.35,0.08,12.9,13.0,11673.0,14634.0,79.8,202954.0,78046.0,5434.0,6109.0,89.0,4745.0,5506.0,86.2,1143.0,2123.0,53.8,262.0,815.0,216.0,51.0,1001.0,13184.0,1400.0,346.0,45.0,86.0,463.0,96.0,38.0,40.0,1.0,527.0,50.0,325.0,614.0,18.06,458.0,46.0,29.0,19.0,81.0,2.38,57.0,8.0,3.0,5.0,1.0,731.0,435.0,396.0,232.0,103.0,527.0,188.0,339.0,349.0,734.0,8.0,18550.0,2714.0,7474.0,7510.0,3763.0,576.0,18546.0,10262.0,504.0,335.0,135.0,11569.0,474.0,275.0,1.0,319.0,294.0,50.0,4.0,5.0,1.0,1612.0,319.0,410.0,43.8
vs Bochum,25.0,53.4,34.0,374.0,3060.0,70.0,55.0,9.0,11.0,75.0,2.0,2.06,1.62,3.68,1.79,3.41,63.9,55.4,1.88,1.63,34.0,34.0,3060.0,42.0,1.24,149.0,108.0,74.5,15.0,12.0,7.0,8.0,23.5,4.0,4.0,0.0,0.0,34.0,2.0,9.0,1.0,43.7,0.27,2.7,0.08,203.0,571.0,35.6,1183.0,219.0,36.1,35.6,331.0,43.5,37.6,516.0,36.0,7.0,52.0,1.53,15.7,178.0,7.0,34.0,5.24,0.12,0.34,0.11,6.1,5.6,12224.0,16555.0,73.8,222302.0,91121.0,5394.0,6454.0,83.6,5143.0,6349.0,81.0,1393.0,2806.0,49.6,417.0,882.0,302.0,82.0,1264.0,14631.0,1865.0,506.0,51.0,101.0,668.0,198.0,87.0,85.0,2.0,755.0,59.0,367.0,939.0,27.62,657.0,103.0,66.0,50.0,122.0,3.59,86.0,7.0,15.0,7.0,1.0,489.0,304.0,234.0,215.0,40.0,433.0,147.0,286.0,314.0,928.0,11.0,20892.0,2608.0,7568.0,8785.0,4737.0,935.0,20881.0,10614.0,597.0,419.0,178.0,12091.0,550.0,309.0,1.0,422.0,422.0,59.0,8.0,4.0,1.0,1798.0,816.0,815.0,50.0
vs Darmstadt 98,32.0,54.3,34.0,374.0,3060.0,84.0,68.0,1.0,2.0,59.0,4.0,2.47,2.0,4.47,2.44,4.44,73.1,71.6,2.15,2.1,34.0,34.0,3060.0,30.0,0.88,113.0,85.0,76.1,23.0,8.0,3.0,17.0,50.0,3.0,3.0,0.0,0.0,34.0,0.0,2.0,2.0,30.2,0.24,2.2,0.06,142.0,415.0,34.2,1075.0,139.0,31.0,32.4,223.0,36.8,34.2,392.0,29.0,7.4,55.0,1.62,17.9,213.0,26.0,37.0,6.26,0.14,0.39,0.13,10.9,11.4,14988.0,18463.0,81.2,258021.0,96049.0,6889.0,7744.0,89.0,6439.0,7393.0,87.1,1280.0,2397.0,53.4,446.0,1144.0,333.0,85.0,1458.0,16773.0,1631.0,453.0,76.0,70.0,622.0,182.0,73.0,79.0,0.0,709.0,59.0,299.0,1021.0,30.03,751.0,86.0,57.0,51.0,150.0,4.41,112.0,9.0,8.0,7.0,0.0,450.0,270.0,188.0,205.0,57.0,395.0,117.0,278.0,221.0,578.0,6.0,22128.0,1940.0,6581.0,10364.0,5396.0,922.0,22126.0,12934.0,647.0,459.0,149.0,14789.0,478.0,275.0,2.0,370.0,409.0,59.0,1.0,3.0,2.0,1748.0,569.0,510.0,52.7
vs Dortmund,32.0,42.2,34.0,374.0,3060.0,41.0,28.0,5.0,6.0,70.0,1.0,1.21,0.82,2.03,1.06,1.88,52.0,47.8,1.53,1.41,34.0,34.0,3060.0,68.0,2.0,190.0,122.0,67.4,7.0,9.0,18.0,4.0,11.8,6.0,6.0,0.0,0.0,34.0,2.0,9.0,0.0,66.4,0.33,-1.6,-0.05,152.0,435.0,34.9,874.0,147.0,39.0,35.2,247.0,38.1,34.3,403.0,21.0,5.2,24.0,0.71,13.6,139.0,18.0,29.5,4.09,0.08,0.26,0.1,-11.0,-11.8,11645.0,14962.0,77.8,204512.0,80525.0,5261.0,6029.0,87.3,4918.0,5814.0,84.6,1155.0,2193.0,52.7,336.0,943.0,276.0,74.0,1283.0,13401.0,1471.0,330.0,54.0,83.0,602.0,172.0,74.0,66.0,0.0,623.0,90.0,350.0,813.0,23.91,555.0,78.0,77.0,46.0,70.0,2.06,47.0,6.0,7.0,5.0,4.0,641.0,376.0,313.0,249.0,79.0,444.0,126.0,318.0,336.0,673.0,12.0,18853.0,2199.0,6177.0,8137.0,4755.0,807.0,18847.0,10090.0,608.0,429.0,159.0,11549.0,440.0,256.0,0.0,406.0,301.0,90.0,5.0,6.0,0.0,1755.0,426.0,389.0,52.3
vs Eint Frankfurt,34.0,47.9,34.0,374.0,3060.0,50.0,34.0,9.0,11.0,56.0,4.0,1.47,1.0,2.47,1.21,2.21,52.1,43.3,1.53,1.27,34.0,34.0,3060.0,51.0,1.5,141.0,93.0,65.2,9.0,14.0,11.0,6.0,17.6,3.0,2.0,0.0,1.0,34.0,0.0,1.0,3.0,45.4,0.32,-2.6,-0.08,207.0,489.0,42.3,1220.0,173.0,31.6,33.2,239.0,43.1,37.4,426.0,32.0,7.5,64.0,1.88,17.8,135.0,10.0,33.1,3.97,0.1,0.3,0.11,-2.1,-2.3,13799.0,17532.0,78.7,247001.0,91541.0,6066.0,6954.0,87.2,5914.0,6961.0,85.0,1470.0,2591.0,56.7,295.0,1018.0,265.0,72.0,1283.0,15912.0,1535.0,378.0,48.0,85.0,619.0,155.0,47.0,74.0,3.0,679.0,85.0,373.0,722.0,21.24,521.0,67.0,36.0,45.0,81.0,2.38,53.0,5.0,8.0,10.0,1.0,624.0,370.0,286.0,257.0,81.0,442.0,108.0,334.0,312.0,692.0,10.0,21497.0,2276.0,7083.0,9819.0,4781.0,710.0,21486.0,11753.0,499.0,404.0,108.0,13647.0,511.0,309.0,2.0,337.0,348.0,85.0,11.0,3.0,3.0,1827.0,525.0,477.0,52.4
vs Freiburg,25.0,53.4,34.0,374.0,3060.0,57.0,45.0,3.0,5.0,69.0,1.0,1.68,1.32,3.0,1.59,2.91,50.5,46.5,1.48,1.37,34.0,34.0,3060.0,45.0,1.32,138.0,95.0,72.5,14.0,9.0,11.0,6.0,17.6,9.0,7.0,0.0,2.0,34.0,0.0,4.0,2.0,46.4,0.3,3.4,0.1,160.0,395.0,40.5,1250.0,155.0,26.2,29.8,214.0,31.8,32.2,478.0,20.0,4.2,47.0,1.38,17.3,153.0,10.0,30.4,4.5,0.11,0.35,0.09,6.5,7.5,15011.0,18560.0,80.9,260679.0,94538.0,6651.0,7565.0,87.9,6723.0,7698.0,87.3,1268.0,2365.0,53.6,394.0,1093.0,307.0,90.0,1334.0,17024.0,1492.0,399.0,49.0,69.0,601.0,190.0,82.0,78.0,1.0,611.0,44.0,316.0,877.0,25.79,652.0,79.0,49.0,35.0,101.0,2.97,79.0,3.0,6.0,4.0,0.0,477.0,281.0,214.0,186.0,77.0,388.0,101.0,287.0,244.0,718.0,6.0,22323.0,2109.0,7300.0,10135.0,5097.0,915.0,22318.0,12935.0,623.0,463.0,197.0,14833.0,568.0,319.0,1.0,387.0,351.0,44.0,4.0,9.0,2.0,1682.0,628.0,625.0,50.1
vs Gladbach,27.0,53.2,34.0,374.0,3060.0,67.0,52.0,6.0,6.0,64.0,3.0,1.97,1.53,3.5,1.79,3.32,54.2,49.5,1.6,1.46,34.0,34.0,3060.0,56.0,1.65,150.0,94.0,66.0,14.0,13.0,7.0,8.0,23.5,6.0,5.0,1.0,0.0,34.0,0.0,13.0,1.0,51.1,0.3,-3.9,-0.12,142.0,405.0,35.1,988.0,127.0,31.8,32.7,242.0,37.6,35.1,446.0,24.0,5.4,46.0,1.35,16.7,201.0,22.0,35.0,5.91,0.11,0.3,0.09,12.8,11.5,16078.0,19590.0,82.1,276051.0,95993.0,7427.0,8280.0,89.7,6901.0,7868.0,87.7,1359.0,2449.0,55.5,436.0,1306.0,381.0,96.0,1599.0,17982.0,1562.0,355.0,65.0,81.0,710.0,208.0,87.0,79.0,0.0,668.0,46.0,352.0,1009.0,29.68,740.0,94.0,61.0,43.0,119.0,3.5,88.0,7.0,3.0,7.0,3.0,581.0,358.0,246.0,233.0,102.0,404.0,105.0,299.0,286.0,552.0,6.0,23363.0,1938.0,5995.0,11570.0,6005.0,923.0,23357.0,13455.0,671.0,510.0,157.0,15946.0,507.0,295.0,2.0,389.0,322.0,46.0,4.0,6.0,1.0,1770.0,478.0,485.0,49.6
vs Heidenheim,22.0,57.5,34.0,374.0,3060.0,52.0,36.0,7.0,10.0,73.0,0.0,1.53,1.06,2.59,1.32,2.38,61.8,54.1,1.82,1.59,34.0,34.0,3060.0,50.0,1.47,117.0,70.0,59.0,12.0,12.0,10.0,5.0,14.7,3.0,2.0,1.0,0.0,34.0,2.0,8.0,4.0,36.9,0.3,-9.1,-0.27,202.0,486.0,41.6,1224.0,139.0,30.9,32.4,260.0,41.5,36.5,506.0,31.0,6.1,38.0,1.12,14.9,166.0,19.0,32.2,4.88,0.09,0.27,0.11,-9.8,-9.1,15688.0,19659.0,79.8,280276.0,106544.0,6871.0,7861.0,87.4,6867.0,7970.0,86.2,1592.0,2821.0,56.4,391.0,1268.0,331.0,75.0,1587.0,17901.0,1702.0,450.0,67.0,83.0,637.0,170.0,76.0,81.0,3.0,739.0,56.0,384.0,913.0,26.85,650.0,74.0,65.0,50.0,92.0,2.71,68.0,5.0,8.0,5.0,1.0,545.0,345.0,252.0,224.0,69.0,473.0,109.0,364.0,303.0,708.0,11.0,23799.0,2153.0,7281.0,11271.0,5475.0,906.0,23789.0,12897.0,702.0,475.0,178.0,15542.0,579.0,326.0,0.0,344.0,423.0,56.0,6.0,3.0,4.0,1898.0,612.0,690.0,47.0
vs Hoffenheim,30.0,50.5,34.0,374.0,3060.0,65.0,51.0,2.0,5.0,70.0,5.0,1.91,1.5,3.41,1.85,3.35,60.8,56.9,1.79,1.67,34.0,34.0,3060.0,66.0,1.94,166.0,101.0,63.9,14.0,7.0,13.0,3.0,8.8,6.0,6.0,0.0,0.0,34.0,0.0,6.0,1.0,54.1,0.3,-10.9,-0.32,182.0,488.0,37.3,1014.0,153.0,36.4,35.4,255.0,46.7,39.4,484.0,18.0,3.7,60.0,1.76,17.2,206.0,17.0,36.3,6.06,0.11,0.31,0.1,4.2,6.1,13823.0,17443.0,79.2,244953.0,92176.0,6292.0,7184.0,87.6,5762.0,6774.0,85.1,1444.0,2584.0,55.9,442.0,1183.0,337.0,89.0,1514.0,15782.0,1609.0,363.0,50.0,99.0,697.0,193.0,61.0,78.0,0.0,699.0,52.0,310.0,995.0,29.26,715.0,97.0,70.0,41.0,116.0,3.41,87.0,5.0,10.0,6.0,2.0,508.0,299.0,252.0,188.0,68.0,420.0,120.0,300.0,279.0,714.0,17.0,21315.0,2099.0,6345.0,9388.0,5782.0,990.0,21310.0,12206.0,683.0,476.0,188.0,13693.0,501.0,258.0,5.0,392.0,328.0,52.0,4.0,6.0,1.0,1750.0,515.0,515.0,50.0
