player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Patrick van Aanholt,nl NED,DF,PSV Eindhoven,32,1990,24.0,9.0,1114.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,2.1,2.1,0.17,0.17,12.4,9.0,1.0,34.6,0.73,0.04,0.11,0.08,-1.1,-1.1,689.0,808.0,85.3,11024.0,3341.0,346.0,385.0,89.9,273.0,320.0,85.3,50.0,65.0,76.9,23.0,68.0,22.0,7.0,65.0,709.0,96.0,5.0,3.0,4.0,28.0,1.0,0.0,1.0,0.0,90.0,3.0,8.0,45.0,3.63,36.0,2.0,3.0,0.0,5.0,0.4,5.0,0.0,0.0,0.0,0.0,22.0,17.0,13.0,6.0,3.0,4.0,1.0,3.0,15.0,9.0,0.0,927.0,17.0,208.0,467.0,257.0,50.0,927.0,494.0,40.0,25.0,9.0,615.0,14.0,7.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,95.0,3.0,5.0,37.5
Paxten Aaronson,us USA,MF,Vitesse,19,2003,14.0,14.0,1253.0,4.0,0.0,0.0,0.0,4.0,0.0,0.29,0.0,0.29,0.29,0.29,5.0,5.0,0.36,0.36,13.9,15.0,0.0,39.5,1.08,0.11,0.27,0.14,-1.0,-1.0,339.0,426.0,79.6,5532.0,1298.0,167.0,189.0,88.4,135.0,155.0,87.1,26.0,44.0,59.1,27.0,22.0,6.0,1.0,43.0,385.0,39.0,6.0,0.0,2.0,30.0,19.0,7.0,6.0,0.0,1.0,2.0,16.0,45.0,3.23,26.0,9.0,6.0,1.0,4.0,0.29,2.0,0.0,1.0,0.0,0.0,44.0,25.0,22.0,16.0,6.0,21.0,3.0,18.0,9.0,9.0,0.0,602.0,16.0,112.0,277.0,226.0,57.0,602.0,303.0,34.0,24.0,11.0,351.0,22.0,25.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,51.0,11.0,23.0,32.4
Jayden Addai,nl NED,FW,AZ Alkmaar,17,2005,8.0,2.0,297.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.07,0.07,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.03,-0.2,-0.2,50.0,79.0,63.3,681.0,203.0,29.0,40.0,72.5,16.0,18.0,88.9,2.0,9.0,22.2,3.0,4.0,1.0,0.0,8.0,77.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,2.12,6.0,0.0,0.0,1.0,1.0,0.3,1.0,0.0,0.0,0.0,0.0,9.0,7.0,6.0,1.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0,145.0,3.0,24.0,41.0,81.0,18.0,145.0,95.0,11.0,4.0,6.0,92.0,11.0,8.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,15.0,2.0,2.0,50.0
Bobby Adekanye,nl NED,FW,Go Ahead Eag,24,1999,28.0,23.0,1804.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,0.25,0.25,0.0,0.25,2.6,2.6,0.13,0.13,20.0,10.0,0.0,25.0,0.5,0.0,0.0,0.06,-2.6,-2.6,314.0,453.0,69.3,5075.0,1606.0,169.0,205.0,82.4,104.0,147.0,70.7,33.0,61.0,54.1,31.0,27.0,24.0,12.0,51.0,448.0,3.0,2.0,5.0,4.0,46.0,0.0,0.0,0.0,0.0,1.0,2.0,15.0,71.0,3.54,45.0,0.0,7.0,8.0,12.0,0.6,6.0,0.0,2.0,1.0,0.0,18.0,11.0,6.0,9.0,3.0,18.0,2.0,16.0,4.0,12.0,0.0,734.0,12.0,102.0,300.0,355.0,85.0,734.0,450.0,67.0,35.0,38.0,507.0,65.0,31.0,0.0,21.0,40.0,4.0,0.0,0.0,0.0,91.0,8.0,20.0,28.6
Shawn Adewoye,be BEL,DF,RKC Waalwijk,23,2000,29.0,26.0,2338.0,1.0,0.0,0.0,0.0,1.0,1.0,0.04,0.0,0.04,0.04,0.04,1.3,1.3,0.05,0.05,26.0,4.0,0.0,25.0,0.15,0.06,0.25,0.08,-0.3,-0.3,972.0,1129.0,86.1,19469.0,6137.0,253.0,283.0,89.4,605.0,649.0,93.2,101.0,158.0,63.9,6.0,73.0,3.0,0.0,97.0,1084.0,45.0,31.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,17.0,21.0,0.81,17.0,1.0,2.0,0.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,36.0,24.0,23.0,9.0,4.0,57.0,36.0,21.0,32.0,169.0,1.0,1489.0,283.0,789.0,638.0,69.0,26.0,1489.0,740.0,26.0,10.0,0.0,817.0,19.0,10.0,0.0,17.0,4.0,0.0,0.0,1.0,0.0,127.0,71.0,39.0,64.5
Nikolas Agrafiotis,nl NED,FW,Excelsior,23,2000,18.0,10.0,758.0,5.0,2.0,0.0,0.0,0.0,0.0,0.59,0.24,0.83,0.59,0.83,4.0,4.0,0.47,0.47,8.4,13.0,0.0,44.8,1.54,0.17,0.38,0.14,1.0,1.0,115.0,185.0,62.2,1604.0,266.0,69.0,100.0,69.0,34.0,49.0,69.4,5.0,11.0,45.5,11.0,8.0,2.0,1.0,12.0,178.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,22.0,2.6,19.0,0.0,1.0,0.0,4.0,0.47,3.0,0.0,1.0,0.0,0.0,12.0,7.0,2.0,6.0,4.0,3.0,1.0,2.0,1.0,13.0,0.0,304.0,13.0,22.0,132.0,153.0,46.0,304.0,155.0,7.0,4.0,4.0,215.0,31.0,8.0,0.0,13.0,6.0,1.0,0.0,0.0,0.0,25.0,39.0,35.0,52.7
Chuba Akpom,eng ENG,"FW,MF",Ajax,27,1995,25.0,8.0,1049.0,11.0,3.0,0.0,0.0,0.0,0.0,0.94,0.26,1.2,0.94,1.2,9.0,9.0,0.77,0.77,11.7,21.0,0.0,51.2,1.8,0.27,0.52,0.22,2.0,2.0,187.0,252.0,74.2,2752.0,655.0,107.0,136.0,78.7,60.0,73.0,82.2,10.0,12.0,83.3,17.0,19.0,12.0,0.0,38.0,244.0,6.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,12.0,29.0,2.49,22.0,0.0,5.0,1.0,4.0,0.34,3.0,0.0,1.0,0.0,0.0,15.0,8.0,2.0,10.0,3.0,9.0,0.0,9.0,3.0,13.0,0.0,415.0,15.0,33.0,178.0,210.0,78.0,415.0,256.0,23.0,13.0,8.0,309.0,35.0,24.0,0.0,11.0,29.0,5.0,0.0,0.0,0.0,35.0,42.0,44.0,48.8
Hamdi Akujobi,nl NED,"DF,FW",Almere City,23,2000,23.0,16.0,1557.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.12,0.12,0.0,0.12,1.0,1.0,0.06,0.06,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-1.0,-1.0,443.0,682.0,65.0,7259.0,2818.0,224.0,260.0,86.2,161.0,266.0,60.5,40.0,114.0,35.1,15.0,36.0,16.0,7.0,50.0,549.0,131.0,5.0,2.0,5.0,43.0,0.0,0.0,0.0,0.0,126.0,2.0,10.0,35.0,2.03,30.0,1.0,1.0,1.0,5.0,0.29,5.0,0.0,0.0,0.0,0.0,39.0,29.0,23.0,13.0,3.0,35.0,11.0,24.0,16.0,33.0,0.0,900.0,54.0,243.0,386.0,282.0,22.0,900.0,384.0,29.0,24.0,5.0,416.0,32.0,7.0,0.0,27.0,16.0,2.0,0.0,0.0,1.0,89.0,17.0,20.0,45.9
Hussein Ali,iq IRQ,"DF,FW",Heerenveen,21,2002,15.0,8.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.06,0.06,7.8,1.0,0.0,16.7,0.13,0.0,0.0,0.07,-0.4,-0.4,196.0,261.0,75.1,3376.0,814.0,96.0,107.0,89.7,78.0,103.0,75.7,19.0,37.0,51.4,5.0,8.0,4.0,2.0,16.0,209.0,52.0,3.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,49.0,0.0,10.0,11.0,1.41,9.0,0.0,1.0,1.0,1.0,0.13,0.0,0.0,0.0,1.0,0.0,11.0,7.0,8.0,2.0,1.0,7.0,2.0,5.0,12.0,25.0,0.0,359.0,36.0,132.0,147.0,84.0,10.0,359.0,161.0,13.0,8.0,1.0,177.0,15.0,3.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,32.0,8.0,8.0,50.0
Jordi Altena,nl NED,MF,Vitesse,19,2003,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,20.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
