team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ajax,35.0,59.6,34.0,374.0,3060.0,72.0,60.0,5.0,6.0,44.0,3.0,2.12,1.76,3.88,1.97,3.74,65.1,60.4,1.91,1.78,34.0,34.0,3060.0,61.0,1.79,164.0,104.0,64.0,15.0,11.0,8.0,5.0,14.7,3.0,2.0,0.0,1.0,34.0,0.0,2.0,1.0,57.6,0.36,-2.4,-0.07,205.0,513.0,40.0,1413.0,191.0,31.9,29.9,239.0,25.9,29.2,420.0,34.0,8.1,50.0,1.47,15.8,208.0,11.0,40.5,6.12,0.13,0.32,0.12,6.9,6.6,17709.0,21028.0,84.2,308261.0,106502.0,7989.0,8804.0,90.7,7818.0,8712.0,89.7,1510.0,2613.0,57.8,426.0,1350.0,413.0,69.0,1646.0,19430.0,1547.0,400.0,59.0,108.0,612.0,191.0,78.0,62.0,3.0,623.0,51.0,329.0,951.0,27.97,753.0,60.0,42.0,26.0,130.0,3.82,100.0,5.0,8.0,6.0,1.0,533.0,316.0,236.0,216.0,81.0,375.0,101.0,274.0,293.0,542.0,11.0,24781.0,2584.0,7457.0,11440.0,6102.0,1038.0,24775.0,15044.0,734.0,552.0,242.0,17518.0,556.0,286.0,0.0,282.0,347.0,51.0,4.0,3.0,1.0,1691.0,466.0,402.0,53.7
Almere City,29.0,44.0,34.0,374.0,3060.0,32.0,27.0,3.0,3.0,69.0,3.0,0.94,0.79,1.74,0.85,1.65,34.7,32.5,1.02,0.96,34.0,34.0,3060.0,59.0,1.74,188.0,129.0,70.2,7.0,13.0,14.0,10.0,29.4,4.0,3.0,1.0,0.0,34.0,0.0,9.0,1.0,62.4,0.32,4.4,0.13,308.0,1001.0,30.8,994.0,91.0,75.2,50.0,277.0,91.7,65.2,466.0,31.0,6.7,45.0,1.32,12.8,109.0,12.0,29.1,3.21,0.08,0.27,0.09,-2.7,-3.5,8594.0,13273.0,64.7,163206.0,74009.0,3770.0,4806.0,78.4,3330.0,4571.0,72.9,1202.0,2983.0,40.3,278.0,870.0,237.0,59.0,1117.0,11511.0,1711.0,368.0,23.0,67.0,569.0,155.0,42.0,63.0,2.0,818.0,51.0,281.0,646.0,19.0,433.0,76.0,42.0,38.0,60.0,1.76,36.0,8.0,4.0,8.0,0.0,623.0,378.0,299.0,236.0,88.0,418.0,116.0,302.0,328.0,752.0,6.0,17586.0,2022.0,5730.0,7212.0,4861.0,702.0,17583.0,7732.0,421.0,289.0,155.0,8482.0,642.0,331.0,1.0,488.0,315.0,51.0,3.0,4.0,1.0,1947.0,725.0,877.0,45.3
AZ Alkmaar,33.0,54.5,34.0,374.0,3060.0,68.0,49.0,2.0,2.0,47.0,2.0,2.0,1.44,3.44,1.94,3.38,56.6,55.0,1.66,1.62,34.0,34.0,3060.0,39.0,1.15,134.0,96.0,73.9,19.0,8.0,7.0,13.0,38.2,4.0,4.0,0.0,0.0,34.0,1.0,3.0,1.0,40.8,0.29,2.8,0.08,203.0,437.0,46.5,1089.0,188.0,32.5,31.6,211.0,39.3,34.2,400.0,30.0,7.5,47.0,1.38,17.5,174.0,16.0,36.4,5.12,0.14,0.38,0.12,11.4,11.0,15168.0,18546.0,81.8,273906.0,95895.0,6592.0,7415.0,88.9,6614.0,7507.0,88.1,1609.0,2683.0,60.0,361.0,1232.0,360.0,74.0,1561.0,17003.0,1487.0,323.0,40.0,132.0,562.0,200.0,82.0,71.0,0.0,680.0,56.0,311.0,820.0,24.12,639.0,54.0,51.0,19.0,112.0,3.29,87.0,7.0,9.0,3.0,2.0,553.0,333.0,225.0,244.0,84.0,375.0,110.0,265.0,269.0,549.0,6.0,22329.0,2213.0,6732.0,10204.0,5596.0,949.0,22327.0,12758.0,656.0,469.0,206.0,15035.0,557.0,292.0,0.0,363.0,303.0,56.0,1.0,4.0,1.0,1701.0,419.0,508.0,45.2
Excelsior,27.0,45.6,34.0,374.0,3060.0,48.0,43.0,1.0,1.0,51.0,4.0,1.41,1.26,2.68,1.38,2.65,45.7,45.0,1.35,1.32,34.0,34.0,3060.0,73.0,2.15,204.0,132.0,65.2,6.0,11.0,17.0,6.0,17.6,2.0,2.0,0.0,0.0,34.0,0.0,18.0,1.0,60.6,0.3,-11.4,-0.33,332.0,944.0,35.2,1283.0,186.0,55.6,43.5,294.0,78.6,56.1,545.0,42.0,7.7,20.0,0.59,10.8,137.0,9.0,36.3,4.03,0.12,0.34,0.12,2.3,2.0,11216.0,14901.0,75.3,226424.0,85852.0,4234.0,5005.0,84.6,4908.0,5804.0,84.6,1826.0,3348.0,54.5,297.0,911.0,220.0,76.0,1037.0,13323.0,1536.0,341.0,33.0,114.0,547.0,125.0,64.0,40.0,0.0,670.0,42.0,258.0,659.0,19.38,473.0,50.0,45.0,25.0,83.0,2.44,58.0,7.0,7.0,3.0,1.0,602.0,373.0,345.0,195.0,62.0,418.0,124.0,294.0,351.0,819.0,12.0,18982.0,2682.0,7586.0,7652.0,3947.0,601.0,18981.0,9995.0,574.0,366.0,167.0,11096.0,522.0,277.0,1.0,279.0,273.0,42.0,1.0,2.0,1.0,1640.0,488.0,538.0,47.6
Feyenoord,25.0,61.8,34.0,374.0,3060.0,90.0,69.0,4.0,7.0,35.0,1.0,2.65,2.03,4.68,2.53,4.56,93.1,87.7,2.74,2.58,34.0,34.0,3060.0,26.0,0.76,85.0,59.0,70.6,26.0,6.0,2.0,17.0,50.0,1.0,1.0,0.0,0.0,34.0,0.0,4.0,0.0,26.4,0.31,0.4,0.01,128.0,331.0,38.7,1255.0,149.0,22.9,29.3,159.0,27.0,28.5,312.0,39.0,12.5,91.0,2.68,19.2,253.0,23.0,36.5,7.44,0.12,0.34,0.13,-3.1,-1.7,17206.0,20703.0,83.1,292765.0,101319.0,7894.0,8809.0,89.6,7654.0,8681.0,88.2,1258.0,2221.0,56.6,554.0,1651.0,496.0,69.0,2088.0,19095.0,1540.0,391.0,81.0,69.0,657.0,259.0,132.0,55.0,1.0,670.0,68.0,323.0,1275.0,37.5,919.0,105.0,89.0,51.0,151.0,4.44,112.0,4.0,12.0,6.0,4.0,580.0,344.0,237.0,238.0,105.0,352.0,77.0,275.0,255.0,467.0,8.0,24653.0,1672.0,6007.0,11485.0,7370.0,1359.0,24646.0,14843.0,924.0,609.0,318.0,17021.0,561.0,351.0,0.0,303.0,352.0,68.0,7.0,1.0,0.0,1874.0,504.0,368.0,57.8
Fortuna Sittard,32.0,43.2,34.0,374.0,3060.0,36.0,24.0,3.0,7.0,58.0,3.0,1.06,0.71,1.76,0.97,1.68,44.6,39.1,1.31,1.15,34.0,34.0,3060.0,56.0,1.65,151.0,97.0,64.2,9.0,11.0,14.0,9.0,26.5,2.0,2.0,0.0,0.0,34.0,1.0,8.0,2.0,49.3,0.31,-4.7,-0.14,194.0,615.0,31.5,815.0,107.0,52.1,45.4,263.0,72.2,52.4,462.0,44.0,9.5,32.0,0.94,21.3,151.0,16.0,32.1,4.44,0.07,0.22,0.09,-8.6,-6.1,9744.0,13535.0,72.0,186996.0,73650.0,3894.0,4715.0,82.6,4247.0,5279.0,80.5,1300.0,2725.0,47.7,331.0,822.0,267.0,114.0,1096.0,11934.0,1561.0,352.0,19.0,98.0,676.0,171.0,67.0,39.0,2.0,685.0,40.0,285.0,812.0,23.88,576.0,96.0,50.0,39.0,60.0,1.76,42.0,5.0,4.0,3.0,0.0,626.0,379.0,323.0,224.0,79.0,408.0,106.0,302.0,335.0,619.0,4.0,17480.0,1947.0,5954.0,7392.0,4346.0,757.0,17473.0,8613.0,547.0,366.0,118.0,9640.0,503.0,248.0,1.0,369.0,315.0,40.0,6.0,2.0,2.0,1778.0,645.0,555.0,53.8
Go Ahead Eag,23.0,44.9,34.0,374.0,3060.0,47.0,30.0,4.0,5.0,39.0,3.0,1.38,0.88,2.26,1.26,2.15,49.5,45.6,1.46,1.34,34.0,34.0,3060.0,46.0,1.35,180.0,135.0,75.6,12.0,10.0,12.0,11.0,32.4,2.0,2.0,0.0,0.0,34.0,0.0,4.0,1.0,46.2,0.25,1.2,0.04,219.0,651.0,33.6,1088.0,127.0,50.1,37.3,346.0,30.6,29.2,670.0,17.0,2.5,32.0,0.94,15.3,185.0,21.0,38.1,5.44,0.09,0.23,0.1,-2.5,-2.6,10970.0,14668.0,74.8,202858.0,85504.0,4702.0,5501.0,85.5,4694.0,5668.0,82.8,1321.0,2686.0,49.2,355.0,993.0,293.0,70.0,1234.0,12996.0,1616.0,388.0,33.0,86.0,608.0,170.0,71.0,58.0,0.0,633.0,56.0,317.0,854.0,25.12,604.0,78.0,65.0,53.0,79.0,2.32,44.0,7.0,10.0,8.0,1.0,502.0,297.0,226.0,201.0,75.0,401.0,162.0,239.0,264.0,821.0,5.0,18725.0,2753.0,6629.0,7528.0,4728.0,798.0,18720.0,8916.0,521.0,306.0,160.0,10858.0,541.0,272.0,1.0,283.0,356.0,56.0,4.0,2.0,1.0,1711.0,450.0,566.0,44.3
Heerenveen,26.0,49.7,34.0,374.0,3060.0,52.0,27.0,7.0,8.0,39.0,4.0,1.53,0.79,2.32,1.32,2.12,46.9,40.7,1.38,1.2,34.0,34.0,3060.0,70.0,2.06,164.0,96.0,59.8,10.0,7.0,17.0,7.0,20.6,4.0,4.0,0.0,0.0,34.0,0.0,7.0,2.0,60.4,0.36,-7.6,-0.22,175.0,458.0,38.2,857.0,157.0,37.9,34.8,279.0,47.7,39.1,506.0,27.0,5.3,20.0,0.59,10.0,153.0,14.0,31.5,4.5,0.09,0.29,0.09,5.1,4.3,13187.0,16529.0,79.8,239223.0,86442.0,5746.0,6454.0,89.0,5616.0,6547.0,85.8,1480.0,2639.0,56.1,369.0,1019.0,280.0,59.0,1320.0,14923.0,1557.0,353.0,40.0,112.0,622.0,192.0,87.0,72.0,0.0,629.0,49.0,314.0,862.0,25.35,639.0,70.0,58.0,35.0,86.0,2.53,58.0,5.0,9.0,7.0,1.0,505.0,305.0,257.0,186.0,62.0,365.0,109.0,256.0,288.0,670.0,16.0,20396.0,2438.0,6862.0,8883.0,4846.0,798.0,20388.0,11164.0,678.0,474.0,179.0,13029.0,507.0,291.0,1.0,320.0,325.0,49.0,5.0,4.0,2.0,1715.0,464.0,484.0,48.9
Heracles Almelo,27.0,46.3,34.0,374.0,3060.0,41.0,30.0,5.0,6.0,70.0,2.0,1.21,0.88,2.09,1.06,1.94,41.8,37.2,1.23,1.09,34.0,34.0,3060.0,74.0,2.18,226.0,153.0,69.5,9.0,6.0,19.0,4.0,11.8,5.0,5.0,0.0,0.0,34.0,2.0,11.0,1.0,69.4,0.29,-3.6,-0.1,207.0,688.0,30.1,1007.0,160.0,50.8,40.0,338.0,52.1,43.9,580.0,30.0,5.2,18.0,0.53,10.0,116.0,8.0,32.0,3.41,0.1,0.31,0.11,-0.8,-1.2,11265.0,14642.0,76.9,216347.0,78009.0,4487.0,5155.0,87.0,5108.0,5972.0,85.5,1455.0,2827.0,51.5,269.0,918.0,213.0,81.0,1083.0,12958.0,1632.0,373.0,31.0,119.0,587.0,154.0,50.0,60.0,3.0,660.0,52.0,273.0,628.0,18.47,454.0,61.0,40.0,28.0,72.0,2.12,50.0,4.0,7.0,4.0,1.0,597.0,379.0,347.0,186.0,64.0,420.0,161.0,259.0,256.0,763.0,12.0,18639.0,2677.0,7161.0,7789.0,3879.0,598.0,18633.0,10043.0,576.0,386.0,142.0,11140.0,519.0,263.0,0.0,382.0,325.0,52.0,4.0,5.0,1.0,1664.0,411.0,472.0,46.5
NEC Nijmegen,28.0,48.4,34.0,374.0,3060.0,67.0,42.0,6.0,6.0,53.0,4.0,1.97,1.24,3.21,1.79,3.03,48.0,43.3,1.41,1.27,34.0,34.0,3060.0,51.0,1.5,163.0,111.0,71.8,14.0,11.0,9.0,7.0,20.6,6.0,5.0,1.0,0.0,34.0,1.0,4.0,0.0,51.7,0.29,0.7,0.02,206.0,579.0,35.6,886.0,162.0,46.2,37.0,349.0,48.7,40.1,623.0,38.0,6.1,26.0,0.76,12.4,193.0,19.0,43.9,5.68,0.14,0.32,0.1,19.0,17.7,12699.0,16102.0,78.9,230560.0,85781.0,5452.0,6211.0,87.8,5438.0,6364.0,85.4,1444.0,2649.0,54.5,326.0,964.0,245.0,69.0,1215.0,14432.0,1630.0,393.0,50.0,108.0,563.0,152.0,61.0,68.0,0.0,652.0,40.0,297.0,773.0,22.74,560.0,63.0,50.0,39.0,112.0,3.29,69.0,9.0,13.0,11.0,2.0,624.0,376.0,355.0,203.0,66.0,450.0,158.0,292.0,268.0,814.0,13.0,20289.0,2622.0,7085.0,9134.0,4276.0,692.0,20283.0,10653.0,555.0,405.0,136.0,12541.0,587.0,312.0,2.0,304.0,373.0,40.0,6.0,6.0,0.0,1670.0,531.0,535.0,49.8
