team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Ajax,35.0,40.4,34.0,374.0,3060.0,60.0,44.0,2.0,3.0,54.0,0.0,1.76,1.29,3.06,1.71,3.0,52.5,50.2,1.55,1.48,34.0,34.0,3060.0,74.0,2.18,214.0,141.0,67.8,8.0,11.0,15.0,4.0,11.8,6.0,5.0,1.0,0.0,34.0,0.0,5.0,2.0,72.8,0.32,0.8,0.02,162.0,493.0,32.9,918.0,157.0,39.4,35.7,259.0,50.6,42.3,470.0,29.0,6.2,37.0,1.09,13.4,162.0,9.0,38.5,4.76,0.14,0.36,0.12,7.5,7.8,10929.0,14185.0,77.0,198622.0,77292.0,4765.0,5473.0,87.1,4614.0,5475.0,84.3,1248.0,2406.0,51.9,327.0,871.0,260.0,74.0,1070.0,12742.0,1388.0,316.0,42.0,98.0,529.0,136.0,58.0,45.0,0.0,570.0,55.0,309.0,733.0,21.56,539.0,57.0,47.0,25.0,99.0,2.91,69.0,3.0,12.0,3.0,1.0,580.0,340.0,297.0,204.0,79.0,422.0,131.0,291.0,297.0,718.0,7.0,18009.0,2391.0,6738.0,7411.0,4054.0,747.0,18006.0,9313.0,530.0,352.0,163.0,10836.0,496.0,262.0,0.0,365.0,268.0,55.0,3.0,6.0,2.0,1647.0,402.0,466.0,46.3
vs Almere City,29.0,56.0,34.0,374.0,3060.0,58.0,47.0,3.0,4.0,50.0,3.0,1.71,1.38,3.09,1.62,3.0,55.9,52.8,1.64,1.55,34.0,34.0,3060.0,33.0,0.97,112.0,80.0,73.2,14.0,13.0,7.0,11.0,32.4,3.0,3.0,0.0,0.0,34.0,0.0,3.0,1.0,33.8,0.28,1.8,0.05,301.0,820.0,36.7,1241.0,147.0,54.6,41.5,278.0,51.1,41.2,442.0,29.0,6.6,34.0,1.0,14.5,184.0,19.0,36.4,5.41,0.11,0.3,0.11,2.1,2.2,12341.0,17017.0,72.5,232912.0,94873.0,5103.0,6284.0,81.2,5374.0,6573.0,81.8,1563.0,3207.0,48.7,384.0,957.0,275.0,63.0,1192.0,15063.0,1895.0,515.0,45.0,75.0,569.0,191.0,95.0,60.0,0.0,845.0,59.0,328.0,894.0,26.29,616.0,98.0,66.0,48.0,105.0,3.09,79.0,5.0,10.0,2.0,1.0,633.0,374.0,331.0,234.0,68.0,349.0,103.0,246.0,278.0,808.0,7.0,21312.0,2435.0,7806.0,9177.0,4514.0,791.0,21308.0,10310.0,556.0,352.0,179.0,12143.0,635.0,329.0,3.0,328.0,467.0,59.0,2.0,3.0,1.0,1907.0,877.0,725.0,54.7
vs AZ Alkmaar,33.0,45.5,34.0,374.0,3060.0,38.0,22.0,4.0,4.0,53.0,0.0,1.12,0.65,1.76,1.0,1.65,39.7,36.6,1.17,1.08,34.0,34.0,3060.0,70.0,2.06,176.0,108.0,61.4,7.0,8.0,19.0,5.0,14.7,2.0,2.0,0.0,0.0,34.0,1.0,8.0,2.0,63.4,0.35,-4.6,-0.14,248.0,651.0,38.1,1179.0,134.0,41.6,36.8,289.0,55.4,44.5,441.0,33.0,7.5,33.0,0.97,13.3,130.0,11.0,35.0,3.82,0.09,0.26,0.1,-1.7,-2.6,12163.0,15506.0,78.4,230490.0,83312.0,4876.0,5608.0,86.9,5589.0,6439.0,86.8,1439.0,2673.0,53.8,290.0,884.0,241.0,73.0,1146.0,13916.0,1564.0,404.0,31.0,87.0,515.0,127.0,59.0,46.0,0.0,641.0,26.0,292.0,659.0,19.38,492.0,48.0,43.0,34.0,63.0,1.85,44.0,1.0,12.0,4.0,0.0,572.0,323.0,294.0,208.0,70.0,384.0,114.0,270.0,309.0,706.0,13.0,19350.0,2496.0,7364.0,8229.0,3950.0,626.0,19346.0,10226.0,478.0,333.0,139.0,12031.0,534.0,273.0,0.0,315.0,350.0,26.0,3.0,2.0,2.0,1568.0,508.0,419.0,54.8
vs Excelsior,27.0,54.4,34.0,374.0,3060.0,72.0,53.0,2.0,2.0,51.0,2.0,2.12,1.56,3.68,2.06,3.62,58.2,56.7,1.71,1.67,34.0,34.0,3060.0,50.0,1.47,138.0,90.0,64.5,17.0,11.0,6.0,8.0,23.5,1.0,1.0,0.0,0.0,34.0,1.0,9.0,2.0,45.7,0.33,-2.3,-0.07,173.0,455.0,38.0,931.0,160.0,37.4,35.5,230.0,46.5,39.2,453.0,44.0,9.7,51.0,1.5,14.8,202.0,15.0,38.6,5.94,0.13,0.35,0.11,13.8,13.3,14154.0,18022.0,78.5,259356.0,94591.0,5917.0,6885.0,85.9,6292.0,7322.0,85.9,1600.0,2822.0,56.7,403.0,1367.0,390.0,92.0,1695.0,16352.0,1606.0,306.0,50.0,91.0,717.0,220.0,101.0,52.0,0.0,767.0,64.0,358.0,932.0,27.41,708.0,84.0,52.0,32.0,121.0,3.56,85.0,8.0,19.0,3.0,3.0,552.0,326.0,239.0,219.0,94.0,342.0,101.0,241.0,252.0,549.0,9.0,21797.0,1930.0,5809.0,10179.0,6006.0,964.0,21795.0,12128.0,731.0,478.0,193.0,14025.0,550.0,319.0,1.0,288.0,267.0,64.0,1.0,1.0,2.0,1747.0,538.0,488.0,52.4
vs Feyenoord,25.0,38.2,34.0,374.0,3060.0,26.0,22.0,1.0,1.0,66.0,3.0,0.76,0.65,1.41,0.74,1.38,26.2,25.4,0.77,0.75,34.0,34.0,3056.0,92.0,2.71,259.0,167.0,66.0,2.0,6.0,26.0,3.0,8.8,7.0,4.0,2.0,1.0,34.0,1.0,14.0,2.0,85.8,0.32,-4.2,-0.12,250.0,752.0,33.2,1168.0,172.0,47.2,38.7,364.0,55.2,44.2,521.0,23.0,4.4,25.0,0.74,12.7,84.0,8.0,32.4,2.47,0.1,0.3,0.1,-0.2,-0.4,9199.0,12711.0,72.4,179493.0,72013.0,3678.0,4374.0,84.1,4122.0,4999.0,82.5,1238.0,2681.0,46.2,185.0,696.0,127.0,35.0,742.0,11145.0,1514.0,361.0,36.0,95.0,402.0,103.0,47.0,33.0,2.0,563.0,52.0,303.0,438.0,12.88,310.0,40.0,22.0,19.0,43.0,1.26,26.0,3.0,3.0,1.0,3.0,682.0,412.0,400.0,221.0,61.0,462.0,167.0,295.0,381.0,807.0,15.0,16830.0,3153.0,7927.0,6284.0,2815.0,390.0,16829.0,8187.0,350.0,240.0,97.0,9093.0,513.0,318.0,0.0,367.0,284.0,52.0,1.0,7.0,2.0,1632.0,368.0,504.0,42.2
vs Fortuna Sittard,32.0,56.8,34.0,374.0,3060.0,54.0,35.0,2.0,2.0,49.0,4.0,1.59,1.03,2.62,1.53,2.56,43.4,41.9,1.28,1.23,34.0,34.0,3060.0,37.0,1.09,156.0,118.0,78.2,14.0,11.0,9.0,16.0,47.1,7.0,3.0,2.0,2.0,34.0,0.0,6.0,1.0,42.4,0.24,6.4,0.19,188.0,596.0,31.5,953.0,173.0,44.2,38.0,321.0,54.5,43.7,539.0,30.0,5.6,41.0,1.21,14.7,149.0,9.0,36.8,4.38,0.13,0.35,0.11,10.6,10.1,14292.0,18038.0,79.2,259810.0,92729.0,6069.0,6946.0,87.4,6356.0,7361.0,86.3,1518.0,2802.0,54.2,309.0,1303.0,258.0,49.0,1486.0,16289.0,1705.0,393.0,26.0,107.0,571.0,158.0,75.0,51.0,2.0,763.0,44.0,332.0,700.0,20.59,517.0,61.0,47.0,26.0,90.0,2.65,66.0,7.0,9.0,4.0,0.0,536.0,329.0,242.0,222.0,72.0,329.0,95.0,234.0,252.0,810.0,10.0,21986.0,2343.0,6583.0,10214.0,5353.0,643.0,21984.0,11977.0,590.0,406.0,100.0,14163.0,508.0,305.0,2.0,334.0,345.0,44.0,1.0,7.0,1.0,1664.0,555.0,645.0,46.3
vs Go Ahead Eag,23.0,55.1,34.0,374.0,3060.0,45.0,36.0,2.0,2.0,39.0,2.0,1.32,1.06,2.38,1.26,2.32,55.6,54.0,1.64,1.59,34.0,34.0,3060.0,47.0,1.38,190.0,142.0,77.4,12.0,10.0,12.0,9.0,26.5,5.0,4.0,1.0,0.0,34.0,2.0,5.0,0.0,52.0,0.25,5.0,0.15,217.0,599.0,36.2,1181.0,182.0,39.8,36.2,271.0,47.6,39.9,480.0,36.0,7.5,35.0,1.03,13.6,178.0,12.0,30.4,5.24,0.07,0.24,0.09,-10.6,-11.0,14408.0,18163.0,79.3,269741.0,95328.0,5724.0,6570.0,87.1,6761.0,7770.0,87.0,1615.0,3002.0,53.8,455.0,1106.0,370.0,126.0,1498.0,16584.0,1532.0,324.0,40.0,99.0,819.0,189.0,92.0,66.0,1.0,666.0,47.0,277.0,1049.0,30.85,818.0,83.0,60.0,29.0,79.0,2.32,63.0,5.0,3.0,3.0,1.0,549.0,332.0,281.0,205.0,63.0,400.0,126.0,274.0,301.0,713.0,12.0,22230.0,2543.0,7608.0,9574.0,5208.0,972.0,22228.0,12093.0,735.0,472.0,208.0,14223.0,533.0,251.0,1.0,373.0,266.0,47.0,2.0,5.0,0.0,1762.0,566.0,450.0,55.7
vs Heerenveen,26.0,50.3,34.0,374.0,3060.0,68.0,43.0,4.0,4.0,45.0,3.0,2.0,1.26,3.26,1.88,3.15,53.4,50.3,1.57,1.48,34.0,34.0,3060.0,53.0,1.56,161.0,108.0,71.4,17.0,7.0,10.0,8.0,23.5,8.0,7.0,1.0,0.0,34.0,0.0,5.0,1.0,49.3,0.27,-2.7,-0.08,223.0,581.0,38.4,1000.0,110.0,44.9,38.1,286.0,46.2,39.4,495.0,23.0,4.6,31.0,0.91,15.2,160.0,15.0,35.9,4.71,0.14,0.4,0.12,14.6,13.7,13386.0,16789.0,79.7,248331.0,90190.0,5524.0,6316.0,87.5,5927.0,6888.0,86.0,1588.0,2725.0,58.3,325.0,1183.0,300.0,85.0,1403.0,15223.0,1528.0,349.0,31.0,107.0,624.0,174.0,88.0,51.0,1.0,632.0,38.0,282.0,791.0,23.26,588.0,67.0,51.0,28.0,115.0,3.38,85.0,3.0,12.0,3.0,3.0,612.0,376.0,320.0,211.0,81.0,403.0,134.0,269.0,277.0,694.0,9.0,20736.0,2422.0,6639.0,9155.0,5102.0,852.0,20732.0,11469.0,619.0,424.0,180.0,13276.0,562.0,246.0,0.0,341.0,309.0,38.0,3.0,8.0,1.0,1731.0,484.0,464.0,51.1
vs Heracles Almelo,27.0,53.7,34.0,374.0,3060.0,73.0,58.0,5.0,5.0,49.0,3.0,2.15,1.71,3.85,2.0,3.71,68.1,64.3,2.0,1.89,34.0,34.0,3060.0,41.0,1.21,122.0,80.0,70.5,19.0,6.0,9.0,14.0,41.2,6.0,5.0,1.0,0.0,34.0,0.0,6.0,0.0,40.5,0.29,-0.5,-0.01,163.0,443.0,36.8,866.0,139.0,34.3,33.9,245.0,59.6,46.9,477.0,45.0,9.4,48.0,1.41,15.7,221.0,17.0,35.3,6.5,0.11,0.31,0.1,4.9,3.7,13800.0,17210.0,80.2,253281.0,94156.0,5855.0,6597.0,88.8,6070.0,7025.0,86.4,1553.0,2724.0,57.0,471.0,1247.0,378.0,93.0,1583.0,15494.0,1661.0,410.0,46.0,126.0,760.0,251.0,110.0,86.0,1.0,680.0,55.0,315.0,1114.0,32.76,802.0,111.0,82.0,54.0,124.0,3.65,90.0,11.0,10.0,7.0,2.0,583.0,371.0,280.0,208.0,95.0,329.0,88.0,241.0,231.0,623.0,9.0,21108.0,1959.0,5915.0,9422.0,5952.0,1036.0,21103.0,11429.0,693.0,450.0,212.0,13665.0,550.0,301.0,2.0,337.0,369.0,55.0,3.0,6.0,0.0,1755.0,472.0,411.0,53.5
vs NEC Nijmegen,28.0,51.6,34.0,374.0,3060.0,51.0,36.0,5.0,6.0,64.0,3.0,1.5,1.06,2.56,1.35,2.41,60.0,55.4,1.77,1.63,34.0,34.0,3060.0,68.0,2.0,199.0,132.0,68.8,9.0,11.0,14.0,4.0,11.8,6.0,6.0,0.0,0.0,34.0,3.0,5.0,1.0,66.4,0.32,-0.6,-0.02,221.0,544.0,40.6,1075.0,146.0,40.1,36.1,239.0,47.3,39.6,455.0,28.0,6.2,30.0,0.88,14.0,157.0,9.0,28.9,4.62,0.08,0.29,0.1,-9.0,-9.4,13799.0,17325.0,79.6,250265.0,90131.0,6035.0,6817.0,88.5,5897.0,6877.0,85.7,1527.0,2719.0,56.2,431.0,1242.0,380.0,90.0,1616.0,15748.0,1543.0,327.0,23.0,112.0,790.0,217.0,110.0,73.0,0.0,658.0,34.0,350.0,972.0,28.59,715.0,86.0,63.0,33.0,86.0,2.53,55.0,8.0,10.0,9.0,0.0,620.0,393.0,269.0,249.0,102.0,371.0,103.0,268.0,301.0,642.0,5.0,21442.0,2273.0,6318.0,9242.0,6080.0,989.0,21436.0,11949.0,748.0,527.0,192.0,13667.0,563.0,317.0,0.0,383.0,285.0,34.0,5.0,6.0,1.0,1779.0,535.0,531.0,50.2
