team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alavés,30.0,41.8,38.0,418.0,3420.0,33.0,28.0,3.0,7.0,84.0,1.0,0.87,0.74,1.61,0.79,1.53,46.2,40.7,1.22,1.07,38.0,38.0,3420.0,46.0,1.21,147.0,103.0,74.1,12.0,10.0,16.0,11.0,28.9,8.0,8.0,0.0,0.0,38.0,0.0,4.0,2.0,44.8,0.25,0.8,0.02,315.0,778.0,40.5,886.0,125.0,62.2,41.7,335.0,67.8,48.4,530.0,29.0,5.5,37.0,0.97,15.2,136.0,15.0,29.7,3.58,0.07,0.22,0.09,-13.2,-10.7,10091.0,14116.0,71.5,191648.0,83394.0,4443.0,5283.0,84.1,4011.0,5052.0,79.4,1375.0,2889.0,47.6,341.0,937.0,273.0,105.0,1260.0,12133.0,1914.0,506.0,29.0,124.0,830.0,187.0,45.0,74.0,4.0,802.0,69.0,372.0,817.0,21.5,563.0,88.0,53.0,43.0,60.0,1.58,39.0,5.0,4.0,6.0,0.0,578.0,347.0,284.0,227.0,67.0,363.0,117.0,246.0,279.0,810.0,5.0,18179.0,2162.0,6122.0,7564.0,4706.0,764.0,18172.0,8574.0,550.0,364.0,138.0,9972.0,572.0,299.0,0.0,481.0,449.0,69.0,7.0,8.0,2.0,1807.0,574.0,625.0,47.9
Almería,35.0,46.4,38.0,418.0,3420.0,42.0,25.0,2.0,2.0,93.0,6.0,1.11,0.66,1.76,1.05,1.71,48.7,47.1,1.28,1.24,38.0,38.0,3420.0,75.0,1.97,202.0,126.0,65.8,3.0,12.0,23.0,6.0,15.8,9.0,6.0,1.0,2.0,38.0,0.0,8.0,0.0,70.3,0.32,-4.7,-0.12,181.0,615.0,29.4,1115.0,180.0,39.5,35.5,330.0,53.0,41.7,629.0,29.0,4.6,47.0,1.24,14.5,163.0,18.0,34.1,4.29,0.08,0.25,0.1,-6.7,-7.1,12774.0,16540.0,77.2,228494.0,85956.0,5654.0,6480.0,87.3,5476.0,6405.0,85.5,1322.0,2747.0,48.1,349.0,870.0,212.0,86.0,1097.0,14559.0,1906.0,555.0,35.0,112.0,659.0,167.0,64.0,63.0,0.0,741.0,75.0,320.0,823.0,21.66,586.0,66.0,52.0,50.0,70.0,1.84,45.0,3.0,9.0,4.0,2.0,633.0,372.0,354.0,222.0,57.0,430.0,134.0,296.0,313.0,856.0,19.0,20902.0,2654.0,7711.0,9323.0,4094.0,614.0,20900.0,11128.0,590.0,424.0,132.0,12660.0,550.0,269.0,4.0,478.0,493.0,75.0,2.0,9.0,0.0,1716.0,557.0,587.0,48.7
Athletic Club,27.0,49.8,38.0,418.0,3420.0,59.0,41.0,3.0,5.0,80.0,5.0,1.55,1.08,2.63,1.47,2.55,52.7,48.7,1.39,1.28,38.0,38.0,3420.0,37.0,0.97,134.0,98.0,73.1,19.0,11.0,8.0,18.0,47.4,5.0,1.0,3.0,1.0,38.0,0.0,2.0,4.0,40.4,0.28,7.4,0.2,238.0,728.0,32.7,1050.0,164.0,48.0,32.4,272.0,82.4,59.3,491.0,33.0,6.7,49.0,1.29,15.3,163.0,7.0,35.6,4.29,0.12,0.34,0.11,6.3,7.3,14509.0,18724.0,77.5,256772.0,96209.0,6598.0,7600.0,86.8,6186.0,7288.0,84.9,1393.0,2832.0,49.2,355.0,1205.0,343.0,113.0,1610.0,16746.0,1900.0,528.0,70.0,111.0,845.0,208.0,79.0,89.0,0.0,817.0,78.0,364.0,817.0,21.5,612.0,81.0,33.0,32.0,103.0,2.71,83.0,6.0,3.0,4.0,1.0,581.0,362.0,217.0,264.0,100.0,419.0,106.0,313.0,278.0,631.0,4.0,22845.0,1965.0,6376.0,10617.0,6083.0,901.0,22839.0,12487.0,735.0,528.0,193.0,14367.0,571.0,366.0,3.0,511.0,428.0,78.0,4.0,5.0,4.0,2010.0,541.0,525.0,50.8
Atlético Madrid,27.0,50.8,38.0,418.0,3420.0,68.0,48.0,5.0,6.0,89.0,5.0,1.79,1.26,3.05,1.66,2.92,62.4,57.9,1.64,1.52,38.0,38.0,3420.0,43.0,1.13,144.0,101.0,70.8,24.0,4.0,10.0,13.0,34.2,2.0,1.0,0.0,1.0,38.0,0.0,3.0,0.0,39.8,0.28,-3.2,-0.08,114.0,336.0,33.9,725.0,180.0,27.2,31.5,298.0,46.6,39.0,579.0,36.0,6.2,22.0,0.58,11.8,197.0,9.0,41.5,5.18,0.13,0.32,0.12,5.6,5.1,17064.0,20709.0,82.4,282535.0,101502.0,8654.0,9535.0,90.8,6433.0,7422.0,86.7,1442.0,2542.0,56.7,359.0,1226.0,380.0,68.0,1597.0,18869.0,1717.0,489.0,76.0,179.0,621.0,174.0,59.0,74.0,0.0,675.0,123.0,343.0,852.0,22.42,650.0,59.0,42.0,31.0,120.0,3.16,94.0,3.0,7.0,5.0,1.0,654.0,399.0,308.0,263.0,83.0,460.0,114.0,346.0,256.0,793.0,8.0,24749.0,2368.0,7880.0,11405.0,5662.0,954.0,24743.0,14402.0,758.0,546.0,181.0,16931.0,533.0,303.0,3.0,438.0,447.0,123.0,4.0,2.0,0.0,1896.0,422.0,392.0,51.8
Barcelona,29.0,64.3,38.0,418.0,3420.0,76.0,55.0,6.0,7.0,87.0,2.0,2.0,1.45,3.45,1.84,3.29,77.6,72.1,2.04,1.9,38.0,38.0,3420.0,44.0,1.16,141.0,97.0,70.2,26.0,7.0,5.0,17.0,44.7,2.0,2.0,0.0,0.0,38.0,0.0,1.0,0.0,41.6,0.28,-2.4,-0.06,113.0,216.0,52.3,1076.0,161.0,14.7,26.3,255.0,22.7,27.9,450.0,15.0,3.3,36.0,0.95,15.6,219.0,21.0,37.2,5.76,0.12,0.32,0.13,-1.6,-2.1,21506.0,24761.0,86.9,359810.0,114447.0,10598.0,11481.0,92.3,8724.0,9617.0,90.7,1717.0,2604.0,65.9,457.0,1702.0,405.0,83.0,1925.0,22805.0,1857.0,574.0,98.0,200.0,651.0,238.0,95.0,82.0,2.0,709.0,99.0,335.0,1063.0,27.97,798.0,83.0,69.0,39.0,136.0,3.58,105.0,6.0,11.0,7.0,1.0,571.0,363.0,271.0,223.0,77.0,363.0,97.0,266.0,257.0,573.0,17.0,28717.0,2191.0,7360.0,14262.0,7313.0,1077.0,28710.0,17768.0,964.0,728.0,262.0,21296.0,605.0,305.0,1.0,412.0,469.0,99.0,6.0,2.0,0.0,1789.0,453.0,399.0,53.2
Betis,35.0,50.4,38.0,418.0,3420.0,46.0,31.0,2.0,3.0,87.0,3.0,1.21,0.82,2.03,1.16,1.97,43.9,41.7,1.16,1.1,38.0,38.0,3420.0,45.0,1.18,158.0,115.0,75.9,14.0,15.0,9.0,13.0,34.2,8.0,7.0,1.0,0.0,38.0,3.0,3.0,3.0,47.5,0.26,5.5,0.15,180.0,510.0,35.3,1022.0,167.0,35.2,30.6,279.0,53.8,42.6,541.0,38.0,7.0,42.0,1.11,12.6,150.0,15.0,30.7,3.95,0.09,0.29,0.09,2.1,2.3,15310.0,18979.0,80.7,256941.0,94528.0,7398.0,8260.0,89.6,5944.0,6913.0,86.0,1383.0,2561.0,54.0,368.0,1037.0,327.0,53.0,1441.0,16983.0,1923.0,603.0,43.0,138.0,636.0,217.0,83.0,86.0,2.0,741.0,73.0,381.0,870.0,22.89,632.0,75.0,62.0,34.0,78.0,2.05,57.0,3.0,7.0,3.0,3.0,692.0,440.0,305.0,300.0,87.0,422.0,101.0,321.0,345.0,801.0,9.0,23335.0,2339.0,7497.0,10512.0,5555.0,886.0,23332.0,13053.0,676.0,495.0,186.0,15184.0,626.0,427.0,1.0,429.0,497.0,73.0,1.0,8.0,3.0,1921.0,479.0,500.0,48.9
Cádiz,34.0,43.3,38.0,418.0,3420.0,25.0,17.0,3.0,3.0,107.0,7.0,0.66,0.45,1.11,0.58,1.03,36.0,33.6,0.95,0.88,38.0,38.0,3420.0,55.0,1.45,175.0,121.0,69.7,6.0,15.0,17.0,10.0,26.3,2.0,2.0,0.0,0.0,38.0,0.0,6.0,1.0,51.7,0.3,-2.3,-0.06,364.0,910.0,40.0,991.0,123.0,62.8,49.3,342.0,84.2,60.7,617.0,60.0,9.7,45.0,1.18,7.0,120.0,21.0,30.4,3.16,0.06,0.18,0.09,-11.0,-11.6,10763.0,14990.0,71.8,202974.0,86219.0,4837.0,5694.0,84.9,4144.0,5163.0,80.3,1455.0,3198.0,45.5,292.0,899.0,219.0,106.0,1017.0,12985.0,1915.0,560.0,24.0,130.0,791.0,170.0,63.0,80.0,0.0,751.0,90.0,304.0,698.0,18.37,478.0,85.0,48.0,42.0,40.0,1.05,25.0,4.0,5.0,4.0,1.0,671.0,398.0,338.0,264.0,69.0,443.0,123.0,320.0,298.0,786.0,13.0,19166.0,2242.0,6375.0,8425.0,4551.0,570.0,19163.0,9664.0,456.0,422.0,76.0,10662.0,571.0,343.0,0.0,576.0,498.0,90.0,2.0,2.0,1.0,1831.0,632.0,673.0,48.4
Celta Vigo,31.0,46.1,38.0,418.0,3420.0,45.0,35.0,3.0,5.0,66.0,5.0,1.18,0.92,2.11,1.11,2.03,50.7,46.9,1.34,1.23,38.0,38.0,3417.0,57.0,1.5,164.0,109.0,68.9,10.0,11.0,17.0,6.0,15.8,8.0,6.0,1.0,1.0,38.0,0.0,7.0,3.0,56.0,0.31,2.0,0.05,176.0,494.0,35.6,811.0,182.0,38.3,35.5,312.0,58.7,45.4,556.0,28.0,5.0,36.0,0.95,13.3,151.0,14.0,32.3,3.97,0.09,0.28,0.1,-5.7,-4.9,13890.0,17776.0,78.1,235944.0,93057.0,6703.0,7631.0,87.8,5538.0,6545.0,84.6,1223.0,2495.0,49.0,367.0,1129.0,293.0,71.0,1345.0,15843.0,1870.0,526.0,63.0,112.0,661.0,181.0,65.0,76.0,1.0,759.0,63.0,380.0,855.0,22.5,645.0,67.0,43.0,42.0,81.0,2.13,63.0,2.0,5.0,6.0,0.0,627.0,382.0,302.0,243.0,82.0,434.0,116.0,318.0,297.0,832.0,9.0,22062.0,2314.0,7084.0,9675.0,5538.0,818.0,22057.0,12540.0,660.0,489.0,162.0,13773.0,600.0,336.0,2.0,463.0,485.0,63.0,4.0,8.0,3.0,1908.0,522.0,548.0,48.8
Getafe,33.0,44.8,38.0,418.0,3420.0,42.0,27.0,6.0,7.0,135.0,10.0,1.11,0.71,1.82,0.95,1.66,45.7,40.2,1.2,1.06,38.0,38.0,3420.0,54.0,1.42,173.0,118.0,71.7,10.0,13.0,15.0,10.0,26.3,7.0,5.0,1.0,1.0,38.0,0.0,7.0,0.0,55.2,0.29,1.2,0.03,341.0,915.0,37.3,977.0,124.0,66.6,39.2,322.0,82.0,56.2,463.0,18.0,3.9,62.0,1.63,10.7,150.0,14.0,33.6,3.95,0.08,0.24,0.09,-3.7,-4.2,10713.0,15193.0,70.5,207208.0,83225.0,4641.0,5528.0,84.0,4142.0,5344.0,77.5,1625.0,3436.0,47.3,324.0,1037.0,220.0,103.0,1141.0,13180.0,1935.0,575.0,20.0,224.0,701.0,143.0,76.0,37.0,1.0,803.0,78.0,313.0,766.0,20.16,531.0,87.0,48.0,40.0,69.0,1.82,40.0,8.0,9.0,4.0,0.0,608.0,364.0,269.0,251.0,88.0,342.0,103.0,239.0,307.0,730.0,6.0,19243.0,2020.0,5619.0,8971.0,4848.0,684.0,19236.0,9360.0,439.0,385.0,122.0,10603.0,576.0,281.0,5.0,648.0,437.0,78.0,3.0,7.0,0.0,1773.0,657.0,692.0,48.7
Girona,25.0,56.9,38.0,418.0,3420.0,84.0,64.0,7.0,8.0,75.0,1.0,2.21,1.68,3.89,2.03,3.71,70.8,64.6,1.86,1.7,38.0,38.0,3420.0,46.0,1.21,168.0,121.0,75.6,25.0,6.0,7.0,12.0,31.6,7.0,5.0,1.0,1.0,38.0,0.0,8.0,0.0,51.1,0.28,5.1,0.13,155.0,420.0,36.9,1074.0,178.0,27.1,30.0,312.0,41.3,37.9,534.0,41.0,7.7,33.0,0.87,13.2,178.0,13.0,37.4,4.68,0.16,0.43,0.14,13.2,12.4,18793.0,21914.0,85.8,318093.0,108506.0,8986.0,9734.0,92.3,7878.0,8692.0,90.6,1460.0,2446.0,59.7,377.0,1431.0,362.0,88.0,1685.0,20127.0,1692.0,514.0,56.0,172.0,698.0,159.0,61.0,67.0,1.0,624.0,95.0,314.0,872.0,22.95,674.0,62.0,45.0,36.0,152.0,4.0,119.0,7.0,7.0,8.0,1.0,544.0,340.0,264.0,222.0,58.0,378.0,124.0,254.0,257.0,661.0,21.0,25779.0,2695.0,8432.0,11583.0,5985.0,977.0,25771.0,16055.0,894.0,599.0,234.0,18610.0,584.0,376.0,0.0,406.0,471.0,95.0,7.0,7.0,0.0,1808.0,373.0,390.0,48.9
