team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Alavés,30.0,58.2,38.0,418.0,3420.0,44.0,29.0,8.0,8.0,102.0,7.0,1.16,0.76,1.92,0.95,1.71,44.7,38.5,1.18,1.01,38.0,38.0,3417.0,36.0,0.95,142.0,106.0,76.8,16.0,10.0,12.0,15.0,39.5,7.0,3.0,3.0,1.0,38.0,0.0,5.0,3.0,43.1,0.26,10.1,0.27,193.0,497.0,38.8,1023.0,203.0,32.7,33.2,338.0,47.9,40.8,584.0,38.0,6.5,29.0,0.76,12.4,139.0,15.0,31.3,3.66,0.08,0.26,0.09,-0.7,-2.5,16352.0,20256.0,80.7,284862.0,101637.0,7545.0,8460.0,89.2,6916.0,7981.0,86.7,1491.0,2870.0,52.0,346.0,1223.0,282.0,76.0,1502.0,18248.0,1948.0,519.0,55.0,144.0,686.0,167.0,64.0,74.0,1.0,850.0,60.0,310.0,820.0,21.58,597.0,79.0,38.0,40.0,81.0,2.13,55.0,6.0,7.0,7.0,0.0,553.0,340.0,279.0,216.0,58.0,393.0,115.0,278.0,233.0,802.0,14.0,24410.0,2398.0,7446.0,11388.0,5787.0,818.0,24402.0,13762.0,744.0,542.0,187.0,16187.0,663.0,288.0,3.0,476.0,451.0,60.0,6.0,7.0,3.0,1752.0,625.0,574.0,52.1
vs Almería,35.0,53.6,38.0,418.0,3420.0,75.0,56.0,6.0,9.0,72.0,4.0,1.97,1.47,3.45,1.82,3.29,61.6,54.5,1.62,1.43,38.0,38.0,3420.0,43.0,1.13,165.0,123.0,75.2,23.0,12.0,3.0,12.0,31.6,2.0,2.0,0.0,0.0,38.0,0.0,1.0,1.0,46.2,0.28,4.2,0.11,204.0,568.0,35.9,992.0,158.0,39.7,35.2,302.0,57.6,44.6,503.0,35.0,7.0,43.0,1.13,15.0,195.0,18.0,33.4,5.13,0.12,0.35,0.09,13.4,14.5,15460.0,19368.0,79.8,269733.0,101064.0,7325.0,8212.0,89.2,6187.0,7240.0,85.5,1518.0,2848.0,53.3,467.0,1293.0,355.0,102.0,1644.0,17353.0,1942.0,519.0,54.0,171.0,828.0,220.0,74.0,101.0,3.0,820.0,73.0,352.0,1074.0,28.26,773.0,110.0,62.0,43.0,128.0,3.37,97.0,6.0,9.0,4.0,2.0,583.0,364.0,249.0,236.0,98.0,357.0,103.0,254.0,280.0,676.0,15.0,23390.0,2099.0,6542.0,10880.0,6169.0,1003.0,23381.0,13182.0,751.0,563.0,204.0,15316.0,518.0,353.0,0.0,509.0,450.0,73.0,6.0,2.0,1.0,1780.0,587.0,557.0,51.3
vs Athletic Club,27.0,50.2,38.0,418.0,3420.0,33.0,27.0,1.0,5.0,82.0,3.0,0.87,0.71,1.58,0.84,1.55,41.3,37.5,1.09,0.99,38.0,38.0,3420.0,61.0,1.61,167.0,107.0,65.3,8.0,11.0,19.0,9.0,23.7,5.0,3.0,1.0,1.0,38.0,0.0,6.0,2.0,59.7,0.34,0.7,0.02,216.0,576.0,37.5,1189.0,170.0,34.4,33.3,306.0,54.6,43.4,651.0,32.0,4.9,45.0,1.18,15.0,130.0,18.0,32.1,3.42,0.08,0.25,0.09,-8.3,-5.5,14887.0,19081.0,78.0,268488.0,97964.0,6516.0,7486.0,87.0,6412.0,7514.0,85.3,1562.0,3003.0,52.0,301.0,999.0,254.0,78.0,1298.0,17121.0,1869.0,561.0,40.0,189.0,626.0,161.0,71.0,54.0,0.0,744.0,91.0,352.0,734.0,19.32,524.0,70.0,42.0,42.0,60.0,1.58,43.0,4.0,6.0,2.0,0.0,715.0,428.0,371.0,284.0,60.0,411.0,119.0,292.0,370.0,843.0,27.0,23484.0,2691.0,8965.0,10228.0,4515.0,674.0,23479.0,12385.0,521.0,413.0,127.0,14757.0,636.0,276.0,2.0,453.0,487.0,91.0,2.0,5.0,2.0,2051.0,525.0,541.0,49.2
vs Atlético Madrid,27.0,49.2,38.0,418.0,3420.0,43.0,33.0,1.0,2.0,79.0,2.0,1.13,0.87,2.0,1.11,1.97,39.5,37.9,1.04,1.0,38.0,38.0,3417.0,70.0,1.84,203.0,134.0,68.0,10.0,4.0,24.0,8.0,21.1,6.0,5.0,1.0,0.0,38.0,0.0,4.0,2.0,65.7,0.3,-2.3,-0.06,194.0,535.0,36.3,1020.0,160.0,38.5,36.1,297.0,47.8,40.8,476.0,34.0,7.1,42.0,1.11,14.0,143.0,9.0,31.7,3.76,0.09,0.29,0.09,3.5,4.1,16440.0,19995.0,82.2,290195.0,98965.0,7460.0,8271.0,90.2,7083.0,7986.0,88.7,1555.0,2770.0,56.1,342.0,1392.0,303.0,79.0,1544.0,18152.0,1806.0,545.0,29.0,110.0,764.0,194.0,63.0,75.0,0.0,662.0,37.0,419.0,787.0,20.71,577.0,72.0,46.0,29.0,75.0,1.97,55.0,4.0,4.0,1.0,2.0,530.0,318.0,257.0,182.0,91.0,407.0,104.0,303.0,298.0,735.0,17.0,24093.0,2473.0,7087.0,11377.0,5862.0,780.0,24091.0,13383.0,648.0,485.0,140.0,16293.0,585.0,327.0,0.0,471.0,411.0,37.0,1.0,6.0,2.0,1846.0,392.0,422.0,48.2
vs Barcelona,29.0,35.7,38.0,418.0,3420.0,44.0,35.0,2.0,2.0,98.0,8.0,1.16,0.92,2.08,1.11,2.03,41.6,40.1,1.1,1.05,38.0,38.0,3416.0,79.0,2.08,226.0,149.0,67.7,5.0,7.0,26.0,2.0,5.3,7.0,6.0,1.0,0.0,38.0,2.0,9.0,3.0,73.1,0.3,-2.9,-0.08,251.0,737.0,34.1,960.0,152.0,53.2,41.0,328.0,68.9,50.2,515.0,36.0,7.0,45.0,1.19,14.2,139.0,8.0,33.8,3.66,0.1,0.3,0.1,2.4,1.9,10455.0,13768.0,75.9,186415.0,77373.0,4978.0,5702.0,87.3,3966.0,4699.0,84.4,1202.0,2489.0,48.3,316.0,806.0,254.0,79.0,992.0,12007.0,1644.0,489.0,47.0,120.0,574.0,148.0,66.0,61.0,2.0,562.0,117.0,302.0,723.0,19.03,538.0,64.0,33.0,32.0,81.0,2.13,63.0,5.0,3.0,3.0,0.0,643.0,392.0,333.0,227.0,83.0,450.0,159.0,291.0,318.0,770.0,10.0,17756.0,2590.0,6676.0,7139.0,4146.0,710.0,17754.0,8889.0,487.0,364.0,162.0,10372.0,466.0,328.0,2.0,491.0,401.0,117.0,2.0,7.0,3.0,1678.0,399.0,453.0,46.8
vs Betis,35.0,49.6,38.0,418.0,3420.0,42.0,23.0,7.0,8.0,97.0,5.0,1.11,0.61,1.71,0.92,1.53,50.2,44.0,1.32,1.16,38.0,38.0,3420.0,48.0,1.26,153.0,106.0,69.9,9.0,15.0,14.0,8.0,21.1,3.0,2.0,1.0,0.0,38.0,1.0,5.0,2.0,40.5,0.25,-5.5,-0.15,199.0,532.0,37.4,1055.0,152.0,37.5,33.8,279.0,48.7,40.4,483.0,31.0,6.4,33.0,0.87,12.9,150.0,18.0,34.0,3.95,0.08,0.23,0.1,-8.2,-9.0,15171.0,18933.0,80.1,260627.0,96763.0,7430.0,8311.0,89.4,6063.0,6998.0,86.6,1368.0,2619.0,52.2,314.0,1142.0,277.0,88.0,1457.0,17017.0,1810.0,468.0,56.0,106.0,712.0,192.0,84.0,81.0,2.0,787.0,106.0,388.0,786.0,20.68,537.0,83.0,56.0,48.0,74.0,1.95,46.0,3.0,8.0,10.0,1.0,756.0,464.0,337.0,343.0,76.0,484.0,144.0,340.0,314.0,693.0,13.0,23260.0,2492.0,7590.0,10639.0,5269.0,717.0,23252.0,12459.0,649.0,532.0,144.0,15032.0,556.0,334.0,3.0,521.0,411.0,106.0,7.0,3.0,2.0,1864.0,500.0,479.0,51.1
vs Cádiz,34.0,56.7,38.0,418.0,3420.0,54.0,37.0,2.0,2.0,97.0,4.0,1.42,0.97,2.39,1.37,2.34,52.3,50.7,1.38,1.34,38.0,38.0,3420.0,26.0,0.68,123.0,98.0,81.3,17.0,15.0,6.0,18.0,47.4,3.0,3.0,0.0,0.0,38.0,1.0,4.0,1.0,32.8,0.25,7.8,0.21,203.0,523.0,38.8,871.0,179.0,41.2,37.5,304.0,53.9,42.2,602.0,41.0,6.8,47.0,1.24,15.3,173.0,26.0,34.1,4.55,0.1,0.3,0.1,1.7,1.3,15783.0,19905.0,79.3,271822.0,103062.0,7651.0,8676.0,88.2,6204.0,7335.0,84.6,1515.0,2819.0,53.7,375.0,1375.0,310.0,92.0,1679.0,17878.0,1962.0,628.0,45.0,130.0,758.0,174.0,63.0,65.0,1.0,792.0,65.0,372.0,909.0,23.92,671.0,67.0,43.0,43.0,91.0,2.39,67.0,6.0,6.0,2.0,1.0,606.0,370.0,281.0,253.0,72.0,341.0,89.0,252.0,243.0,795.0,7.0,24061.0,2102.0,7017.0,10887.0,6383.0,796.0,24059.0,13220.0,787.0,604.0,170.0,15630.0,628.0,330.0,2.0,525.0,550.0,65.0,1.0,3.0,1.0,1871.0,673.0,632.0,51.6
vs Celta Vigo,31.0,53.9,38.0,418.0,3420.0,54.0,32.0,6.0,8.0,89.0,4.0,1.42,0.84,2.26,1.26,2.11,54.6,48.4,1.44,1.27,38.0,38.0,3420.0,46.0,1.21,156.0,109.0,72.4,17.0,11.0,10.0,13.0,34.2,5.0,3.0,2.0,0.0,38.0,0.0,3.0,1.0,50.4,0.3,5.4,0.14,202.0,559.0,36.1,958.0,141.0,41.0,36.4,299.0,55.5,42.8,504.0,29.0,5.8,59.0,1.55,15.9,157.0,13.0,33.4,4.13,0.1,0.31,0.11,-0.6,-0.4,16975.0,21005.0,80.8,295825.0,102419.0,7874.0,8770.0,89.8,7062.0,8158.0,86.6,1598.0,2993.0,53.4,355.0,1256.0,297.0,95.0,1535.0,19016.0,1936.0,499.0,33.0,162.0,746.0,189.0,52.0,89.0,1.0,865.0,53.0,395.0,844.0,22.21,584.0,95.0,58.0,37.0,92.0,2.42,59.0,4.0,12.0,6.0,2.0,627.0,382.0,309.0,254.0,64.0,444.0,125.0,319.0,335.0,721.0,8.0,25210.0,2323.0,7202.0,12448.0,5778.0,865.0,25201.0,14322.0,651.0,474.0,161.0,16825.0,604.0,319.0,1.0,496.0,445.0,53.0,7.0,5.0,1.0,1879.0,548.0,522.0,51.2
vs Getafe,33.0,55.2,38.0,418.0,3420.0,54.0,37.0,5.0,7.0,105.0,10.0,1.42,0.97,2.39,1.29,2.26,53.8,48.3,1.42,1.27,38.0,38.0,3420.0,42.0,1.11,157.0,114.0,77.1,15.0,13.0,10.0,15.0,39.5,7.0,6.0,1.0,0.0,38.0,0.0,6.0,0.0,48.1,0.27,6.1,0.16,193.0,611.0,31.6,1204.0,194.0,38.0,34.9,280.0,55.0,44.3,559.0,38.0,6.8,31.0,0.82,13.5,167.0,15.0,37.3,4.39,0.11,0.29,0.11,0.2,0.7,14502.0,18849.0,76.9,251452.0,97400.0,6843.0,7786.0,87.9,5798.0,6956.0,83.4,1413.0,2993.0,47.2,341.0,1051.0,276.0,71.0,1325.0,16675.0,2033.0,695.0,78.0,136.0,640.0,173.0,60.0,66.0,1.0,805.0,141.0,292.0,805.0,21.18,571.0,87.0,41.0,52.0,95.0,2.5,64.0,6.0,10.0,9.0,0.0,540.0,348.0,267.0,228.0,45.0,382.0,113.0,269.0,261.0,855.0,17.0,22993.0,2488.0,8205.0,10305.0,4717.0,750.0,22986.0,12328.0,599.0,404.0,146.0,14334.0,629.0,317.0,4.0,464.0,623.0,141.0,6.0,7.0,0.0,1878.0,692.0,657.0,51.3
vs Girona,25.0,43.1,38.0,418.0,3420.0,46.0,30.0,5.0,7.0,104.0,5.0,1.21,0.79,2.0,1.08,1.87,54.3,48.9,1.43,1.29,38.0,38.0,3420.0,85.0,2.24,186.0,101.0,58.1,7.0,6.0,25.0,7.0,18.4,8.0,7.0,1.0,0.0,38.0,0.0,7.0,1.0,73.4,0.37,-10.6,-0.28,234.0,555.0,42.2,921.0,146.0,41.8,37.2,299.0,56.9,44.6,525.0,32.0,6.1,45.0,1.18,15.2,162.0,13.0,32.2,4.26,0.08,0.25,0.1,-8.3,-7.9,13335.0,16590.0,80.4,237377.0,89769.0,6162.0,6892.0,89.4,5439.0,6294.0,86.4,1405.0,2570.0,54.7,374.0,1074.0,310.0,95.0,1277.0,14841.0,1700.0,477.0,38.0,124.0,711.0,161.0,75.0,60.0,1.0,641.0,49.0,314.0,882.0,23.21,650.0,75.0,60.0,31.0,70.0,1.84,47.0,4.0,12.0,3.0,1.0,673.0,423.0,315.0,235.0,123.0,374.0,104.0,270.0,301.0,630.0,10.0,20463.0,2336.0,6616.0,8688.0,5390.0,863.0,20456.0,11743.0,610.0,486.0,160.0,13251.0,492.0,270.0,3.0,495.0,383.0,49.0,5.0,8.0,1.0,1745.0,390.0,373.0,51.1
