player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Keyliane Abdallah,fr FRA,FW,Marseille,17,2006,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,35,1987,31.0,31.0,2781.0,4.0,0.0,1.0,1.0,5.0,0.0,0.13,0.0,0.13,0.1,0.1,3.4,2.6,0.11,0.09,30.9,7.0,0.0,33.3,0.23,0.14,0.43,0.13,0.6,0.4,1552.0,1836.0,84.5,29618.0,9672.0,487.0,548.0,88.9,893.0,976.0,91.5,141.0,252.0,56.0,8.0,129.0,3.0,0.0,137.0,1650.0,178.0,75.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,29.0,8.0,20.0,24.0,0.78,19.0,1.0,3.0,1.0,1.0,0.03,0.0,0.0,1.0,0.0,0.0,64.0,35.0,36.0,23.0,5.0,51.0,32.0,19.0,39.0,109.0,2.0,2185.0,293.0,976.0,1119.0,114.0,35.0,2184.0,1506.0,36.0,19.0,0.0,1403.0,23.0,4.0,0.0,26.0,12.0,0.0,0.0,0.0,1.0,149.0,61.0,37.0,62.2
Salis Abdul Samed,gh GHA,MF,Lens,23,2000,27.0,17.0,1519.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.05,0.05,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.17,-0.8,-0.8,796.0,895.0,88.9,12470.0,3008.0,393.0,433.0,90.8,330.0,360.0,91.7,41.0,54.0,75.9,6.0,87.0,5.0,2.0,78.0,875.0,18.0,17.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,17.0,27.0,1.6,27.0,0.0,0.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,21.0,14.0,8.0,10.0,3.0,12.0,1.0,11.0,12.0,18.0,0.0,1022.0,21.0,168.0,647.0,218.0,7.0,1022.0,823.0,9.0,33.0,0.0,780.0,23.0,11.0,0.0,34.0,16.0,0.0,0.0,3.0,0.0,89.0,2.0,7.0,22.2
Laurent Abergel,fr FRA,MF,Lorient,30,1993,33.0,32.0,2860.0,2.0,1.0,0.0,0.0,4.0,0.0,0.06,0.03,0.09,0.06,0.09,1.1,1.1,0.04,0.04,31.8,11.0,0.0,42.3,0.35,0.08,0.18,0.04,0.9,0.9,1551.0,1836.0,84.5,27382.0,8613.0,629.0,707.0,89.0,711.0,802.0,88.7,150.0,233.0,64.4,30.0,188.0,23.0,3.0,194.0,1743.0,88.0,68.0,6.0,13.0,34.0,0.0,0.0,0.0,0.0,14.0,5.0,25.0,81.0,2.55,67.0,3.0,1.0,2.0,5.0,0.16,3.0,0.0,0.0,0.0,1.0,85.0,52.0,43.0,34.0,8.0,29.0,6.0,23.0,61.0,61.0,3.0,2164.0,105.0,553.0,1288.0,349.0,10.0,2164.0,1649.0,38.0,49.0,3.0,1502.0,32.0,30.0,0.0,36.0,36.0,1.0,0.0,0.0,0.0,226.0,15.0,14.0,51.7
Matthis Abline,fr FRA,FW,Nantes,20,2003,22.0,12.0,1044.0,5.0,0.0,0.0,0.0,1.0,0.0,0.43,0.0,0.43,0.43,0.43,3.8,3.8,0.33,0.33,11.6,19.0,0.0,45.2,1.64,0.12,0.26,0.09,1.2,1.2,162.0,231.0,70.1,2410.0,448.0,91.0,128.0,71.1,52.0,68.0,76.5,9.0,11.0,81.8,17.0,6.0,7.0,2.0,20.0,218.0,12.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,38.0,3.28,30.0,0.0,2.0,1.0,2.0,0.17,0.0,0.0,0.0,1.0,0.0,9.0,4.0,4.0,3.0,2.0,3.0,0.0,3.0,3.0,5.0,0.0,386.0,9.0,36.0,153.0,209.0,65.0,386.0,294.0,28.0,24.0,14.0,287.0,50.0,14.0,0.0,10.0,13.0,6.0,1.0,0.0,0.0,39.0,15.0,27.0,35.7
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,23,2000,13.0,9.0,754.0,3.0,0.0,1.0,1.0,2.0,0.0,0.36,0.0,0.36,0.24,0.24,2.8,2.0,0.33,0.24,8.4,7.0,0.0,25.9,0.84,0.07,0.29,0.07,0.2,0.0,140.0,196.0,71.4,2025.0,599.0,70.0,95.0,73.7,53.0,66.0,80.3,6.0,8.0,75.0,5.0,10.0,9.0,1.0,20.0,185.0,11.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,20.0,2.39,10.0,0.0,3.0,3.0,2.0,0.24,0.0,0.0,1.0,1.0,0.0,9.0,8.0,1.0,5.0,3.0,9.0,1.0,8.0,1.0,2.0,0.0,305.0,1.0,27.0,123.0,161.0,38.0,304.0,233.0,23.0,13.0,8.0,229.0,22.0,12.0,0.0,17.0,15.0,8.0,1.0,0.0,0.0,21.0,6.0,7.0,46.2
Bénie Adama Traore,ci CIV,"FW,MF",Nantes,20,2002,14.0,4.0,504.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.18,0.18,0.0,0.18,0.7,0.7,0.13,0.13,5.6,4.0,1.0,57.1,0.71,0.0,0.0,0.1,-0.7,-0.7,99.0,148.0,66.9,1513.0,448.0,58.0,73.0,79.5,30.0,42.0,71.4,6.0,17.0,35.3,8.0,9.0,4.0,2.0,15.0,129.0,18.0,3.0,4.0,0.0,20.0,6.0,2.0,3.0,0.0,2.0,1.0,11.0,15.0,2.68,13.0,1.0,1.0,0.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,5.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,212.0,4.0,19.0,91.0,110.0,23.0,212.0,152.0,23.0,15.0,7.0,140.0,19.0,9.0,0.0,10.0,7.0,1.0,0.0,0.0,0.0,28.0,1.0,11.0,8.3
Akor Adams,ng NGA,FW,Montpellier,23,2000,32.0,27.0,2252.0,8.0,1.0,0.0,0.0,2.0,0.0,0.32,0.04,0.36,0.32,0.36,12.4,12.4,0.5,0.5,25.0,32.0,0.0,40.5,1.28,0.1,0.25,0.16,-4.4,-4.4,250.0,385.0,64.9,3676.0,786.0,125.0,185.0,67.6,89.0,126.0,70.6,14.0,29.0,48.3,17.0,14.0,4.0,2.0,17.0,375.0,10.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,43.0,1.72,29.0,0.0,8.0,1.0,3.0,0.12,0.0,0.0,1.0,0.0,0.0,12.0,4.0,3.0,4.0,5.0,9.0,2.0,7.0,5.0,11.0,0.0,638.0,17.0,61.0,266.0,323.0,118.0,638.0,442.0,40.0,23.0,22.0,472.0,68.0,30.0,0.0,39.0,22.0,26.0,0.0,0.0,0.0,55.0,54.0,69.0,43.9
Nathaniel Adjei,gh GHA,DF,Lorient,20,2002,15.0,14.0,1243.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.03,0.03,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-0.4,-0.4,578.0,669.0,86.4,10635.0,4097.0,216.0,246.0,87.8,294.0,323.0,91.0,52.0,73.0,71.2,3.0,38.0,1.0,0.0,34.0,628.0,40.0,27.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,1.0,5.0,11.0,0.8,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,8.0,3.0,2.0,15.0,8.0,7.0,18.0,64.0,1.0,811.0,94.0,374.0,397.0,46.0,10.0,811.0,554.0,10.0,12.0,0.0,511.0,12.0,5.0,0.0,10.0,12.0,2.0,0.0,0.0,0.0,60.0,30.0,22.0,57.7
Adryelson,br BRA,"DF,FW",Lyon,25,1998,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,75.0,28.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,9.0,2.0,9.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adson,br BRA,"MF,FW",Nantes,22,2000,8.0,2.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.09,0.09,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.2,-0.2,115.0,130.0,88.5,1750.0,378.0,61.0,64.0,95.3,40.0,46.0,87.0,8.0,10.0,80.0,3.0,11.0,4.0,0.0,15.0,128.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,3.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,6.0,0.0,5.0,0.0,5.0,2.0,2.0,0.0,163.0,0.0,18.0,81.0,68.0,10.0,163.0,137.0,18.0,9.0,4.0,127.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0
Emmanuel Agbadou,ci CIV,DF,Reims,26,1997,32.0,29.0,2596.0,1.0,1.0,0.0,0.0,1.0,0.0,0.03,0.03,0.07,0.03,0.07,2.4,2.4,0.08,0.08,28.8,5.0,0.0,15.6,0.17,0.03,0.2,0.07,-1.4,-1.4,1599.0,1838.0,87.0,32774.0,10984.0,476.0,525.0,90.7,855.0,926.0,92.3,240.0,343.0,70.0,12.0,172.0,5.0,1.0,179.0,1728.0,106.0,50.0,5.0,11.0,6.0,0.0,0.0,0.0,0.0,48.0,4.0,11.0,47.0,1.63,43.0,0.0,4.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,65.0,41.0,38.0,23.0,4.0,47.0,25.0,22.0,55.0,116.0,1.0,2198.0,237.0,820.0,1233.0,165.0,32.0,2198.0,1582.0,42.0,26.0,2.0,1405.0,24.0,23.0,0.0,31.0,10.0,2.0,0.0,3.0,0.0,217.0,45.0,32.0,58.4
Ruben Aguilar,fr FRA,DF,Lens,30,1993,25.0,22.0,1922.0,1.0,3.0,0.0,0.0,3.0,0.0,0.05,0.14,0.19,0.05,0.19,1.4,1.4,0.07,0.07,21.4,4.0,0.0,33.3,0.19,0.08,0.25,0.12,-0.4,-0.4,1044.0,1282.0,81.4,15383.0,5987.0,594.0,666.0,89.2,369.0,443.0,83.3,44.0,93.0,47.3,26.0,73.0,42.0,14.0,110.0,1094.0,185.0,17.0,3.0,1.0,75.0,0.0,0.0,0.0,0.0,168.0,3.0,35.0,47.0,2.2,43.0,1.0,2.0,0.0,5.0,0.23,5.0,0.0,0.0,0.0,0.0,53.0,31.0,27.0,23.0,3.0,35.0,5.0,30.0,26.0,46.0,0.0,1533.0,64.0,326.0,699.0,518.0,38.0,1533.0,1039.0,36.0,37.0,2.0,970.0,31.0,10.0,0.0,20.0,24.0,3.0,0.0,1.0,0.0,106.0,24.0,23.0,51.1
