team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Brest,25.0,53.6,34.0,374.0,3060.0,51.0,33.0,4.0,4.0,84.0,5.0,1.5,0.97,2.47,1.38,2.35,48.3,45.1,1.42,1.33,34.0,34.0,3057.0,34.0,1.0,133.0,98.0,75.9,17.0,10.0,7.0,15.0,44.1,3.0,2.0,1.0,0.0,34.0,0.0,4.0,0.0,36.5,0.26,2.5,0.07,244.0,518.0,47.1,978.0,144.0,39.5,35.1,198.0,66.7,47.7,406.0,18.0,4.4,43.0,1.27,15.7,165.0,12.0,34.3,4.85,0.1,0.28,0.1,2.7,1.9,14111.0,17733.0,79.6,274556.0,96326.0,5352.0,6275.0,85.3,6263.0,7237.0,86.5,2059.0,3359.0,61.3,357.0,1155.0,269.0,105.0,1402.0,16093.0,1606.0,490.0,25.0,166.0,792.0,154.0,79.0,67.0,0.0,696.0,34.0,336.0,837.0,24.62,590.0,73.0,59.0,47.0,85.0,2.5,55.0,8.0,10.0,7.0,2.0,679.0,427.0,295.0,299.0,85.0,386.0,100.0,286.0,321.0,644.0,13.0,21735.0,2170.0,6704.0,10200.0,5105.0,723.0,21731.0,15224.0,590.0,532.0,105.0,13983.0,569.0,265.0,2.0,414.0,422.0,34.0,2.0,3.0,0.0,1910.0,598.0,509.0,54.0
Clermont Foot,31.0,48.9,34.0,374.0,3060.0,26.0,18.0,6.0,8.0,60.0,7.0,0.76,0.53,1.29,0.59,1.12,36.0,29.8,1.06,0.88,34.0,34.0,3060.0,60.0,1.76,212.0,152.0,75.0,5.0,10.0,19.0,5.0,14.7,9.0,7.0,1.0,1.0,34.0,0.0,6.0,1.0,64.9,0.28,5.9,0.17,226.0,613.0,36.9,1138.0,157.0,43.7,30.9,275.0,42.2,34.5,514.0,46.0,8.9,49.0,1.44,10.1,120.0,13.0,31.4,3.53,0.05,0.17,0.08,-10.0,-9.8,13390.0,16784.0,79.8,238625.0,85204.0,5792.0,6628.0,87.4,5654.0,6606.0,85.6,1435.0,2665.0,53.8,282.0,989.0,208.0,57.0,1247.0,15174.0,1559.0,458.0,51.0,78.0,551.0,150.0,73.0,52.0,2.0,581.0,51.0,277.0,672.0,19.76,490.0,59.0,44.0,40.0,50.0,1.47,37.0,4.0,4.0,5.0,0.0,581.0,358.0,279.0,242.0,60.0,382.0,130.0,252.0,347.0,667.0,19.0,20572.0,2425.0,6911.0,9932.0,3924.0,578.0,20564.0,14537.0,537.0,470.0,113.0,13270.0,498.0,269.0,1.0,396.0,429.0,51.0,7.0,9.0,1.0,1695.0,393.0,414.0,48.7
Le Havre,27.0,44.7,34.0,374.0,3060.0,33.0,23.0,6.0,7.0,67.0,6.0,0.97,0.68,1.65,0.79,1.47,37.3,31.8,1.1,0.94,34.0,34.0,3060.0,45.0,1.32,158.0,114.0,72.8,7.0,11.0,16.0,7.0,20.6,4.0,2.0,1.0,1.0,34.0,0.0,5.0,2.0,49.9,0.31,6.9,0.2,158.0,463.0,34.1,709.0,135.0,45.7,33.1,251.0,55.4,40.9,482.0,32.0,6.6,25.0,0.74,14.5,113.0,11.0,29.7,3.32,0.07,0.24,0.09,-4.3,-4.8,11739.0,15121.0,77.6,206687.0,77964.0,5123.0,6042.0,84.8,5019.0,5901.0,85.1,1150.0,2291.0,50.2,290.0,945.0,209.0,57.0,1199.0,13517.0,1552.0,441.0,28.0,54.0,544.0,128.0,54.0,55.0,0.0,655.0,52.0,321.0,693.0,20.38,482.0,69.0,38.0,47.0,63.0,1.85,40.0,3.0,4.0,8.0,1.0,560.0,332.0,293.0,207.0,60.0,362.0,124.0,238.0,363.0,664.0,10.0,18820.0,2058.0,6332.0,8458.0,4240.0,620.0,18813.0,12860.0,457.0,446.0,114.0,11638.0,453.0,284.0,3.0,433.0,368.0,52.0,7.0,4.0,2.0,1638.0,485.0,482.0,50.2
Lens,27.0,52.9,34.0,374.0,3060.0,45.0,29.0,6.0,7.0,78.0,4.0,1.32,0.85,2.18,1.15,2.0,54.1,48.8,1.59,1.44,34.0,34.0,3060.0,37.0,1.09,138.0,101.0,77.5,14.0,9.0,11.0,14.0,41.2,8.0,6.0,1.0,1.0,34.0,0.0,6.0,1.0,43.3,0.28,7.3,0.21,164.0,379.0,43.3,923.0,148.0,33.3,29.0,221.0,32.6,29.1,396.0,32.0,8.1,39.0,1.15,9.8,167.0,13.0,34.3,4.91,0.08,0.23,0.1,-9.1,-9.8,14709.0,18083.0,81.3,249644.0,91474.0,6666.0,7617.0,87.5,6203.0,7157.0,86.7,1255.0,2217.0,56.6,368.0,1312.0,349.0,95.0,1624.0,16450.0,1558.0,453.0,49.0,63.0,736.0,175.0,68.0,87.0,0.0,638.0,75.0,344.0,857.0,25.21,648.0,68.0,53.0,36.0,74.0,2.18,54.0,5.0,7.0,4.0,1.0,554.0,339.0,213.0,266.0,75.0,392.0,112.0,280.0,298.0,549.0,16.0,21677.0,1936.0,5779.0,10394.0,5721.0,811.0,21670.0,15840.0,609.0,612.0,113.0,14549.0,527.0,317.0,1.0,445.0,424.0,75.0,5.0,8.0,1.0,1775.0,451.0,388.0,53.8
Lille,28.0,56.6,34.0,374.0,3060.0,50.0,32.0,2.0,3.0,67.0,3.0,1.47,0.94,2.41,1.41,2.35,48.6,46.2,1.43,1.36,34.0,34.0,3060.0,34.0,1.0,128.0,94.0,75.8,16.0,11.0,7.0,15.0,44.1,5.0,3.0,2.0,0.0,34.0,0.0,2.0,2.0,37.5,0.26,5.5,0.16,106.0,360.0,29.4,1030.0,122.0,28.7,35.9,190.0,33.7,32.7,399.0,27.0,6.8,32.0,0.94,15.0,165.0,21.0,37.7,4.85,0.11,0.29,0.11,1.4,1.8,16278.0,19319.0,84.3,279186.0,90871.0,7309.0,8169.0,89.5,7084.0,7941.0,89.2,1351.0,2273.0,59.4,324.0,1191.0,279.0,50.0,1468.0,17662.0,1611.0,578.0,34.0,114.0,533.0,177.0,71.0,50.0,0.0,598.0,46.0,285.0,773.0,22.74,529.0,71.0,47.0,51.0,81.0,2.38,46.0,8.0,12.0,6.0,1.0,594.0,370.0,267.0,242.0,85.0,319.0,80.0,239.0,292.0,574.0,10.0,22824.0,2050.0,6613.0,11596.0,4827.0,761.0,22821.0,17241.0,650.0,532.0,190.0,16106.0,468.0,310.0,1.0,376.0,489.0,46.0,3.0,5.0,2.0,1642.0,355.0,346.0,50.6
Lorient,38.0,46.3,34.0,374.0,3060.0,41.0,27.0,1.0,1.0,66.0,1.0,1.21,0.79,2.0,1.18,1.97,37.2,36.4,1.09,1.07,34.0,34.0,3060.0,66.0,1.94,207.0,142.0,72.0,7.0,8.0,19.0,4.0,11.8,8.0,8.0,0.0,0.0,34.0,1.0,8.0,1.0,63.1,0.27,-1.9,-0.06,139.0,378.0,36.8,850.0,162.0,30.5,31.4,299.0,39.8,33.8,591.0,24.0,4.1,13.0,0.38,8.9,135.0,6.0,36.7,3.97,0.11,0.3,0.1,3.8,3.6,13284.0,16298.0,81.5,233137.0,84711.0,5717.0,6546.0,87.3,5787.0,6601.0,87.7,1283.0,2250.0,57.0,274.0,1004.0,251.0,56.0,1293.0,14697.0,1545.0,459.0,25.0,80.0,565.0,135.0,57.0,51.0,0.0,555.0,56.0,292.0,641.0,18.85,473.0,54.0,36.0,32.0,63.0,1.85,46.0,1.0,11.0,2.0,1.0,538.0,326.0,284.0,195.0,59.0,391.0,129.0,262.0,337.0,805.0,14.0,20194.0,2447.0,6961.0,9137.0,4345.0,640.0,20193.0,14460.0,632.0,548.0,117.0,13140.0,535.0,315.0,0.0,403.0,416.0,56.0,1.0,8.0,1.0,1684.0,410.0,394.0,51.0
Lyon,35.0,51.8,34.0,374.0,3060.0,48.0,32.0,4.0,4.0,57.0,6.0,1.41,0.94,2.35,1.29,2.24,49.8,46.9,1.47,1.38,34.0,34.0,3060.0,55.0,1.62,169.0,114.0,69.8,16.0,5.0,13.0,10.0,29.4,6.0,4.0,1.0,1.0,34.0,2.0,7.0,1.0,48.1,0.26,-5.9,-0.17,137.0,386.0,35.5,890.0,169.0,33.5,26.1,249.0,35.3,31.9,470.0,39.0,8.3,31.0,0.91,13.4,168.0,16.0,38.3,4.94,0.1,0.26,0.11,-1.8,-2.9,14823.0,17984.0,82.4,257980.0,90576.0,6513.0,7395.0,88.1,6362.0,7223.0,88.1,1409.0,2376.0,59.3,335.0,1163.0,330.0,74.0,1600.0,16440.0,1492.0,413.0,56.0,101.0,560.0,166.0,72.0,46.0,0.0,576.0,52.0,330.0,764.0,22.47,533.0,62.0,64.0,35.0,84.0,2.47,56.0,3.0,12.0,5.0,0.0,538.0,331.0,241.0,203.0,94.0,343.0,118.0,225.0,304.0,563.0,12.0,21623.0,2216.0,6779.0,9649.0,5437.0,865.0,21619.0,15991.0,683.0,550.0,196.0,14665.0,525.0,352.0,1.0,425.0,367.0,52.0,4.0,6.0,1.0,1715.0,396.0,367.0,51.9
Marseille,33.0,53.7,34.0,374.0,3060.0,50.0,32.0,4.0,4.0,61.0,5.0,1.47,0.94,2.41,1.35,2.29,54.9,51.8,1.61,1.52,34.0,34.0,3060.0,41.0,1.21,130.0,90.0,70.8,13.0,11.0,10.0,7.0,20.6,3.0,3.0,0.0,0.0,34.0,1.0,7.0,1.0,33.8,0.24,-6.2,-0.18,98.0,337.0,29.1,1022.0,119.0,26.3,28.4,222.0,30.6,29.4,430.0,19.0,4.4,26.0,0.76,10.4,152.0,20.0,31.9,4.47,0.1,0.3,0.11,-4.9,-5.8,14716.0,18000.0,81.8,259765.0,88302.0,6190.0,7030.0,88.1,6752.0,7732.0,87.3,1310.0,2344.0,55.9,349.0,1272.0,324.0,88.0,1613.0,16375.0,1556.0,451.0,39.0,63.0,713.0,184.0,42.0,110.0,0.0,626.0,69.0,312.0,851.0,25.03,626.0,68.0,51.0,49.0,88.0,2.59,66.0,3.0,12.0,5.0,0.0,604.0,371.0,270.0,264.0,70.0,365.0,99.0,266.0,332.0,633.0,8.0,21671.0,1889.0,6061.0,10285.0,5532.0,815.0,21667.0,15835.0,635.0,595.0,156.0,14559.0,478.0,303.0,2.0,374.0,426.0,69.0,4.0,3.0,1.0,1753.0,372.0,365.0,50.5
Metz,30.0,35.6,34.0,374.0,3060.0,35.0,25.0,4.0,6.0,54.0,3.0,1.03,0.74,1.76,0.91,1.65,34.2,29.7,1.01,0.87,34.0,34.0,3060.0,58.0,1.71,188.0,130.0,72.3,8.0,5.0,21.0,6.0,17.6,6.0,6.0,0.0,0.0,34.0,1.0,7.0,0.0,53.1,0.26,-4.9,-0.14,215.0,682.0,31.5,727.0,128.0,57.1,42.4,299.0,89.3,59.1,583.0,47.0,8.1,22.0,0.65,10.3,106.0,11.0,32.5,3.12,0.1,0.29,0.09,0.8,1.3,8816.0,11986.0,73.6,177167.0,68613.0,3132.0,3872.0,80.9,4173.0,5024.0,83.1,1317.0,2559.0,51.5,234.0,685.0,152.0,61.0,910.0,10324.0,1617.0,435.0,16.0,110.0,563.0,133.0,62.0,65.0,0.0,659.0,45.0,279.0,570.0,16.76,372.0,60.0,42.0,41.0,60.0,1.76,41.0,4.0,5.0,3.0,1.0,562.0,334.0,310.0,183.0,69.0,416.0,127.0,289.0,348.0,834.0,9.0,15895.0,2067.0,5771.0,7135.0,3258.0,451.0,15889.0,10009.0,458.0,422.0,96.0,8739.0,507.0,267.0,0.0,419.0,374.0,45.0,5.0,6.0,0.0,1574.0,390.0,534.0,42.2
Monaco,30.0,53.6,34.0,374.0,3060.0,66.0,45.0,2.0,5.0,79.0,8.0,1.94,1.32,3.26,1.88,3.21,55.0,50.9,1.62,1.5,34.0,34.0,3060.0,42.0,1.24,151.0,110.0,75.5,20.0,7.0,7.0,12.0,35.3,6.0,5.0,1.0,0.0,34.0,1.0,6.0,2.0,46.7,0.28,6.7,0.2,121.0,370.0,32.7,813.0,159.0,32.3,32.0,229.0,46.7,37.9,442.0,35.0,7.9,26.0,0.76,11.0,202.0,11.0,39.5,5.94,0.13,0.32,0.1,11.0,13.1,14825.0,18346.0,80.8,260568.0,96791.0,6362.0,7376.0,86.3,6547.0,7589.0,86.3,1414.0,2430.0,58.2,370.0,1364.0,365.0,46.0,1726.0,16702.0,1571.0,465.0,76.0,72.0,517.0,183.0,54.0,82.0,0.0,619.0,73.0,335.0,884.0,26.0,650.0,73.0,65.0,32.0,107.0,3.15,81.0,4.0,10.0,4.0,2.0,664.0,412.0,259.0,314.0,91.0,418.0,85.0,333.0,394.0,582.0,14.0,22252.0,1983.0,5837.0,11000.0,5665.0,893.0,22247.0,16173.0,614.0,593.0,179.0,14692.0,575.0,325.0,4.0,481.0,400.0,73.0,5.0,6.0,2.0,1949.0,402.0,394.0,50.5
