team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Brest,25.0,46.4,34.0,374.0,3060.0,34.0,24.0,2.0,3.0,63.0,6.0,1.0,0.71,1.71,0.94,1.65,39.2,36.8,1.15,1.08,34.0,34.0,3060.0,53.0,1.56,169.0,118.0,71.0,7.0,10.0,17.0,9.0,26.5,4.0,4.0,0.0,0.0,34.0,2.0,6.0,2.0,46.1,0.26,-4.9,-0.14,157.0,403.0,39.0,868.0,190.0,33.4,32.3,282.0,40.1,35.3,624.0,39.0,6.3,25.0,0.74,11.1,130.0,11.0,36.9,3.82,0.09,0.25,0.11,-5.2,-4.8,11747.0,15176.0,77.4,210238.0,85258.0,4962.0,5928.0,83.7,5175.0,6171.0,83.9,1193.0,2207.0,54.1,259.0,952.0,242.0,56.0,1329.0,13505.0,1607.0,432.0,44.0,84.0,534.0,143.0,65.0,56.0,0.0,664.0,64.0,337.0,615.0,18.09,446.0,47.0,36.0,29.0,61.0,1.79,42.0,5.0,5.0,4.0,0.0,585.0,344.0,280.0,238.0,67.0,394.0,116.0,278.0,305.0,783.0,13.0,19138.0,2227.0,6465.0,8820.0,4099.0,626.0,19135.0,12854.0,578.0,466.0,139.0,11598.0,578.0,373.0,2.0,445.0,389.0,64.0,3.0,4.0,2.0,1735.0,509.0,598.0,46.0
vs Clermont Foot,31.0,51.1,34.0,374.0,3060.0,59.0,38.0,7.0,9.0,70.0,6.0,1.74,1.12,2.85,1.53,2.65,63.7,56.9,1.87,1.67,34.0,34.0,3057.0,26.0,0.77,127.0,100.0,84.3,19.0,10.0,5.0,16.0,47.1,8.0,6.0,1.0,1.0,34.0,0.0,4.0,0.0,35.8,0.24,9.8,0.29,123.0,348.0,35.3,876.0,181.0,29.2,31.1,221.0,41.6,35.7,450.0,31.0,6.9,42.0,1.24,14.3,204.0,13.0,38.5,6.0,0.1,0.25,0.11,-4.7,-4.9,14270.0,17611.0,81.0,258504.0,92073.0,5888.0,6872.0,85.7,6384.0,7285.0,87.6,1545.0,2589.0,59.7,407.0,1229.0,359.0,102.0,1577.0,16060.0,1510.0,420.0,53.0,92.0,642.0,173.0,61.0,60.0,1.0,638.0,41.0,295.0,940.0,27.65,715.0,59.0,59.0,35.0,102.0,3.0,78.0,1.0,11.0,5.0,1.0,555.0,331.0,232.0,239.0,84.0,359.0,110.0,249.0,352.0,588.0,10.0,21388.0,1955.0,6056.0,10203.0,5361.0,841.0,21379.0,15503.0,635.0,565.0,161.0,14154.0,538.0,269.0,3.0,448.0,376.0,41.0,7.0,8.0,0.0,1860.0,414.0,393.0,51.3
vs Le Havre,27.0,55.3,34.0,374.0,3060.0,43.0,33.0,2.0,4.0,63.0,6.0,1.26,0.97,2.24,1.21,2.18,50.6,47.3,1.49,1.39,34.0,34.0,3058.0,34.0,1.0,120.0,86.0,76.7,16.0,11.0,7.0,16.0,47.1,7.0,6.0,1.0,0.0,34.0,0.0,1.0,1.0,37.3,0.26,4.3,0.13,119.0,343.0,34.7,960.0,143.0,27.3,30.3,242.0,33.5,32.1,444.0,32.0,7.2,37.0,1.09,14.0,155.0,14.0,34.1,4.56,0.09,0.26,0.11,-7.6,-6.3,15710.0,19043.0,82.5,281979.0,92880.0,6432.0,7367.0,87.3,7281.0,8237.0,88.4,1523.0,2525.0,60.3,345.0,1168.0,285.0,75.0,1527.0,17347.0,1625.0,465.0,48.0,87.0,607.0,156.0,52.0,69.0,0.0,695.0,71.0,279.0,803.0,23.62,578.0,80.0,56.0,44.0,75.0,2.21,50.0,6.0,7.0,3.0,0.0,570.0,335.0,258.0,250.0,62.0,392.0,105.0,287.0,286.0,579.0,13.0,22612.0,2049.0,6446.0,11167.0,5229.0,734.0,22608.0,16774.0,617.0,611.0,146.0,15571.0,504.0,277.0,1.0,392.0,415.0,71.0,4.0,7.0,1.0,1650.0,482.0,485.0,49.8
vs Lens,27.0,47.1,34.0,374.0,3060.0,36.0,24.0,6.0,8.0,70.0,2.0,1.06,0.71,1.76,0.88,1.59,46.7,40.2,1.37,1.18,34.0,34.0,3060.0,45.0,1.32,174.0,128.0,77.6,11.0,9.0,14.0,7.0,20.6,7.0,6.0,1.0,0.0,34.0,0.0,6.0,0.0,48.0,0.24,3.0,0.09,168.0,520.0,32.3,994.0,143.0,39.7,36.5,275.0,45.5,36.6,596.0,30.0,5.0,27.0,0.79,12.3,131.0,13.0,33.9,3.85,0.08,0.23,0.11,-10.7,-10.2,12996.0,16265.0,79.9,230907.0,81416.0,5497.0,6319.0,87.0,5757.0,6642.0,86.7,1293.0,2444.0,52.9,285.0,858.0,220.0,54.0,1146.0,14626.0,1600.0,497.0,38.0,56.0,488.0,128.0,52.0,54.0,0.0,622.0,39.0,303.0,679.0,19.97,471.0,59.0,48.0,43.0,64.0,1.88,42.0,5.0,8.0,6.0,0.0,537.0,329.0,250.0,219.0,68.0,423.0,125.0,298.0,345.0,720.0,18.0,20095.0,2471.0,7041.0,9292.0,4001.0,640.0,20087.0,14231.0,519.0,446.0,137.0,12862.0,520.0,263.0,0.0,441.0,433.0,39.0,8.0,7.0,0.0,1691.0,388.0,451.0,46.2
vs Lille,28.0,43.4,34.0,374.0,3060.0,32.0,22.0,3.0,5.0,77.0,0.0,0.94,0.65,1.59,0.85,1.5,36.5,32.5,1.07,0.96,34.0,34.0,3060.0,52.0,1.53,168.0,117.0,70.2,7.0,11.0,16.0,4.0,11.8,3.0,2.0,1.0,0.0,34.0,1.0,7.0,2.0,49.1,0.29,-0.9,-0.03,165.0,455.0,36.3,960.0,133.0,35.9,34.4,237.0,46.4,37.2,421.0,33.0,7.8,39.0,1.15,13.3,123.0,15.0,38.0,3.62,0.09,0.24,0.1,-4.5,-3.5,11698.0,14728.0,79.4,220102.0,74607.0,4447.0,5189.0,85.7,5515.0,6359.0,86.7,1396.0,2445.0,57.1,235.0,781.0,194.0,53.0,1110.0,13163.0,1473.0,399.0,50.0,102.0,506.0,142.0,72.0,41.0,0.0,610.0,92.0,270.0,559.0,16.44,383.0,60.0,27.0,37.0,54.0,1.59,41.0,1.0,2.0,3.0,1.0,603.0,367.0,313.0,217.0,73.0,387.0,124.0,263.0,340.0,558.0,11.0,18257.0,2185.0,6741.0,8087.0,3679.0,561.0,18252.0,12952.0,532.0,415.0,130.0,11583.0,459.0,316.0,0.0,516.0,358.0,92.0,4.0,3.0,2.0,1673.0,346.0,355.0,49.4
vs Lorient,38.0,53.7,34.0,374.0,3060.0,65.0,48.0,8.0,8.0,61.0,4.0,1.91,1.41,3.32,1.68,3.09,54.3,48.0,1.6,1.41,34.0,34.0,3060.0,43.0,1.26,136.0,95.0,69.1,19.0,8.0,7.0,14.0,41.2,1.0,1.0,0.0,0.0,34.0,0.0,0.0,2.0,37.7,0.27,-3.3,-0.1,125.0,343.0,36.4,821.0,150.0,30.8,31.9,201.0,44.8,36.4,434.0,35.0,8.1,30.0,0.88,12.5,199.0,14.0,38.0,5.85,0.11,0.29,0.09,10.7,9.0,15949.0,19173.0,83.2,282989.0,90649.0,6718.0,7549.0,89.0,7192.0,8084.0,89.0,1530.0,2621.0,58.4,404.0,1468.0,339.0,87.0,1647.0,17646.0,1489.0,431.0,24.0,90.0,733.0,191.0,79.0,75.0,1.0,590.0,38.0,314.0,930.0,27.35,702.0,59.0,45.0,44.0,115.0,3.38,78.0,7.0,6.0,11.0,3.0,631.0,389.0,284.0,244.0,103.0,351.0,93.0,258.0,293.0,584.0,15.0,22851.0,1952.0,5906.0,11148.0,6047.0,869.0,22843.0,17044.0,647.0,622.0,176.0,15792.0,484.0,286.0,1.0,431.0,384.0,38.0,8.0,1.0,2.0,1781.0,394.0,410.0,49.0
vs Lyon,35.0,48.2,34.0,374.0,3060.0,54.0,38.0,4.0,6.0,63.0,3.0,1.59,1.12,2.71,1.47,2.59,52.4,47.8,1.54,1.41,34.0,34.0,3060.0,49.0,1.44,172.0,124.0,73.8,13.0,5.0,16.0,7.0,20.6,4.0,4.0,0.0,0.0,34.0,0.0,9.0,1.0,49.6,0.28,1.6,0.05,132.0,389.0,33.9,840.0,139.0,34.6,33.0,243.0,40.3,34.7,453.0,25.0,5.5,27.0,0.79,12.3,164.0,19.0,36.0,4.82,0.11,0.3,0.11,1.6,2.2,13756.0,16844.0,81.7,238546.0,83356.0,6165.0,6985.0,88.3,5891.0,6769.0,87.0,1228.0,2275.0,54.0,343.0,1220.0,260.0,68.0,1391.0,15324.0,1469.0,449.0,56.0,95.0,594.0,150.0,62.0,69.0,0.0,546.0,51.0,255.0,817.0,24.03,602.0,55.0,46.0,38.0,90.0,2.65,59.0,6.0,9.0,6.0,2.0,669.0,397.0,322.0,265.0,82.0,408.0,112.0,296.0,362.0,678.0,5.0,20720.0,2193.0,6186.0,9915.0,4852.0,732.0,20714.0,14943.0,648.0,575.0,147.0,13604.0,516.0,288.0,1.0,387.0,407.0,51.0,5.0,4.0,1.0,1735.0,367.0,396.0,48.1
vs Marseille,33.0,46.3,34.0,374.0,3060.0,40.0,27.0,3.0,3.0,82.0,8.0,1.18,0.79,1.97,1.09,1.88,35.4,33.0,1.04,0.97,34.0,34.0,3060.0,52.0,1.53,156.0,106.0,69.2,10.0,11.0,13.0,10.0,29.4,4.0,4.0,0.0,0.0,34.0,0.0,5.0,2.0,46.4,0.28,-3.6,-0.1,140.0,407.0,34.4,842.0,155.0,34.1,33.4,297.0,40.4,34.9,549.0,29.0,5.3,23.0,0.68,12.1,127.0,8.0,34.1,3.74,0.1,0.29,0.09,4.6,4.0,12519.0,15560.0,80.5,225458.0,80616.0,5291.0,6101.0,86.7,5484.0,6330.0,86.6,1341.0,2333.0,57.5,282.0,872.0,232.0,52.0,1228.0,13985.0,1536.0,429.0,23.0,97.0,553.0,162.0,73.0,70.0,0.0,562.0,39.0,310.0,649.0,19.09,467.0,52.0,39.0,33.0,70.0,2.06,44.0,8.0,8.0,6.0,1.0,547.0,325.0,261.0,213.0,73.0,370.0,112.0,258.0,381.0,773.0,6.0,19426.0,2302.0,6720.0,8711.0,4262.0,628.0,19423.0,13701.0,630.0,569.0,144.0,12399.0,564.0,312.0,2.0,441.0,359.0,39.0,3.0,4.0,2.0,1655.0,365.0,372.0,49.5
vs Metz,30.0,64.5,34.0,374.0,3060.0,58.0,38.0,6.0,6.0,58.0,1.0,1.71,1.12,2.82,1.53,2.65,54.5,49.8,1.6,1.47,34.0,34.0,3060.0,35.0,1.03,112.0,75.0,72.3,21.0,5.0,8.0,11.0,32.4,6.0,4.0,2.0,0.0,34.0,0.0,5.0,0.0,34.2,0.26,-0.8,-0.02,116.0,263.0,44.1,884.0,115.0,23.8,28.6,214.0,24.8,29.1,420.0,17.0,4.0,31.0,0.91,14.7,182.0,19.0,35.5,5.35,0.1,0.29,0.1,3.5,2.2,18493.0,21875.0,84.5,316259.0,106330.0,8298.0,9275.0,89.5,8106.0,9107.0,89.0,1507.0,2466.0,61.1,391.0,1670.0,354.0,85.0,1944.0,20255.0,1569.0,436.0,36.0,72.0,736.0,182.0,65.0,97.0,0.0,668.0,51.0,345.0,943.0,27.74,722.0,59.0,57.0,44.0,95.0,2.79,64.0,4.0,14.0,6.0,3.0,603.0,382.0,261.0,258.0,84.0,303.0,89.0,214.0,259.0,563.0,12.0,25406.0,1773.0,6023.0,13185.0,6432.0,871.0,25400.0,19361.0,739.0,724.0,151.0,18327.0,482.0,324.0,0.0,400.0,399.0,51.0,5.0,6.0,0.0,1750.0,534.0,390.0,57.8
vs Monaco,30.0,46.4,34.0,374.0,3060.0,40.0,26.0,5.0,6.0,62.0,5.0,1.18,0.76,1.94,1.03,1.79,43.5,38.8,1.28,1.14,34.0,34.0,3060.0,68.0,2.0,207.0,138.0,68.1,7.0,7.0,20.0,5.0,14.7,5.0,2.0,3.0,0.0,34.0,1.0,5.0,2.0,66.3,0.3,0.3,0.01,145.0,476.0,30.5,955.0,147.0,36.9,34.9,267.0,46.4,36.5,412.0,21.0,5.1,40.0,1.18,15.2,145.0,15.0,37.5,4.26,0.09,0.24,0.1,-3.5,-3.8,12256.0,15731.0,77.9,219586.0,83339.0,5256.0,6125.0,85.8,5226.0,6178.0,84.6,1338.0,2506.0,53.4,285.0,982.0,240.0,49.0,1311.0,13998.0,1670.0,522.0,61.0,107.0,568.0,156.0,61.0,65.0,0.0,624.0,63.0,353.0,687.0,20.21,484.0,60.0,35.0,42.0,74.0,2.18,51.0,5.0,5.0,7.0,1.0,580.0,341.0,292.0,214.0,74.0,442.0,133.0,309.0,360.0,725.0,18.0,19752.0,2425.0,7066.0,8687.0,4253.0,672.0,19746.0,13560.0,602.0,471.0,151.0,12150.0,557.0,342.0,1.0,421.0,464.0,63.0,6.0,5.0,2.0,1893.0,394.0,402.0,49.5
