player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Max Aarons,eng ENG,DF,Bournemouth,23,2000,20.0,13.0,1237.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,450.0,581.0,77.5,7402.0,2789.0,220.0,248.0,88.7,188.0,235.0,80.0,34.0,63.0,54.0,7.0,25.0,13.0,2.0,43.0,453.0,127.0,11.0,2.0,3.0,13.0,0.0,0.0,0.0,0.0,116.0,1.0,23.0,23.0,1.68,16.0,4.0,0.0,3.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,29.0,19.0,20.0,7.0,2.0,9.0,5.0,4.0,8.0,27.0,0.0,711.0,43.0,252.0,303.0,165.0,11.0,711.0,364.0,22.0,12.0,7.0,371.0,13.0,8.0,0.0,12.0,26.0,2.0,0.0,1.0,0.0,75.0,5.0,11.0,31.3
Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,18.0,7.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,20,2002,8.0,3.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.06,0.06,4.3,1.0,0.0,100.0,0.23,0.0,0.0,0.27,-0.3,-0.3,55.0,71.0,77.5,775.0,185.0,34.0,38.0,89.5,19.0,23.0,82.6,1.0,1.0,100.0,4.0,2.0,7.0,1.0,9.0,65.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,1.4,6.0,0.0,0.0,0.0,1.0,0.23,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,112.0,2.0,19.0,49.0,48.0,9.0,112.0,72.0,7.0,5.0,3.0,69.0,10.0,7.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,22.0,2.0,18.0,10.0
Tyler Adams,us USA,MF,Bournemouth,24,1999,3.0,1.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,71.0,83.1,973.0,262.0,35.0,39.0,89.7,18.0,24.0,75.0,6.0,8.0,75.0,1.0,9.0,0.0,0.0,5.0,67.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.25,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,91.0,3.0,23.0,54.0,14.0,4.0,91.0,44.0,4.0,1.0,2.0,52.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,40.0
Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,20.0,18.0,1617.0,2.0,0.0,0.0,0.0,2.0,0.0,0.11,0.0,0.11,0.11,0.11,0.7,0.7,0.04,0.04,18.0,5.0,0.0,35.7,0.28,0.14,0.4,0.05,1.3,1.3,1028.0,1216.0,84.5,21010.0,7956.0,277.0,307.0,90.2,627.0,699.0,89.7,115.0,177.0,65.0,2.0,47.0,2.0,0.0,62.0,1181.0,33.0,28.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,10.0,0.56,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,16.0,5.0,0.0,16.0,11.0,5.0,25.0,80.0,0.0,1390.0,181.0,713.0,631.0,48.0,29.0,1390.0,817.0,10.0,12.0,1.0,1009.0,4.0,4.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,43.0,56.0,28.0,66.7
Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,27.0,16.0,1419.0,10.0,0.0,0.0,0.0,1.0,0.0,0.63,0.0,0.63,0.63,0.63,5.9,5.9,0.37,0.37,15.8,14.0,0.0,45.2,0.89,0.32,0.71,0.19,4.1,4.1,144.0,204.0,70.6,1847.0,385.0,94.0,122.0,77.0,41.0,60.0,68.3,3.0,6.0,50.0,14.0,9.0,4.0,0.0,23.0,202.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,31.0,1.97,19.0,0.0,5.0,2.0,5.0,0.32,2.0,0.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,13.0,2.0,11.0,6.0,25.0,0.0,462.0,27.0,52.0,172.0,243.0,82.0,462.0,265.0,16.0,15.0,13.0,337.0,62.0,34.0,0.0,27.0,16.0,13.0,0.0,0.0,0.0,34.0,43.0,43.0,50.0
Simon Adingra,ci CIV,FW,Brighton,21,2002,31.0,25.0,2222.0,6.0,1.0,0.0,0.0,3.0,0.0,0.24,0.04,0.28,0.24,0.28,4.3,4.3,0.17,0.17,24.7,22.0,0.0,42.3,0.89,0.12,0.27,0.08,1.7,1.7,634.0,840.0,75.5,8828.0,1713.0,412.0,491.0,83.9,185.0,245.0,75.5,20.0,38.0,52.6,33.0,17.0,33.0,11.0,50.0,815.0,23.0,3.0,7.0,2.0,76.0,5.0,0.0,1.0,0.0,15.0,2.0,29.0,77.0,3.12,51.0,1.0,7.0,3.0,4.0,0.16,3.0,0.0,0.0,0.0,1.0,45.0,20.0,23.0,11.0,11.0,31.0,1.0,30.0,19.0,22.0,0.0,1159.0,36.0,187.0,364.0,627.0,153.0,1159.0,773.0,111.0,48.0,63.0,795.0,48.0,28.0,0.0,29.0,19.0,17.0,1.0,0.0,0.0,118.0,8.0,12.0,40.0
Nayef Aguerd,ma MAR,DF,West Ham,27,1996,21.0,21.0,1857.0,1.0,0.0,0.0,0.0,3.0,1.0,0.05,0.0,0.05,0.05,0.05,1.5,1.5,0.07,0.07,20.6,3.0,0.0,21.4,0.15,0.07,0.33,0.11,-0.5,-0.5,943.0,1177.0,80.1,19870.0,8804.0,335.0,360.0,93.1,452.0,493.0,91.7,143.0,297.0,48.1,4.0,74.0,2.0,0.0,68.0,1100.0,75.0,55.0,1.0,29.0,5.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,14.0,0.68,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,14.0,19.0,7.0,0.0,33.0,24.0,9.0,17.0,85.0,2.0,1373.0,187.0,709.0,618.0,50.0,21.0,1373.0,861.0,10.0,8.0,0.0,912.0,10.0,2.0,1.0,10.0,6.0,0.0,0.0,1.0,0.0,102.0,48.0,32.0,60.0
Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,50.0,48.0,23.0,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,4.0,4.0,0.0,11.0,4.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,20.0,0.0,349.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.13,0.13,3.9,2.0,0.0,22.2,0.52,0.0,0.0,0.05,-0.5,-0.5,150.0,187.0,80.2,2455.0,628.0,76.0,89.0,85.4,59.0,69.0,85.5,10.0,14.0,71.4,1.0,12.0,0.0,0.0,25.0,183.0,4.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,9.0,2.3,9.0,0.0,0.0,0.0,3.0,0.77,3.0,0.0,0.0,0.0,0.0,13.0,9.0,5.0,6.0,2.0,3.0,0.0,3.0,2.0,4.0,0.0,240.0,6.0,46.0,123.0,75.0,8.0,240.0,150.0,19.0,8.0,4.0,169.0,8.0,11.0,1.0,9.0,6.0,1.0,0.0,0.0,0.0,30.0,3.0,3.0,50.0
