player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Rodrigo Abascal,uy URU,DF,Boavista,29,1994,29.0,29.0,2479.0,2.0,0.0,0.0,0.0,8.0,0.0,0.07,0.0,0.07,0.07,0.07,1.4,1.4,0.05,0.05,27.5,4.0,4.0,33.3,0.15,0.17,0.5,0.12,0.6,0.6,1285.0,1625.0,79.1,29048.0,12863.0,331.0,368.0,89.9,710.0,784.0,90.6,239.0,438.0,54.6,9.0,90.0,7.0,6.0,83.0,1499.0,116.0,81.0,2.0,27.0,41.0,0.0,0.0,0.0,0.0,33.0,10.0,8.0,30.0,1.09,25.0,1.0,1.0,1.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,46.0,26.0,33.0,13.0,0.0,59.0,32.0,27.0,34.0,110.0,3.0,1928.0,264.0,1103.0,718.0,118.0,19.0,1928.0,1060.0,17.0,14.0,1.0,1258.0,18.0,1.0,0.0,35.0,5.0,0.0,0.0,1.0,1.0,132.0,45.0,17.0,72.6
Antonio Adán,es ESP,GK,Sporting CP,36,1987,22.0,22.0,1980.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,601.0,79.5,12116.0,8466.0,90.0,90.0,100.0,281.0,284.0,98.9,107.0,227.0,47.1,0.0,8.0,0.0,0.0,0.0,454.0,147.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,623.0,521.0,612.0,12.0,0.0,0.0,623.0,370.0,0.0,0.0,0.0,300.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,18.0,1.0,0.0,100.0
Dennis Adeniran,eng ENG,MF,Portimonense,24,1999,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,31.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Agirregabiria,es ESP,DF,Famalicão,27,1996,24.0,13.0,1207.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,13.4,1.0,0.0,25.0,0.07,0.0,0.0,0.02,-0.1,-0.1,516.0,694.0,74.4,9276.0,3944.0,229.0,269.0,85.1,230.0,280.0,82.1,49.0,113.0,43.4,9.0,41.0,18.0,10.0,52.0,550.0,143.0,17.0,0.0,8.0,55.0,9.0,9.0,0.0,0.0,117.0,1.0,18.0,25.0,1.87,21.0,3.0,0.0,0.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,21.0,18.0,15.0,4.0,2.0,12.0,2.0,10.0,11.0,31.0,1.0,811.0,45.0,285.0,342.0,192.0,6.0,811.0,391.0,18.0,20.0,2.0,473.0,11.0,4.0,0.0,17.0,5.0,2.0,0.0,0.0,0.0,55.0,11.0,12.0,47.8
Salvador Agra,pt POR,"FW,DF",Boavista,31,1991,31.0,31.0,2459.0,3.0,1.0,0.0,0.0,7.0,0.0,0.11,0.04,0.15,0.11,0.15,2.3,2.3,0.08,0.08,27.3,10.0,6.0,37.0,0.37,0.11,0.3,0.08,0.7,0.7,840.0,1129.0,74.4,14919.0,4682.0,367.0,419.0,87.6,367.0,446.0,82.3,91.0,203.0,44.8,45.0,41.0,41.0,21.0,89.0,916.0,212.0,53.0,3.0,10.0,174.0,65.0,36.0,21.0,3.0,94.0,1.0,26.0,84.0,3.08,48.0,27.0,5.0,3.0,7.0,0.26,4.0,1.0,0.0,1.0,0.0,21.0,9.0,14.0,5.0,2.0,8.0,1.0,7.0,16.0,19.0,0.0,1332.0,27.0,253.0,570.0,516.0,28.0,1332.0,714.0,60.0,38.0,12.0,882.0,42.0,27.0,0.0,42.0,46.0,9.0,1.0,0.0,0.0,123.0,5.0,18.0,21.7
Matheus Aiás,br BRA,"FW,MF",Moreirense,26,1996,18.0,5.0,477.0,2.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38,1.9,1.9,0.36,0.36,5.3,7.0,1.0,46.7,1.32,0.13,0.29,0.13,0.1,0.1,71.0,110.0,64.5,1107.0,362.0,29.0,42.0,69.0,25.0,33.0,75.8,6.0,15.0,40.0,5.0,10.0,1.0,0.0,14.0,104.0,6.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,20.0,3.77,12.0,0.0,1.0,4.0,3.0,0.57,1.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,2.0,7.0,4.0,3.0,4.0,2.0,0.0,171.0,5.0,21.0,92.0,59.0,15.0,171.0,95.0,5.0,3.0,3.0,122.0,13.0,6.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,14.0,6.0,15.0,28.6
Alan,br BRA,MF,Moreirense,23,2000,33.0,29.0,2454.0,3.0,4.0,0.0,1.0,5.0,0.0,0.11,0.15,0.26,0.11,0.26,3.9,3.1,0.14,0.11,27.3,13.0,8.0,28.3,0.48,0.07,0.23,0.07,-0.9,-0.1,902.0,1161.0,77.7,14941.0,4547.0,463.0,518.0,89.4,337.0,390.0,86.4,78.0,187.0,41.7,70.0,116.0,22.0,2.0,164.0,989.0,164.0,69.0,6.0,5.0,125.0,83.0,44.0,29.0,0.0,8.0,8.0,27.0,111.0,4.07,72.0,19.0,7.0,5.0,7.0,0.26,7.0,0.0,0.0,0.0,0.0,44.0,32.0,7.0,25.0,12.0,24.0,2.0,22.0,7.0,5.0,0.0,1400.0,11.0,120.0,796.0,506.0,48.0,1399.0,797.0,63.0,48.0,6.0,968.0,58.0,33.0,0.0,66.0,52.0,5.0,0.0,0.0,0.0,131.0,4.0,29.0,12.1
Rafael Alcobia,pt POR,DF,Portimonense,20,2003,3.0,2.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.0,139.0,71.9,2214.0,985.0,25.0,28.0,89.3,53.0,60.0,88.3,21.0,45.0,46.7,2.0,10.0,1.0,0.0,4.0,132.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.77,4.0,0.0,0.0,0.0,1.0,0.44,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,4.0,1.0,3.0,1.0,4.0,0.0,156.0,14.0,106.0,49.0,2.0,0.0,156.0,80.0,2.0,0.0,0.0,119.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,44.4
Alemão,br BRA,DF,Portimonense,20,2002,27.0,27.0,2367.0,2.0,0.0,0.0,0.0,7.0,0.0,0.08,0.0,0.08,0.08,0.08,0.7,0.7,0.03,0.03,26.3,3.0,0.0,30.0,0.11,0.2,0.67,0.07,1.3,1.3,912.0,1127.0,80.9,18895.0,7493.0,272.0,303.0,89.8,510.0,561.0,90.9,116.0,232.0,50.0,5.0,42.0,2.0,0.0,43.0,1083.0,37.0,36.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,20.0,0.76,16.0,0.0,1.0,2.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,49.0,34.0,39.0,10.0,0.0,49.0,33.0,16.0,30.0,137.0,1.0,1441.0,278.0,879.0,536.0,33.0,17.0,1441.0,784.0,9.0,8.0,1.0,854.0,10.0,4.0,0.0,35.0,13.0,3.0,1.0,2.0,0.0,115.0,47.0,32.0,59.5
Ali Alipour,ir IRN,FW,Gil Vicente FC,27,1995,19.0,9.0,804.0,2.0,0.0,1.0,1.0,1.0,0.0,0.22,0.0,0.22,0.11,0.11,2.7,1.9,0.3,0.21,8.9,3.0,0.0,23.1,0.34,0.08,0.33,0.15,-0.7,-0.9,103.0,158.0,65.2,1244.0,240.0,65.0,83.0,78.3,29.0,40.0,72.5,1.0,5.0,20.0,6.0,3.0,5.0,0.0,11.0,148.0,8.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,10.0,1.12,9.0,0.0,1.0,0.0,2.0,0.22,2.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,3.0,6.0,6.0,0.0,6.0,0.0,4.0,0.0,235.0,4.0,14.0,93.0,128.0,36.0,234.0,118.0,8.0,7.0,2.0,175.0,16.0,21.0,0.0,7.0,10.0,11.0,0.0,0.0,0.0,17.0,19.0,34.0,35.8
