team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arouca,31.0,53.7,34.0,374.0,3060.0,51.0,38.0,3.0,7.0,83.0,6.0,1.5,1.12,2.62,1.41,2.53,47.6,42.5,1.4,1.25,34.0,34.0,3060.0,50.0,1.47,150.0,100.0,71.3,13.0,7.0,14.0,5.0,14.7,9.0,7.0,1.0,1.0,34.0,1.0,6.0,1.0,51.4,0.3,2.4,0.07,123.0,396.0,31.1,1063.0,214.0,28.0,31.4,250.0,39.2,36.1,482.0,40.0,8.3,69.0,2.03,15.3,157.0,16.0,34.2,4.62,0.1,0.31,0.09,3.4,5.5,13911.0,17348.0,80.2,254209.0,90188.0,5780.0,6488.0,89.1,6322.0,7260.0,87.1,1537.0,2768.0,55.5,332.0,1040.0,217.0,56.0,1317.0,15550.0,1743.0,516.0,51.0,98.0,523.0,145.0,87.0,36.0,4.0,748.0,55.0,336.0,793.0,23.32,589.0,56.0,49.0,37.0,83.0,2.44,58.0,5.0,9.0,3.0,0.0,530.0,339.0,255.0,204.0,71.0,361.0,92.0,269.0,262.0,637.0,8.0,20905.0,2260.0,7250.0,9558.0,4276.0,558.0,20898.0,10904.0,473.0,352.0,105.0,13805.0,480.0,255.0,2.0,459.0,397.0,55.0,4.0,9.0,1.0,1611.0,382.0,380.0,50.1
Benfica,34.0,59.1,34.0,374.0,3060.0,76.0,59.0,4.0,6.0,67.0,3.0,2.24,1.74,3.97,2.12,3.85,77.0,72.3,2.27,2.13,34.0,34.0,3060.0,28.0,0.82,113.0,82.0,78.8,25.0,5.0,4.0,16.0,47.1,7.0,4.0,3.0,0.0,34.0,1.0,4.0,0.0,35.5,0.26,7.5,0.22,65.0,173.0,37.6,638.0,136.0,17.6,29.2,238.0,25.6,29.2,362.0,18.0,5.0,21.0,0.62,14.5,231.0,20.0,39.8,6.79,0.12,0.31,0.13,-1.0,-0.3,17244.0,20589.0,83.8,289741.0,101234.0,8474.0,9361.0,90.5,6851.0,7778.0,88.1,1495.0,2396.0,62.4,455.0,1509.0,424.0,75.0,1880.0,18804.0,1709.0,433.0,91.0,138.0,675.0,247.0,121.0,33.0,4.0,729.0,76.0,368.0,1046.0,30.76,778.0,67.0,64.0,41.0,132.0,3.88,95.0,8.0,13.0,5.0,3.0,657.0,420.0,273.0,270.0,114.0,397.0,87.0,310.0,298.0,457.0,10.0,24432.0,1845.0,6243.0,11251.0,7197.0,1085.0,24426.0,13658.0,807.0,607.0,241.0,17122.0,544.0,310.0,2.0,391.0,392.0,76.0,5.0,7.0,0.0,1929.0,382.0,358.0,51.6
Boavista,23.0,48.2,34.0,374.0,3060.0,37.0,18.0,4.0,5.0,105.0,8.0,1.09,0.53,1.62,0.97,1.5,36.1,32.3,1.06,0.95,34.0,34.0,3060.0,62.0,1.82,172.0,111.0,66.3,7.0,11.0,16.0,3.0,8.8,6.0,4.0,0.0,2.0,34.0,2.0,5.0,1.0,58.3,0.33,-2.7,-0.08,138.0,424.0,32.5,614.0,148.0,40.6,36.1,318.0,55.0,43.3,517.0,21.0,4.1,24.0,0.71,12.0,106.0,11.0,31.7,3.12,0.1,0.31,0.1,0.9,0.7,11747.0,15162.0,77.5,220400.0,80189.0,4863.0,5541.0,87.8,5184.0,6054.0,85.6,1439.0,2813.0,51.2,242.0,841.0,195.0,83.0,1008.0,13290.0,1804.0,525.0,34.0,159.0,681.0,148.0,78.0,48.0,3.0,719.0,68.0,275.0,593.0,17.44,426.0,68.0,41.0,28.0,63.0,1.85,39.0,5.0,9.0,6.0,1.0,554.0,343.0,279.0,229.0,46.0,348.0,119.0,229.0,273.0,705.0,15.0,18742.0,2038.0,6825.0,8514.0,3559.0,495.0,18737.0,9582.0,411.0,291.0,72.0,11651.0,530.0,252.0,6.0,498.0,452.0,68.0,4.0,6.0,1.0,1600.0,444.0,427.0,51.0
Braga,25.0,56.8,34.0,374.0,3060.0,70.0,49.0,5.0,6.0,80.0,4.0,2.06,1.44,3.5,1.91,3.35,63.7,59.7,1.87,1.76,34.0,34.0,3060.0,50.0,1.47,127.0,79.0,65.4,21.0,5.0,8.0,6.0,17.6,7.0,6.0,0.0,1.0,34.0,1.0,4.0,2.0,46.4,0.32,-1.6,-0.05,151.0,386.0,39.1,971.0,151.0,29.0,31.2,265.0,39.2,35.4,419.0,24.0,5.7,72.0,2.12,18.5,202.0,15.0,37.1,5.94,0.12,0.32,0.11,6.3,5.3,15375.0,18817.0,81.7,280854.0,100241.0,6381.0,7127.0,89.5,6919.0,7798.0,88.7,1696.0,2966.0,57.2,422.0,1291.0,382.0,112.0,1678.0,17009.0,1746.0,451.0,46.0,108.0,750.0,199.0,60.0,83.0,3.0,747.0,62.0,303.0,992.0,29.18,727.0,95.0,55.0,45.0,119.0,3.5,80.0,7.0,14.0,9.0,2.0,518.0,313.0,225.0,237.0,56.0,328.0,83.0,245.0,310.0,593.0,16.0,22609.0,1972.0,6552.0,10293.0,5932.0,952.0,22603.0,12669.0,601.0,444.0,149.0,15258.0,542.0,270.0,2.0,410.0,385.0,62.0,3.0,7.0,2.0,1685.0,461.0,456.0,50.3
Casa Pia,32.0,43.8,34.0,374.0,3060.0,37.0,27.0,3.0,4.0,76.0,4.0,1.09,0.79,1.88,1.0,1.79,29.4,26.2,0.86,0.77,34.0,34.0,3058.0,50.0,1.47,159.0,109.0,69.2,10.0,8.0,16.0,10.0,29.4,1.0,1.0,0.0,0.0,34.0,1.0,7.0,0.0,47.6,0.3,-2.4,-0.07,155.0,485.0,32.0,830.0,132.0,34.8,34.2,326.0,60.1,45.8,562.0,35.0,6.2,22.0,0.65,11.8,115.0,7.0,32.7,3.38,0.1,0.3,0.08,7.6,7.8,10877.0,14094.0,77.2,198436.0,79271.0,4751.0,5423.0,87.6,4736.0,5551.0,85.3,1183.0,2413.0,49.0,256.0,877.0,165.0,55.0,985.0,12284.0,1743.0,471.0,51.0,95.0,515.0,160.0,94.0,34.0,3.0,703.0,67.0,286.0,613.0,18.03,434.0,58.0,36.0,33.0,70.0,2.06,48.0,3.0,3.0,4.0,3.0,499.0,331.0,248.0,189.0,62.0,366.0,99.0,267.0,286.0,712.0,7.0,17791.0,2271.0,6767.0,7656.0,3557.0,481.0,17787.0,9050.0,472.0,306.0,105.0,10780.0,598.0,271.0,2.0,478.0,407.0,67.0,4.0,1.0,0.0,1585.0,341.0,423.0,44.6
Chaves,31.0,43.8,34.0,374.0,3060.0,30.0,18.0,5.0,6.0,103.0,9.0,0.88,0.53,1.41,0.74,1.26,34.3,29.5,1.01,0.87,34.0,34.0,3060.0,72.0,2.12,184.0,110.0,64.1,5.0,8.0,21.0,4.0,11.8,8.0,6.0,2.0,0.0,34.0,1.0,7.0,0.0,65.3,0.32,-6.7,-0.2,224.0,574.0,39.0,713.0,170.0,45.4,37.9,329.0,76.0,54.5,580.0,35.0,6.0,15.0,0.44,10.8,111.0,15.0,29.7,3.26,0.07,0.23,0.08,-4.3,-4.5,10054.0,13419.0,74.9,191781.0,77406.0,4192.0,4877.0,86.0,4215.0,5065.0,83.2,1389.0,2716.0,51.1,268.0,769.0,157.0,74.0,925.0,11488.0,1874.0,535.0,26.0,121.0,646.0,152.0,69.0,53.0,2.0,755.0,57.0,268.0,641.0,18.85,428.0,88.0,40.0,46.0,46.0,1.35,30.0,5.0,5.0,5.0,1.0,473.0,282.0,250.0,176.0,47.0,364.0,108.0,256.0,294.0,730.0,12.0,17046.0,2077.0,6175.0,7639.0,3429.0,467.0,17040.0,8402.0,414.0,299.0,67.0,9961.0,531.0,265.0,5.0,457.0,495.0,57.0,4.0,8.0,0.0,1535.0,482.0,491.0,49.5
Estoril,31.0,48.7,34.0,374.0,3060.0,49.0,27.0,2.0,2.0,77.0,5.0,1.44,0.79,2.24,1.38,2.18,39.2,37.7,1.15,1.11,34.0,34.0,3059.0,58.0,1.71,167.0,111.0,66.5,9.0,6.0,19.0,10.0,29.4,3.0,2.0,1.0,0.0,34.0,0.0,11.0,3.0,52.8,0.3,-2.2,-0.07,95.0,336.0,28.3,708.0,182.0,29.5,29.6,329.0,38.6,37.5,482.0,15.0,3.1,38.0,1.12,20.3,135.0,21.0,34.5,3.97,0.12,0.35,0.1,9.8,9.3,12142.0,15367.0,79.0,228158.0,82076.0,4855.0,5565.0,87.2,5628.0,6507.0,86.5,1408.0,2554.0,55.1,281.0,875.0,203.0,51.0,1060.0,13537.0,1776.0,475.0,45.0,122.0,548.0,171.0,88.0,49.0,3.0,711.0,54.0,308.0,675.0,19.85,469.0,65.0,43.0,32.0,85.0,2.5,62.0,2.0,7.0,3.0,2.0,538.0,335.0,249.0,228.0,61.0,359.0,113.0,246.0,269.0,687.0,18.0,19136.0,2095.0,6711.0,8676.0,3943.0,631.0,19134.0,10553.0,570.0,444.0,125.0,12048.0,526.0,287.0,0.0,459.0,412.0,54.0,0.0,3.0,3.0,1489.0,367.0,478.0,43.4
Estrela,34.0,47.0,34.0,374.0,3060.0,29.0,18.0,1.0,1.0,76.0,7.0,0.85,0.53,1.38,0.82,1.35,38.6,37.8,1.13,1.11,34.0,34.0,3054.0,53.0,1.56,148.0,95.0,65.5,7.0,12.0,15.0,7.0,20.6,4.0,2.0,1.0,1.0,34.0,0.0,9.0,1.0,51.1,0.34,-0.9,-0.03,126.0,361.0,34.9,848.0,175.0,24.2,33.0,285.0,54.7,45.7,473.0,37.0,7.8,48.0,1.41,16.3,105.0,13.0,28.5,3.09,0.08,0.27,0.11,-9.6,-9.8,11061.0,14750.0,75.0,210850.0,84151.0,4434.0,5279.0,84.0,5054.0,6040.0,83.7,1371.0,2681.0,51.1,281.0,777.0,219.0,67.0,1057.0,12846.0,1823.0,466.0,38.0,106.0,634.0,178.0,140.0,22.0,0.0,807.0,81.0,294.0,631.0,18.56,434.0,74.0,44.0,31.0,50.0,1.47,37.0,3.0,4.0,3.0,1.0,574.0,381.0,265.0,242.0,67.0,390.0,115.0,275.0,281.0,709.0,9.0,18594.0,2114.0,7050.0,8013.0,3740.0,608.0,18593.0,9082.0,405.0,284.0,113.0,10972.0,567.0,269.0,3.0,419.0,419.0,81.0,0.0,4.0,1.0,1685.0,527.0,490.0,51.8
Famalicão,27.0,47.1,34.0,374.0,3060.0,37.0,23.0,3.0,5.0,104.0,9.0,1.09,0.68,1.76,1.0,1.68,35.8,32.0,1.05,0.94,34.0,34.0,3060.0,41.0,1.21,149.0,107.0,74.5,10.0,12.0,12.0,8.0,23.5,8.0,3.0,3.0,2.0,34.0,1.0,4.0,2.0,49.2,0.3,10.2,0.3,177.0,428.0,41.4,891.0,212.0,32.7,27.4,266.0,51.5,42.6,477.0,48.0,10.1,49.0,1.44,3.5,118.0,24.0,26.5,3.47,0.08,0.29,0.07,1.2,2.0,11238.0,14426.0,77.9,228716.0,86213.0,4055.0,4718.0,85.9,5130.0,5967.0,86.0,1838.0,3025.0,60.8,316.0,822.0,207.0,107.0,976.0,12551.0,1798.0,579.0,25.0,174.0,697.0,157.0,124.0,17.0,0.0,721.0,77.0,260.0,770.0,22.65,500.0,87.0,58.0,54.0,64.0,1.88,45.0,6.0,4.0,4.0,1.0,548.0,360.0,286.0,197.0,65.0,372.0,107.0,265.0,299.0,687.0,7.0,18291.0,2235.0,7434.0,7356.0,3716.0,598.0,18286.0,9939.0,507.0,357.0,107.0,11142.0,544.0,279.0,3.0,513.0,551.0,77.0,4.0,8.0,2.0,1546.0,550.0,449.0,55.1
Farense,25.0,42.4,34.0,374.0,3060.0,46.0,26.0,5.0,7.0,79.0,6.0,1.35,0.76,2.12,1.21,1.97,44.3,39.1,1.3,1.15,34.0,34.0,3060.0,51.0,1.5,192.0,141.0,76.6,10.0,7.0,17.0,7.0,20.6,7.0,6.0,1.0,0.0,34.0,0.0,8.0,1.0,62.6,0.3,12.6,0.37,198.0,646.0,30.7,719.0,142.0,53.1,34.0,385.0,68.6,51.7,734.0,43.0,5.9,18.0,0.53,10.2,142.0,18.0,36.5,4.18,0.11,0.29,0.1,1.7,1.9,9386.0,13093.0,71.7,191153.0,75806.0,3328.0,4026.0,82.7,4425.0,5375.0,82.3,1464.0,3009.0,48.7,260.0,769.0,185.0,72.0,944.0,11219.0,1816.0,461.0,30.0,110.0,641.0,149.0,86.0,33.0,0.0,736.0,58.0,305.0,645.0,18.97,437.0,65.0,41.0,49.0,75.0,2.21,43.0,7.0,11.0,7.0,0.0,515.0,318.0,274.0,199.0,42.0,472.0,175.0,297.0,332.0,1004.0,5.0,17135.0,2595.0,6848.0,7046.0,3391.0,507.0,17128.0,7766.0,407.0,277.0,97.0,9306.0,469.0,187.0,3.0,472.0,413.0,58.0,4.0,7.0,1.0,1513.0,601.0,653.0,47.9
