team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Arouca,31.0,46.3,34.0,374.0,3060.0,49.0,37.0,7.0,9.0,96.0,10.0,1.44,1.09,2.53,1.24,2.32,49.5,42.6,1.46,1.25,34.0,34.0,3054.0,54.0,1.59,161.0,109.0,68.3,14.0,7.0,13.0,12.0,35.3,7.0,3.0,1.0,3.0,34.0,0.0,6.0,3.0,54.0,0.32,3.0,0.09,125.0,361.0,34.6,753.0,148.0,32.1,33.1,257.0,46.3,40.2,426.0,23.0,5.4,49.0,1.44,16.3,142.0,12.0,36.9,4.18,0.11,0.3,0.11,-0.5,-0.6,11439.0,14839.0,77.1,209442.0,79015.0,4989.0,5717.0,87.3,4805.0,5706.0,84.2,1362.0,2536.0,53.7,283.0,877.0,242.0,74.0,1148.0,12907.0,1805.0,486.0,65.0,127.0,620.0,160.0,90.0,32.0,0.0,814.0,127.0,308.0,696.0,20.47,485.0,74.0,36.0,41.0,94.0,2.76,73.0,6.0,2.0,5.0,0.0,480.0,307.0,244.0,179.0,57.0,442.0,137.0,305.0,294.0,615.0,17.0,18477.0,1938.0,6387.0,8190.0,4114.0,672.0,18468.0,9665.0,506.0,342.0,130.0,11350.0,487.0,239.0,7.0,417.0,442.0,127.0,6.0,7.0,3.0,1642.0,380.0,382.0,49.9
vs Benfica,34.0,40.9,34.0,374.0,3060.0,28.0,14.0,4.0,7.0,99.0,8.0,0.82,0.41,1.24,0.71,1.12,32.1,27.0,0.94,0.79,34.0,34.0,3060.0,77.0,2.26,237.0,159.0,69.2,4.0,5.0,25.0,3.0,8.8,6.0,4.0,2.0,0.0,34.0,1.0,10.0,1.0,80.6,0.32,4.6,0.14,200.0,493.0,40.6,941.0,196.0,32.7,34.0,339.0,54.6,43.3,520.0,23.0,4.4,27.0,0.79,12.3,106.0,10.0,30.5,3.12,0.07,0.23,0.08,-4.1,-3.0,11129.0,14335.0,77.6,206635.0,80780.0,4720.0,5478.0,86.2,4831.0,5661.0,85.3,1321.0,2426.0,54.5,256.0,716.0,180.0,60.0,958.0,12668.0,1617.0,448.0,29.0,125.0,463.0,111.0,64.0,26.0,1.0,609.0,50.0,335.0,605.0,17.79,442.0,53.0,37.0,26.0,46.0,1.35,25.0,3.0,6.0,4.0,4.0,662.0,432.0,380.0,220.0,62.0,465.0,142.0,323.0,357.0,817.0,14.0,18560.0,2768.0,7759.0,7481.0,3530.0,518.0,18553.0,9585.0,520.0,404.0,128.0,11045.0,542.0,314.0,3.0,411.0,380.0,50.0,5.0,6.0,1.0,1693.0,358.0,382.0,48.4
vs Boavista,23.0,51.8,34.0,374.0,3060.0,61.0,43.0,4.0,6.0,82.0,6.0,1.79,1.26,3.06,1.68,2.94,53.9,49.5,1.58,1.46,34.0,34.0,3060.0,39.0,1.15,111.0,73.0,68.5,16.0,11.0,7.0,10.0,29.4,5.0,4.0,1.0,0.0,34.0,1.0,8.0,2.0,36.5,0.3,-0.5,-0.01,135.0,345.0,39.1,775.0,145.0,29.8,32.1,245.0,46.5,38.7,552.0,30.0,5.4,32.0,0.94,13.0,168.0,21.0,35.3,4.94,0.12,0.34,0.11,7.1,7.5,13089.0,16282.0,80.4,235418.0,88645.0,5722.0,6453.0,88.7,5739.0,6617.0,86.7,1341.0,2449.0,54.8,355.0,1068.0,273.0,74.0,1355.0,14456.0,1764.0,537.0,36.0,88.0,640.0,187.0,103.0,57.0,2.0,723.0,62.0,269.0,834.0,24.53,566.0,99.0,54.0,54.0,105.0,3.09,75.0,7.0,6.0,6.0,0.0,512.0,315.0,217.0,215.0,80.0,326.0,86.0,240.0,274.0,760.0,10.0,20087.0,1854.0,6142.0,9331.0,4792.0,749.0,20081.0,10914.0,560.0,412.0,137.0,12985.0,547.0,273.0,2.0,483.0,478.0,62.0,3.0,5.0,2.0,1612.0,427.0,444.0,49.0
vs Braga,25.0,43.2,34.0,374.0,3060.0,48.0,33.0,6.0,7.0,80.0,4.0,1.41,0.97,2.38,1.24,2.21,47.7,42.4,1.4,1.25,34.0,34.0,3060.0,71.0,2.09,208.0,137.0,68.3,8.0,5.0,21.0,6.0,17.6,6.0,5.0,1.0,0.0,34.0,4.0,4.0,1.0,74.6,0.35,4.6,0.14,136.0,407.0,33.4,785.0,164.0,33.2,34.2,306.0,47.7,40.4,591.0,23.0,3.9,31.0,0.91,12.3,121.0,13.0,31.6,3.56,0.11,0.35,0.11,0.3,-0.4,10869.0,14224.0,76.4,198235.0,78642.0,4768.0,5546.0,86.0,4499.0,5352.0,84.1,1298.0,2486.0,52.2,287.0,797.0,217.0,73.0,1012.0,12447.0,1709.0,447.0,45.0,121.0,523.0,137.0,66.0,27.0,2.0,714.0,68.0,284.0,665.0,19.56,473.0,71.0,36.0,37.0,83.0,2.44,56.0,6.0,6.0,7.0,2.0,535.0,316.0,298.0,196.0,41.0,392.0,130.0,262.0,302.0,768.0,11.0,18095.0,2305.0,6680.0,7803.0,3807.0,626.0,18088.0,9416.0,538.0,379.0,137.0,10746.0,541.0,268.0,2.0,406.0,399.0,68.0,6.0,6.0,1.0,1647.0,456.0,461.0,49.7
vs Casa Pia,32.0,56.2,34.0,374.0,3060.0,50.0,40.0,1.0,1.0,63.0,2.0,1.47,1.18,2.65,1.44,2.62,43.1,42.3,1.27,1.24,34.0,34.0,3060.0,38.0,1.12,119.0,81.0,70.6,16.0,8.0,10.0,13.0,38.2,4.0,3.0,1.0,0.0,34.0,0.0,3.0,1.0,35.2,0.26,-1.8,-0.05,117.0,278.0,42.1,732.0,157.0,25.1,30.4,229.0,41.0,37.7,397.0,29.0,7.3,34.0,1.0,13.8,158.0,12.0,33.1,4.65,0.1,0.31,0.09,6.9,6.7,15022.0,18311.0,82.0,273144.0,96272.0,6356.0,7093.0,89.6,6689.0,7607.0,87.9,1625.0,2702.0,60.1,367.0,1186.0,303.0,81.0,1479.0,16549.0,1702.0,523.0,53.0,125.0,703.0,182.0,89.0,55.0,3.0,697.0,60.0,329.0,852.0,25.06,627.0,79.0,33.0,36.0,87.0,2.56,55.0,6.0,7.0,6.0,3.0,551.0,342.0,239.0,230.0,82.0,332.0,95.0,237.0,296.0,530.0,7.0,21870.0,1745.0,6592.0,10353.0,5128.0,726.0,21869.0,12811.0,600.0,445.0,147.0,14914.0,526.0,229.0,1.0,425.0,462.0,60.0,1.0,4.0,1.0,1682.0,423.0,341.0,55.4
vs Chaves,31.0,56.2,34.0,374.0,3060.0,72.0,48.0,6.0,8.0,82.0,6.0,2.12,1.41,3.53,1.94,3.35,60.5,54.8,1.78,1.61,34.0,34.0,3059.0,31.0,0.91,117.0,86.0,77.8,21.0,8.0,5.0,14.0,41.2,6.0,5.0,1.0,0.0,34.0,0.0,5.0,1.0,38.9,0.29,8.9,0.26,139.0,413.0,33.7,764.0,150.0,35.1,34.2,297.0,48.8,41.6,524.0,31.0,5.9,27.0,0.79,13.2,176.0,16.0,37.0,5.18,0.14,0.38,0.12,11.5,11.2,13905.0,17267.0,80.5,256185.0,91969.0,5842.0,6574.0,88.9,6185.0,7131.0,86.7,1604.0,2773.0,57.8,357.0,1287.0,298.0,85.0,1454.0,15438.0,1788.0,487.0,51.0,124.0,721.0,194.0,82.0,57.0,2.0,745.0,41.0,297.0,834.0,24.53,614.0,68.0,53.0,47.0,124.0,3.65,93.0,5.0,11.0,7.0,1.0,502.0,323.0,203.0,218.0,81.0,312.0,86.0,226.0,276.0,645.0,8.0,20975.0,1912.0,6137.0,9687.0,5346.0,789.0,20967.0,11507.0,597.0,433.0,134.0,13800.0,556.0,219.0,2.0,518.0,436.0,41.0,7.0,6.0,1.0,1624.0,491.0,482.0,50.5
vs Estoril,31.0,51.3,34.0,374.0,3060.0,55.0,41.0,2.0,3.0,91.0,4.0,1.62,1.21,2.82,1.56,2.76,51.7,49.5,1.52,1.46,34.0,34.0,3058.0,49.0,1.44,137.0,88.0,65.7,19.0,6.0,9.0,5.0,14.7,2.0,2.0,0.0,0.0,34.0,3.0,6.0,0.0,47.1,0.33,-1.9,-0.05,151.0,400.0,37.8,853.0,155.0,30.1,31.7,271.0,52.8,41.2,453.0,36.0,7.9,44.0,1.29,15.2,164.0,11.0,34.2,4.82,0.11,0.32,0.11,3.3,3.5,12974.0,16262.0,79.8,237681.0,88224.0,5517.0,6203.0,88.9,5736.0,6583.0,87.1,1449.0,2672.0,54.2,365.0,999.0,286.0,81.0,1313.0,14434.0,1754.0,494.0,55.0,95.0,620.0,175.0,94.0,38.0,2.0,731.0,74.0,289.0,828.0,24.35,592.0,80.0,56.0,39.0,83.0,2.44,52.0,9.0,11.0,4.0,1.0,620.0,379.0,312.0,241.0,67.0,380.0,104.0,276.0,268.0,620.0,10.0,19977.0,2046.0,6694.0,8985.0,4467.0,731.0,19974.0,10347.0,517.0,338.0,141.0,12884.0,517.0,277.0,1.0,427.0,446.0,74.0,2.0,2.0,0.0,1621.0,478.0,367.0,56.6
vs Estrela,34.0,53.0,34.0,374.0,3060.0,52.0,35.0,2.0,4.0,75.0,3.0,1.53,1.03,2.56,1.47,2.5,49.4,46.3,1.45,1.36,34.0,34.0,3060.0,33.0,0.97,106.0,77.0,69.8,15.0,12.0,7.0,13.0,38.2,1.0,1.0,0.0,0.0,34.0,3.0,3.0,4.0,30.5,0.29,1.5,0.04,155.0,521.0,29.8,820.0,150.0,40.7,35.9,316.0,59.2,45.4,497.0,35.0,7.0,42.0,1.24,13.2,145.0,18.0,30.7,4.26,0.11,0.34,0.1,2.6,3.7,13268.0,16880.0,78.6,240092.0,87957.0,5657.0,6440.0,87.8,5948.0,6889.0,86.3,1354.0,2698.0,50.2,356.0,973.0,250.0,68.0,1253.0,14931.0,1894.0,472.0,61.0,83.0,605.0,187.0,89.0,64.0,2.0,854.0,55.0,330.0,827.0,24.32,600.0,69.0,55.0,43.0,84.0,2.47,57.0,5.0,14.0,1.0,1.0,555.0,353.0,247.0,236.0,72.0,347.0,87.0,260.0,296.0,658.0,14.0,20761.0,1986.0,6408.0,9946.0,4590.0,716.0,20757.0,11216.0,577.0,355.0,151.0,13150.0,555.0,260.0,0.0,433.0,399.0,55.0,3.0,1.0,4.0,1649.0,490.0,527.0,48.2
vs Famalicão,27.0,52.9,34.0,374.0,3060.0,39.0,23.0,3.0,8.0,92.0,7.0,1.15,0.68,1.82,1.06,1.74,45.7,39.3,1.34,1.16,34.0,34.0,3058.0,37.0,1.09,122.0,84.0,72.1,12.0,12.0,10.0,11.0,32.4,5.0,3.0,1.0,1.0,34.0,0.0,6.0,0.0,36.0,0.26,-1.0,-0.03,132.0,351.0,37.6,808.0,180.0,27.5,31.7,290.0,44.5,38.5,558.0,45.0,8.1,40.0,1.18,13.7,143.0,18.0,35.8,4.21,0.09,0.25,0.1,-6.7,-3.3,12927.0,16270.0,79.5,238994.0,86727.0,5315.0,6090.0,87.3,5881.0,6753.0,87.1,1440.0,2624.0,54.9,289.0,986.0,243.0,72.0,1256.0,14335.0,1886.0,563.0,41.0,107.0,604.0,174.0,83.0,41.0,3.0,789.0,49.0,314.0,697.0,20.5,485.0,61.0,51.0,42.0,64.0,1.88,44.0,2.0,7.0,4.0,1.0,552.0,350.0,256.0,227.0,69.0,335.0,111.0,224.0,259.0,626.0,6.0,19864.0,1945.0,6466.0,8992.0,4604.0,620.0,19856.0,11058.0,488.0,394.0,107.0,12836.0,509.0,278.0,1.0,566.0,488.0,49.0,7.0,5.0,0.0,1524.0,449.0,550.0,44.9
vs Farense,25.0,57.6,34.0,374.0,3060.0,50.0,32.0,6.0,7.0,74.0,2.0,1.47,0.94,2.41,1.29,2.24,55.6,50.3,1.64,1.48,34.0,34.0,3060.0,46.0,1.35,147.0,101.0,72.1,17.0,7.0,10.0,9.0,26.5,7.0,5.0,0.0,2.0,34.0,2.0,9.0,0.0,47.5,0.3,1.5,0.04,119.0,329.0,36.2,747.0,190.0,25.6,30.1,287.0,48.1,41.9,509.0,34.0,6.7,49.0,1.44,15.1,185.0,19.0,30.4,5.44,0.07,0.24,0.08,-5.6,-6.3,14130.0,17887.0,79.0,253640.0,95853.0,6321.0,7190.0,87.9,6038.0,7090.0,85.2,1500.0,2733.0,54.9,448.0,1242.0,339.0,118.0,1634.0,15867.0,1964.0,500.0,34.0,110.0,912.0,268.0,147.0,66.0,2.0,830.0,56.0,337.0,1066.0,31.35,767.0,111.0,73.0,52.0,84.0,2.47,61.0,5.0,8.0,5.0,1.0,400.0,235.0,160.0,179.0,61.0,353.0,87.0,266.0,240.0,671.0,12.0,21653.0,1884.0,6105.0,9924.0,5829.0,992.0,21646.0,12086.0,696.0,472.0,170.0,14003.0,548.0,271.0,0.0,432.0,452.0,56.0,6.0,7.0,0.0,1627.0,653.0,601.0,52.1
