player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Matías Abaldo,uy URU,FW,Gimnasia–LP,20-143,2004,8.0,7.0,606.0,3.0,2.0,0.0,0.0,0.0,0.0,0.45,0.3,0.74,0.45,0.74,1.4,1.4,0.21,0.21,6.7,7.0,0.0,46.7,1.04,0.2,0.43,0.09,1.6,1.6,111.0,182.0,61.0,1873.0,729.0,66.0,90.0,73.3,27.0,51.0,52.9,16.0,27.0,59.3,12.0,18.0,11.0,5.0,24.0,177.0,5.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,20.0,2.97,16.0,1.0,1.0,0.0,2.0,0.3,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,8.0,0.0,8.0,4.0,1.0,0.0,261.0,1.0,25.0,92.0,151.0,35.0,261.0,163.0,25.0,11.0,8.0,182.0,21.0,9.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,34.0,2.0,1.0,66.7
Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,28-258,1995,5.0,5.0,427.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,1.0,0.0,100.0,0.21,0.0,0.0,0.01,0.0,0.0,253.0,320.0,79.1,5447.0,1878.0,70.0,78.0,89.7,140.0,149.0,94.0,42.0,79.0,53.2,2.0,24.0,1.0,0.0,29.0,305.0,13.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,4.0,0.84,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,10.0,2.0,0.0,3.0,1.0,2.0,5.0,20.0,0.0,362.0,26.0,150.0,207.0,6.0,1.0,362.0,189.0,2.0,1.0,0.0,237.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,28.0,14.0,11.0,56.0
Luciano Abecasis,ar ARG,DF,Independiente Rivadavia,34-081,1990,4.0,4.0,318.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,0.02,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,-0.1,-0.1,66.0,105.0,62.9,1265.0,599.0,28.0,39.0,71.8,25.0,39.0,64.1,11.0,18.0,61.1,3.0,4.0,4.0,4.0,11.0,79.0,25.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,25.0,1.0,5.0,9.0,2.55,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,7.0,4.0,0.0,7.0,0.0,7.0,0.0,9.0,0.0,153.0,11.0,32.0,68.0,53.0,1.0,153.0,52.0,2.0,1.0,0.0,67.0,4.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,9.0,4.0,9.0,30.8
Ramón Ábila,ar ARG,FW,Huracán,34-315,1989,3.0,1.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.23,0.23,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.17,-0.3,-0.3,23.0,36.0,63.9,310.0,122.0,10.0,17.0,58.8,9.0,14.0,64.3,1.0,1.0,100.0,4.0,2.0,2.0,0.0,6.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.33,7.0,0.0,1.0,0.0,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,52.0,3.0,3.0,23.0,27.0,5.0,52.0,30.0,1.0,1.0,1.0,40.0,5.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,6.0,2.0,75.0
Gonzalo Abrego,ar ARG,MF,Godoy Cruz,24-230,2000,6.0,0.0,195.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,57.0,77.0,74.0,908.0,356.0,32.0,40.0,80.0,17.0,21.0,81.0,6.0,10.0,60.0,2.0,7.0,2.0,0.0,8.0,74.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.38,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,101.0,4.0,25.0,62.0,18.0,1.0,101.0,54.0,3.0,1.0,1.0,65.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,3.0,50.0
Jonás Acevedo,ar ARG,MF,Instituto,27-200,1997,10.0,10.0,807.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.11,0.11,0.0,0.11,0.2,0.2,0.03,0.03,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03,-0.2,-0.2,241.0,353.0,68.3,4091.0,1351.0,118.0,144.0,81.9,87.0,112.0,77.7,27.0,68.0,39.7,15.0,37.0,10.0,4.0,46.0,302.0,48.0,10.0,0.0,2.0,62.0,33.0,3.0,26.0,0.0,5.0,3.0,16.0,31.0,3.46,18.0,8.0,2.0,1.0,2.0,0.22,2.0,0.0,0.0,0.0,0.0,17.0,13.0,3.0,10.0,4.0,8.0,0.0,8.0,5.0,6.0,0.0,451.0,2.0,45.0,208.0,204.0,6.0,451.0,250.0,15.0,14.0,1.0,272.0,24.0,9.0,0.0,12.0,18.0,1.0,0.0,0.0,0.0,42.0,5.0,13.0,27.8
Guillermo Acosta,ar ARG,MF,Atlé Tucumán,35-298,1988,11.0,11.0,801.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.05,0.05,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.5,-0.5,296.0,411.0,72.0,5024.0,1822.0,131.0,161.0,81.4,132.0,168.0,78.6,25.0,52.0,48.1,10.0,35.0,6.0,1.0,50.0,395.0,14.0,10.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,9.0,15.0,1.69,15.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,12.0,7.0,1.0,9.0,2.0,8.0,2.0,6.0,7.0,26.0,0.0,496.0,24.0,110.0,302.0,87.0,5.0,496.0,170.0,5.0,6.0,0.0,240.0,9.0,6.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,52.0,11.0,10.0,52.4
Lautaro Acosta,ar ARG,MF,Lanús,36-163,1988,9.0,2.0,278.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,85.0,71.8,853.0,288.0,33.0,42.0,78.6,22.0,31.0,71.0,2.0,3.0,66.7,1.0,5.0,1.0,0.0,13.0,82.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.97,2.0,0.0,0.0,1.0,1.0,0.32,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,0.0,118.0,6.0,23.0,65.0,33.0,2.0,118.0,54.0,4.0,4.0,0.0,67.0,11.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,14.0,1.0,3.0,25.0
Lucas Acosta,ar ARG,GK,Sarmiento,29-165,1995,7.0,7.0,630.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,192.0,43.2,4299.0,3853.0,5.0,5.0,100.0,12.0,13.0,92.3,66.0,173.0,38.2,1.0,9.0,0.0,0.0,0.0,74.0,117.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.57,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,214.0,184.0,212.0,2.0,0.0,0.0,214.0,68.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Walter Acuña,ar ARG,"FW,MF",Deportivo Riestra,32-173,1992,5.0,1.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.16,0.16,1.3,2.0,1.0,66.7,1.59,0.0,0.0,0.07,-0.2,-0.2,17.0,40.0,42.5,324.0,157.0,5.0,10.0,50.0,7.0,11.0,63.6,4.0,9.0,44.4,1.0,2.0,5.0,1.0,5.0,32.0,8.0,6.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,3.98,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,64.0,0.0,1.0,21.0,42.0,6.0,64.0,24.0,2.0,1.0,1.0,36.0,8.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,20.0
