team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Arg Juniors,28.0,39.2,11.0,121.0,990.0,14.0,6.0,2.0,2.0,35.0,2.0,1.27,0.55,1.82,1.09,1.64,8.7,7.1,0.79,0.65,11.0,11.0,990.0,8.0,0.73,41.0,33.0,82.9,6.0,1.0,4.0,7.0,63.6,1.0,1.0,0.0,0.0,11.0,0.0,2.0,0.0,10.1,0.23,2.1,0.19,87.0,233.0,37.3,242.0,38.0,64.9,48.5,107.0,71.0,50.4,219.0,15.0,6.8,12.0,1.09,14.5,33.0,7.0,34.0,3.0,0.12,0.36,0.07,5.3,4.9,2549.0,3738.0,68.2,49079.0,22648.0,1101.0,1386.0,79.4,1013.0,1333.0,76.0,368.0,777.0,47.4,65.0,219.0,50.0,24.0,265.0,3245.0,480.0,138.0,4.0,22.0,137.0,19.0,5.0,12.0,0.0,198.0,13.0,99.0,174.0,15.82,114.0,17.0,8.0,16.0,24.0,2.18,14.0,1.0,3.0,2.0,0.0,260.0,159.0,105.0,127.0,28.0,142.0,43.0,99.0,123.0,389.0,2.0,5283.0,777.0,2057.0,2282.0,1019.0,146.0,5281.0,2201.0,139.0,102.0,32.0,2522.0,205.0,107.0,2.0,153.0,112.0,13.0,1.0,1.0,0.0,510.0,175.0,163.0,51.8
vs Atlé Tucumán,25.0,53.7,11.0,121.0,990.0,7.0,4.0,1.0,2.0,26.0,1.0,0.64,0.36,1.0,0.55,0.91,9.5,7.9,0.86,0.72,11.0,11.0,990.0,13.0,1.18,46.0,32.0,76.1,1.0,4.0,6.0,1.0,9.1,3.0,2.0,1.0,0.0,11.0,0.0,3.0,0.0,16.0,0.29,3.0,0.27,66.0,144.0,45.8,272.0,48.0,38.6,36.3,103.0,37.9,36.8,154.0,9.0,5.8,12.0,1.09,14.8,36.0,9.0,27.5,3.27,0.05,0.17,0.06,-2.5,-1.9,3528.0,5014.0,70.4,65738.0,29319.0,1505.0,1849.0,81.4,1452.0,1858.0,78.1,459.0,935.0,49.1,90.0,307.0,60.0,23.0,356.0,4326.0,675.0,153.0,6.0,19.0,243.0,74.0,27.0,38.0,0.0,321.0,13.0,167.0,219.0,19.91,147.0,28.0,14.0,17.0,13.0,1.18,7.0,2.0,0.0,2.0,0.0,187.0,118.0,97.0,69.0,21.0,147.0,36.0,111.0,108.0,229.0,3.0,6400.0,642.0,2105.0,2861.0,1496.0,200.0,6398.0,3042.0,136.0,92.0,29.0,3488.0,232.0,129.0,1.0,113.0,131.0,13.0,2.0,3.0,0.0,505.0,204.0,221.0,48.0
vs Banfield,32.0,53.3,11.0,121.0,990.0,15.0,9.0,1.0,2.0,23.0,1.0,1.36,0.82,2.18,1.27,2.09,16.6,15.4,1.51,1.4,11.0,11.0,990.0,9.0,0.82,38.0,27.0,78.9,5.0,4.0,2.0,4.0,36.4,4.0,1.0,2.0,1.0,11.0,0.0,1.0,0.0,12.6,0.28,3.6,0.33,60.0,167.0,35.9,231.0,34.0,50.2,40.8,96.0,53.1,43.2,178.0,10.0,5.6,2.0,0.18,10.7,46.0,11.0,32.4,4.18,0.1,0.3,0.11,-1.6,-1.4,3408.0,4585.0,74.3,62852.0,26233.0,1418.0,1683.0,84.3,1473.0,1780.0,82.8,403.0,810.0,49.8,98.0,315.0,78.0,35.0,376.0,4011.0,562.0,149.0,5.0,25.0,190.0,34.0,12.0,17.0,0.0,263.0,12.0,104.0,247.0,22.45,175.0,21.0,16.0,19.0,22.0,2.0,12.0,1.0,4.0,1.0,0.0,204.0,146.0,99.0,85.0,20.0,100.0,20.0,80.0,107.0,246.0,0.0,5902.0,588.0,1873.0,2755.0,1328.0,195.0,5900.0,2923.0,112.0,86.0,19.0,3380.0,193.0,111.0,0.0,122.0,131.0,12.0,1.0,4.0,0.0,477.0,189.0,179.0,51.4
vs Barracas Central,27.0,48.7,11.0,121.0,990.0,11.0,8.0,3.0,3.0,28.0,0.0,1.0,0.73,1.73,0.73,1.45,18.3,16.0,1.67,1.45,11.0,11.0,990.0,5.0,0.45,36.0,31.0,86.1,5.0,5.0,1.0,6.0,54.5,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,7.7,0.23,2.7,0.25,59.0,164.0,36.0,240.0,31.0,50.0,39.8,79.0,55.7,43.3,134.0,8.0,6.0,4.0,0.36,13.2,51.0,7.0,28.2,4.64,0.04,0.16,0.09,-7.3,-8.0,3273.0,4553.0,71.9,63033.0,26928.0,1317.0,1610.0,81.8,1417.0,1790.0,79.2,460.0,888.0,51.8,131.0,335.0,127.0,44.0,447.0,4006.0,533.0,113.0,11.0,28.0,304.0,65.0,17.0,32.0,0.0,260.0,14.0,134.0,308.0,28.0,217.0,26.0,23.0,16.0,22.0,2.0,15.0,1.0,0.0,4.0,2.0,309.0,208.0,108.0,144.0,57.0,163.0,30.0,133.0,108.0,198.0,1.0,6044.0,509.0,1693.0,2603.0,1830.0,295.0,6041.0,2747.0,174.0,121.0,42.0,3243.0,240.0,106.0,0.0,167.0,105.0,14.0,3.0,0.0,0.0,576.0,170.0,175.0,49.3
vs Belgrano,33.0,48.5,11.0,121.0,990.0,14.0,6.0,2.0,2.0,25.0,1.0,1.27,0.55,1.82,1.09,1.64,12.1,10.5,1.1,0.95,11.0,11.0,990.0,14.0,1.27,39.0,25.0,64.1,3.0,4.0,4.0,3.0,27.3,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,13.1,0.34,-0.9,-0.08,60.0,186.0,32.3,268.0,36.0,54.1,42.7,71.0,57.7,44.1,164.0,15.0,9.1,15.0,1.36,14.1,45.0,7.0,33.6,4.09,0.09,0.27,0.08,1.9,1.5,3378.0,4614.0,73.2,64785.0,25726.0,1429.0,1656.0,86.3,1389.0,1768.0,78.6,495.0,960.0,51.6,90.0,335.0,80.0,28.0,406.0,4060.0,540.0,144.0,6.0,48.0,284.0,57.0,17.0,28.0,0.0,243.0,14.0,113.0,245.0,22.27,168.0,26.0,10.0,11.0,23.0,2.09,9.0,1.0,4.0,1.0,2.0,213.0,138.0,115.0,75.0,23.0,122.0,29.0,93.0,105.0,250.0,2.0,5876.0,609.0,1872.0,2611.0,1459.0,199.0,5874.0,2931.0,156.0,113.0,33.0,3349.0,187.0,91.0,1.0,111.0,128.0,14.0,1.0,0.0,0.0,485.0,152.0,189.0,44.6
vs Boca Juniors,36.0,43.5,11.0,121.0,990.0,10.0,5.0,2.0,3.0,23.0,1.0,0.91,0.45,1.36,0.73,1.18,15.1,12.8,1.38,1.16,11.0,11.0,990.0,15.0,1.36,45.0,32.0,68.9,2.0,5.0,4.0,4.0,36.4,1.0,1.0,0.0,0.0,11.0,0.0,1.0,2.0,14.0,0.31,1.0,0.09,61.0,126.0,48.4,191.0,26.0,47.1,39.8,80.0,45.0,38.4,186.0,11.0,5.9,9.0,0.82,12.0,38.0,5.0,25.9,3.45,0.05,0.21,0.09,-5.1,-4.8,3118.0,4169.0,74.8,59669.0,25597.0,1320.0,1531.0,86.2,1282.0,1581.0,81.1,445.0,809.0,55.0,105.0,301.0,67.0,26.0,361.0,3627.0,529.0,146.0,8.0,37.0,212.0,47.0,11.0,32.0,0.0,231.0,13.0,83.0,254.0,23.09,168.0,28.0,21.0,16.0,16.0,1.45,9.0,1.0,4.0,1.0,1.0,179.0,111.0,86.0,70.0,23.0,127.0,34.0,93.0,90.0,242.0,4.0,5507.0,546.0,1632.0,2575.0,1364.0,189.0,5504.0,2565.0,151.0,122.0,21.0,3085.0,195.0,89.0,0.0,141.0,134.0,13.0,2.0,1.0,2.0,501.0,134.0,128.0,51.1
vs Cen. Córdoba–SdE,37.0,41.5,11.0,121.0,990.0,22.0,15.0,0.0,0.0,30.0,4.0,2.0,1.36,3.36,2.0,3.36,15.3,15.3,1.39,1.39,11.0,11.0,990.0,10.0,0.91,29.0,19.0,75.9,8.0,2.0,1.0,4.0,36.4,3.0,3.0,0.0,0.0,11.0,1.0,1.0,0.0,9.6,0.24,-0.4,-0.04,54.0,152.0,35.5,229.0,30.0,48.9,39.9,85.0,47.1,40.0,135.0,5.0,3.7,3.0,0.27,11.5,64.0,6.0,53.8,5.82,0.18,0.34,0.13,6.7,6.7,2930.0,4024.0,72.8,56010.0,24712.0,1193.0,1426.0,83.7,1245.0,1574.0,79.1,409.0,777.0,52.6,87.0,276.0,59.0,19.0,340.0,3484.0,515.0,132.0,8.0,23.0,145.0,31.0,7.0,19.0,0.0,247.0,25.0,90.0,207.0,18.82,150.0,13.0,13.0,10.0,39.0,3.55,29.0,2.0,2.0,0.0,0.0,256.0,155.0,106.0,126.0,24.0,154.0,34.0,120.0,115.0,215.0,1.0,5364.0,560.0,1778.0,2468.0,1193.0,190.0,5364.0,2560.0,119.0,80.0,45.0,2897.0,197.0,100.0,3.0,161.0,120.0,25.0,0.0,3.0,0.0,509.0,144.0,130.0,52.6
vs Defensa y Just,32.0,46.2,11.0,121.0,990.0,15.0,9.0,2.0,3.0,23.0,0.0,1.36,0.82,2.18,1.18,2.0,15.1,12.7,1.37,1.16,11.0,11.0,990.0,8.0,0.73,42.0,34.0,81.0,5.0,5.0,1.0,4.0,36.4,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,9.9,0.24,1.9,0.17,47.0,143.0,32.9,221.0,42.0,46.6,39.7,104.0,38.5,35.7,171.0,13.0,7.6,4.0,0.36,10.4,42.0,6.0,30.9,3.82,0.1,0.31,0.09,-0.1,0.3,3064.0,4278.0,71.6,59712.0,25276.0,1229.0,1483.0,82.9,1328.0,1689.0,78.6,443.0,847.0,52.3,102.0,286.0,82.0,27.0,436.0,3708.0,544.0,140.0,8.0,44.0,242.0,54.0,21.0,18.0,1.0,227.0,26.0,109.0,230.0,20.91,172.0,16.0,6.0,15.0,25.0,2.27,18.0,0.0,1.0,3.0,0.0,205.0,134.0,88.0,86.0,31.0,139.0,39.0,100.0,82.0,232.0,4.0,5563.0,577.0,1781.0,2409.0,1428.0,239.0,5560.0,2637.0,168.0,109.0,46.0,3019.0,193.0,84.0,0.0,125.0,127.0,26.0,2.0,0.0,0.0,513.0,173.0,198.0,46.6
vs Deportivo Riestra,29.0,66.9,11.0,121.0,990.0,14.0,11.0,1.0,1.0,25.0,3.0,1.27,1.0,2.27,1.18,2.18,12.1,11.3,1.1,1.03,11.0,11.0,990.0,12.0,1.09,50.0,38.0,78.0,6.0,0.0,5.0,3.0,27.3,2.0,1.0,0.0,1.0,11.0,0.0,1.0,0.0,15.4,0.31,3.4,0.31,47.0,135.0,34.8,242.0,56.0,43.8,38.9,68.0,42.6,35.6,129.0,5.0,3.9,9.0,0.82,15.8,44.0,5.0,30.8,4.0,0.09,0.3,0.08,1.9,1.7,5124.0,6507.0,78.7,92324.0,32014.0,2269.0,2595.0,87.4,2129.0,2529.0,84.2,582.0,1048.0,55.5,109.0,509.0,100.0,32.0,568.0,5931.0,564.0,144.0,19.0,59.0,288.0,56.0,21.0,25.0,0.0,274.0,12.0,104.0,260.0,23.64,198.0,20.0,13.0,8.0,24.0,2.18,18.0,1.0,2.0,0.0,0.0,199.0,122.0,101.0,75.0,23.0,116.0,32.0,84.0,98.0,264.0,3.0,7857.0,584.0,2037.0,3916.0,1975.0,235.0,7856.0,4342.0,201.0,196.0,39.0,5082.0,186.0,120.0,1.0,121.0,125.0,12.0,0.0,2.0,0.0,563.0,196.0,184.0,51.6
vs Estudiantes,31.0,40.1,11.0,121.0,990.0,11.0,9.0,1.0,1.0,24.0,2.0,1.0,0.82,1.82,0.91,1.73,11.2,10.5,1.02,0.95,11.0,11.0,989.0,13.0,1.18,54.0,41.0,79.6,4.0,3.0,4.0,5.0,45.5,2.0,2.0,0.0,0.0,11.0,0.0,1.0,0.0,13.8,0.23,0.8,0.07,77.0,181.0,42.5,244.0,47.0,45.5,39.3,100.0,70.0,49.8,208.0,9.0,4.3,5.0,0.46,13.9,37.0,5.0,30.1,3.36,0.08,0.27,0.09,-0.2,-0.5,2753.0,3996.0,68.9,52156.0,24274.0,1137.0,1433.0,79.3,1130.0,1467.0,77.0,394.0,795.0,49.6,86.0,234.0,57.0,29.0,302.0,3441.0,537.0,142.0,4.0,22.0,222.0,48.0,19.0,26.0,0.0,224.0,18.0,121.0,211.0,19.18,130.0,30.0,17.0,16.0,17.0,1.55,9.0,4.0,3.0,1.0,0.0,194.0,126.0,89.0,77.0,28.0,144.0,39.0,105.0,111.0,310.0,3.0,5343.0,650.0,1804.0,2438.0,1166.0,179.0,5342.0,2462.0,133.0,97.0,23.0,2720.0,175.0,117.0,0.0,130.0,124.0,18.0,0.0,2.0,0.0,497.0,198.0,212.0,48.3
