player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Abner,br BRA,DF,Juventude,20-127,2004,3.0,1.0,108.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,28.0,67.9,415.0,166.0,7.0,8.0,87.5,10.0,11.0,90.9,2.0,8.0,25.0,0.0,3.0,1.0,0.0,2.0,26.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,10.0,1.0,46.0,14.0,29.0,14.0,3.0,0.0,46.0,21.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,50.0
Luiz Adriano,br BRA,FW,Vitória,37-134,1987,8.0,1.0,202.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.45,0.45,0.0,0.45,0.1,0.1,0.06,0.06,2.2,1.0,0.0,50.0,0.45,0.0,0.0,0.06,-0.1,-0.1,32.0,45.0,71.1,426.0,67.0,13.0,18.0,72.2,13.0,16.0,81.3,0.0,1.0,0.0,2.0,3.0,1.0,0.0,4.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.89,2.0,0.0,0.0,0.0,1.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,58.0,1.0,5.0,36.0,17.0,7.0,58.0,25.0,1.0,2.0,1.0,44.0,1.0,3.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,9.0,13.0,40.9
Adson,br BRA,FW,Vasco da Gama,23-323,2000,19.0,13.0,1179.0,2.0,1.0,0.0,0.0,2.0,0.0,0.15,0.08,0.23,0.15,0.23,1.5,1.5,0.11,0.11,13.1,10.0,0.0,40.0,0.76,0.08,0.2,0.06,0.5,0.5,507.0,596.0,85.1,7060.0,1734.0,309.0,338.0,91.4,155.0,180.0,86.1,19.0,30.0,63.3,21.0,47.0,18.0,3.0,69.0,580.0,15.0,2.0,3.0,1.0,21.0,5.0,3.0,0.0,0.0,8.0,1.0,18.0,53.0,4.05,46.0,2.0,0.0,0.0,5.0,0.38,4.0,0.0,0.0,0.0,0.0,25.0,20.0,11.0,9.0,5.0,15.0,2.0,13.0,5.0,9.0,0.0,759.0,7.0,101.0,366.0,305.0,38.0,759.0,463.0,41.0,37.0,7.0,553.0,27.0,16.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,69.0,9.0,12.0,42.9
Lucas Alario,ar ARG,FW,Internacional,31-321,1992,12.0,5.0,553.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.27,0.27,6.1,2.0,1.0,16.7,0.33,0.0,0.0,0.14,-1.7,-1.7,70.0,90.0,77.8,800.0,148.0,44.0,49.0,89.8,18.0,26.0,69.2,1.0,1.0,100.0,3.0,4.0,1.0,0.0,6.0,87.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,1.47,7.0,0.0,2.0,0.0,1.0,0.16,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,11.0,0.0,149.0,10.0,19.0,72.0,59.0,20.0,149.0,62.0,0.0,2.0,1.0,97.0,15.0,8.0,0.0,18.0,6.0,9.0,0.0,1.0,0.0,11.0,12.0,34.0,26.1
Carlos Alberto,br BRA,FW,Botafogo (RJ),22-132,2002,4.0,2.0,177.0,1.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.51,0.51,0.51,1.5,1.5,0.75,0.75,2.0,3.0,0.0,42.9,1.53,0.14,0.33,0.21,-0.5,-0.5,13.0,18.0,72.2,164.0,41.0,8.0,10.0,80.0,4.0,5.0,80.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,16.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,3.03,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,38.0,2.0,5.0,13.0,23.0,12.0,38.0,19.0,5.0,3.0,2.0,20.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,37.5
Yuri Alberto,br BRA,FW,Corinthians,23-159,2001,17.0,15.0,1286.0,4.0,2.0,1.0,1.0,4.0,0.0,0.28,0.14,0.42,0.21,0.35,3.7,2.9,0.26,0.2,14.3,14.0,0.0,35.9,0.98,0.08,0.21,0.07,0.3,0.1,181.0,245.0,73.9,2347.0,392.0,110.0,141.0,78.0,45.0,50.0,90.0,8.0,11.0,72.7,13.0,11.0,8.0,0.0,17.0,209.0,34.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,35.0,2.45,20.0,0.0,6.0,5.0,2.0,0.14,1.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,3.0,3.0,7.0,1.0,6.0,6.0,8.0,0.0,398.0,8.0,25.0,171.0,208.0,59.0,397.0,228.0,22.0,11.0,13.0,282.0,34.0,19.0,0.0,21.0,26.0,8.0,0.0,0.0,0.0,46.0,24.0,43.0,35.8
Alerrandro,br BRA,FW,Vitória,24-225,2000,21.0,19.0,1304.0,4.0,4.0,2.0,2.0,2.0,0.0,0.28,0.28,0.55,0.14,0.41,3.9,2.4,0.27,0.16,14.5,13.0,0.0,41.9,0.9,0.06,0.15,0.08,0.1,-0.4,198.0,283.0,70.0,2786.0,628.0,106.0,138.0,76.8,71.0,94.0,75.5,8.0,16.0,50.0,17.0,15.0,8.0,0.0,29.0,243.0,40.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,37.0,2.55,28.0,0.0,6.0,2.0,5.0,0.35,5.0,0.0,0.0,0.0,0.0,15.0,10.0,4.0,10.0,1.0,16.0,5.0,11.0,6.0,17.0,0.0,423.0,18.0,49.0,227.0,151.0,44.0,421.0,210.0,7.0,3.0,1.0,252.0,25.0,19.0,0.0,15.0,30.0,3.0,0.0,1.0,0.0,54.0,23.0,46.0,33.3
Caio Alexandre,br BRA,MF,Bahia,25-182,1999,22.0,21.0,1756.0,2.0,0.0,0.0,0.0,4.0,0.0,0.1,0.0,0.1,0.1,0.1,0.8,0.8,0.04,0.04,19.5,4.0,0.0,30.8,0.21,0.15,0.5,0.06,1.2,1.2,1410.0,1539.0,91.6,23659.0,6330.0,665.0,697.0,95.4,617.0,661.0,93.3,97.0,132.0,73.5,21.0,167.0,17.0,5.0,154.0,1461.0,74.0,66.0,3.0,12.0,15.0,0.0,0.0,0.0,0.0,8.0,4.0,9.0,47.0,2.41,45.0,0.0,1.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,40.0,18.0,15.0,24.0,1.0,11.0,1.0,10.0,7.0,13.0,1.0,1676.0,23.0,333.0,1102.0,247.0,7.0,1676.0,1141.0,48.0,41.0,3.0,1381.0,25.0,18.0,0.0,25.0,36.0,2.0,0.0,0.0,0.0,86.0,6.0,7.0,46.2
Matheus Alexandre,br BRA,DF,Cuiabá,25-139,1999,17.0,16.0,1362.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.01,0.01,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.2,-0.2,539.0,706.0,76.3,8553.0,3491.0,286.0,318.0,89.9,212.0,281.0,75.4,30.0,65.0,46.2,9.0,48.0,8.0,6.0,55.0,561.0,144.0,5.0,0.0,3.0,36.0,0.0,0.0,0.0,0.0,139.0,1.0,27.0,23.0,1.52,18.0,3.0,0.0,0.0,1.0,0.07,0.0,1.0,0.0,0.0,0.0,31.0,23.0,23.0,6.0,2.0,20.0,3.0,17.0,23.0,37.0,0.0,848.0,35.0,294.0,391.0,168.0,8.0,848.0,386.0,16.0,10.0,2.0,453.0,16.0,12.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,58.0,27.0,15.0,64.3
Alexsander,br BRA,MF,Fluminense,20-321,2003,15.0,7.0,791.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.11,0.11,0.0,0.11,0.4,0.4,0.04,0.04,8.8,3.0,0.0,23.1,0.34,0.0,0.0,0.03,-0.4,-0.4,392.0,457.0,85.8,5464.0,1587.0,230.0,249.0,92.4,120.0,135.0,88.9,17.0,26.0,65.4,7.0,37.0,8.0,2.0,36.0,437.0,19.0,10.0,0.0,5.0,7.0,1.0,1.0,0.0,0.0,8.0,1.0,12.0,26.0,2.96,20.0,0.0,1.0,1.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,24.0,12.0,9.0,9.0,6.0,13.0,3.0,10.0,9.0,9.0,0.0,598.0,32.0,140.0,326.0,136.0,16.0,598.0,335.0,15.0,8.0,4.0,430.0,23.0,17.0,0.0,21.0,19.0,0.0,0.0,0.0,0.0,50.0,6.0,10.0,37.5
