team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ath Paranaense,28.0,51.5,21.0,231.0,1890.0,24.0,20.0,1.0,1.0,57.0,4.0,1.14,0.95,2.1,1.1,2.05,27.5,26.8,1.31,1.27,21.0,21.0,1888.0,24.0,1.14,91.0,66.0,73.6,8.0,5.0,8.0,5.0,23.8,1.0,0.0,1.0,0.0,21.0,1.0,4.0,0.0,24.7,0.29,0.7,0.03,106.0,232.0,45.7,370.0,73.0,42.2,34.8,165.0,46.1,40.2,283.0,15.0,5.3,13.0,0.62,11.3,104.0,12.0,31.4,4.95,0.07,0.22,0.08,-3.5,-3.8,8016.0,10016.0,80.0,149649.0,53705.0,3259.0,3702.0,88.0,3726.0,4309.0,86.5,890.0,1559.0,57.1,251.0,744.0,190.0,54.0,894.0,9028.0,960.0,242.0,23.0,77.0,466.0,142.0,45.0,65.0,1.0,368.0,28.0,159.0,579.0,27.57,436.0,51.0,30.0,24.0,45.0,2.14,36.0,2.0,2.0,2.0,1.0,357.0,230.0,147.0,158.0,52.0,254.0,75.0,179.0,191.0,432.0,5.0,12309.0,1200.0,3356.0,5881.0,3197.0,495.0,12308.0,6900.0,346.0,244.0,79.0,7924.0,272.0,178.0,2.0,293.0,213.0,28.0,0.0,1.0,0.0,900.0,367.0,327.0,52.9
Atl Goianiense,36.0,45.9,23.0,253.0,2070.0,17.0,10.0,2.0,3.0,64.0,9.0,0.74,0.43,1.17,0.65,1.09,24.1,21.7,1.05,0.94,23.0,23.0,2069.0,36.0,1.57,107.0,72.0,70.1,3.0,6.0,14.0,3.0,13.0,5.0,4.0,1.0,0.0,23.0,2.0,3.0,2.0,34.5,0.28,0.5,0.02,133.0,322.0,41.3,466.0,72.0,44.8,38.5,182.0,62.1,45.5,321.0,23.0,7.2,18.0,0.78,13.9,99.0,6.0,32.1,4.3,0.05,0.15,0.07,-7.1,-6.7,7379.0,9642.0,76.5,142421.0,54474.0,2911.0,3412.0,85.3,3315.0,3965.0,83.6,987.0,1777.0,55.5,243.0,774.0,165.0,61.0,861.0,8541.0,1070.0,266.0,10.0,83.0,462.0,104.0,44.0,51.0,0.0,460.0,31.0,193.0,542.0,23.57,372.0,69.0,33.0,37.0,25.0,1.09,15.0,3.0,3.0,3.0,0.0,358.0,220.0,162.0,149.0,47.0,274.0,88.0,186.0,204.0,499.0,4.0,12142.0,1272.0,3667.0,5360.0,3253.0,449.0,12139.0,6417.0,346.0,287.0,72.0,7302.0,331.0,157.0,2.0,282.0,243.0,31.0,3.0,5.0,2.0,1010.0,358.0,397.0,47.4
Atlético Mineiro,34.0,59.7,21.0,231.0,1890.0,29.0,14.0,6.0,6.0,61.0,8.0,1.38,0.67,2.05,1.1,1.76,26.1,21.4,1.24,1.02,21.0,21.0,1890.0,29.0,1.38,88.0,58.0,69.3,7.0,9.0,5.0,5.0,23.8,3.0,2.0,1.0,0.0,21.0,0.0,3.0,0.0,30.8,0.33,1.8,0.08,61.0,144.0,42.4,482.0,82.0,22.2,30.4,128.0,28.9,27.4,251.0,14.0,5.6,27.0,1.29,15.9,86.0,30.0,29.1,4.1,0.08,0.27,0.07,2.9,1.6,10014.0,11913.0,84.1,176803.0,57846.0,4504.0,4946.0,91.1,4342.0,4876.0,89.0,963.0,1588.0,60.6,206.0,818.0,179.0,50.0,941.0,10967.0,910.0,269.0,14.0,106.0,418.0,109.0,37.0,21.0,9.0,355.0,36.0,168.0,534.0,25.43,390.0,35.0,34.0,40.0,44.0,2.1,28.0,2.0,6.0,7.0,0.0,401.0,242.0,170.0,175.0,56.0,193.0,63.0,130.0,180.0,380.0,1.0,14117.0,1238.0,4107.0,6814.0,3299.0,379.0,14111.0,8111.0,362.0,318.0,63.0,9946.0,317.0,194.0,6.0,278.0,270.0,36.0,5.0,3.0,0.0,917.0,290.0,267.0,52.1
Bahia,27.0,55.8,23.0,253.0,2070.0,33.0,27.0,1.0,1.0,50.0,0.0,1.43,1.17,2.61,1.39,2.57,31.4,30.6,1.36,1.33,23.0,23.0,2070.0,25.0,1.09,98.0,73.0,74.5,11.0,5.0,7.0,6.0,26.1,0.0,0.0,0.0,0.0,23.0,2.0,3.0,0.0,24.6,0.26,-0.4,-0.02,96.0,208.0,46.2,725.0,143.0,21.0,27.5,161.0,34.8,28.5,351.0,38.0,10.8,43.0,1.87,16.4,101.0,15.0,35.1,4.39,0.11,0.32,0.11,1.6,1.4,11201.0,13124.0,85.3,189504.0,65060.0,5173.0,5645.0,91.6,4870.0,5456.0,89.3,858.0,1386.0,61.9,232.0,845.0,198.0,52.0,1018.0,12041.0,1042.0,365.0,29.0,99.0,358.0,101.0,22.0,56.0,0.0,368.0,41.0,184.0,532.0,23.13,408.0,40.0,30.0,27.0,63.0,2.74,48.0,3.0,5.0,2.0,0.0,334.0,213.0,158.0,139.0,37.0,198.0,62.0,136.0,193.0,466.0,9.0,15377.0,1491.0,4796.0,7226.0,3477.0,398.0,15376.0,9248.0,398.0,332.0,75.0,11128.0,306.0,198.0,0.0,251.0,302.0,41.0,0.0,0.0,0.0,902.0,291.0,250.0,53.8
Botafogo (RJ),34.0,51.3,23.0,253.0,2070.0,41.0,26.0,4.0,6.0,70.0,2.0,1.78,1.13,2.91,1.61,2.74,32.3,27.7,1.4,1.21,23.0,23.0,2070.0,24.0,1.04,86.0,62.0,76.7,14.0,4.0,5.0,8.0,34.8,4.0,4.0,0.0,0.0,23.0,0.0,2.0,0.0,27.3,0.28,3.3,0.14,104.0,259.0,40.2,635.0,85.0,28.3,32.5,172.0,45.9,37.9,331.0,19.0,5.7,27.0,1.17,11.0,117.0,9.0,38.9,5.09,0.12,0.32,0.09,8.7,9.3,8769.0,10800.0,81.2,164072.0,61476.0,3517.0,3999.0,87.9,4054.0,4611.0,87.9,1025.0,1693.0,60.5,240.0,780.0,174.0,47.0,897.0,9701.0,1062.0,289.0,30.0,56.0,429.0,129.0,40.0,65.0,3.0,426.0,37.0,218.0,545.0,23.7,382.0,58.0,45.0,27.0,68.0,2.96,40.0,8.0,11.0,4.0,1.0,385.0,256.0,193.0,147.0,45.0,225.0,79.0,146.0,198.0,508.0,3.0,13207.0,1363.0,4085.0,6338.0,2897.0,442.0,13201.0,7352.0,316.0,218.0,92.0,8685.0,321.0,234.0,0.0,377.0,262.0,37.0,5.0,4.0,0.0,923.0,326.0,325.0,50.1
Corinthians,39.0,49.7,23.0,253.0,2070.0,20.0,15.0,1.0,1.0,65.0,2.0,0.87,0.65,1.52,0.83,1.48,24.2,23.4,1.05,1.02,23.0,23.0,2070.0,29.0,1.26,117.0,89.0,78.6,4.0,10.0,9.0,5.0,21.7,5.0,4.0,1.0,0.0,23.0,1.0,2.0,2.0,30.0,0.22,3.0,0.13,83.0,218.0,38.1,487.0,105.0,31.6,31.6,158.0,40.5,35.9,324.0,12.0,3.7,13.0,0.57,12.4,111.0,20.0,32.3,4.83,0.06,0.17,0.07,-4.2,-4.4,7905.0,10025.0,78.9,145002.0,53339.0,3286.0,3761.0,87.4,3518.0,4097.0,85.9,893.0,1580.0,56.5,258.0,701.0,175.0,56.0,870.0,8794.0,1199.0,369.0,28.0,66.0,509.0,132.0,34.0,73.0,5.0,488.0,32.0,201.0,597.0,25.96,406.0,72.0,38.0,41.0,36.0,1.57,22.0,5.0,2.0,2.0,2.0,387.0,223.0,167.0,168.0,52.0,280.0,97.0,183.0,227.0,491.0,6.0,12696.0,1326.0,3972.0,5799.0,3050.0,452.0,12695.0,6777.0,363.0,284.0,75.0,7830.0,328.0,221.0,2.0,307.0,341.0,32.0,1.0,5.0,2.0,909.0,339.0,323.0,51.2
Criciúma,28.0,43.0,21.0,231.0,1890.0,30.0,19.0,0.0,0.0,63.0,4.0,1.43,0.9,2.33,1.43,2.33,25.0,25.0,1.19,1.19,21.0,21.0,1888.0,32.0,1.53,103.0,69.0,71.8,6.0,7.0,8.0,2.0,9.5,5.0,3.0,2.0,0.0,21.0,1.0,4.0,0.0,33.5,0.28,1.5,0.07,101.0,271.0,37.3,376.0,74.0,47.1,37.4,207.0,45.4,37.7,356.0,16.0,4.5,7.0,0.33,10.0,103.0,10.0,34.4,4.9,0.1,0.29,0.09,5.0,5.0,6584.0,8555.0,77.0,122055.0,48409.0,2798.0,3272.0,85.5,2737.0,3245.0,84.3,846.0,1531.0,55.3,216.0,611.0,141.0,48.0,727.0,7551.0,963.0,245.0,16.0,72.0,366.0,89.0,35.0,37.0,4.0,370.0,41.0,186.0,505.0,24.05,347.0,55.0,39.0,28.0,48.0,2.29,27.0,3.0,11.0,2.0,0.0,329.0,205.0,173.0,114.0,42.0,254.0,82.0,172.0,175.0,503.0,5.0,10909.0,1292.0,3767.0,4742.0,2528.0,356.0,10909.0,5620.0,241.0,209.0,58.0,6531.0,306.0,214.0,3.0,292.0,215.0,41.0,0.0,5.0,0.0,908.0,302.0,300.0,50.2
Cruzeiro,33.0,51.6,22.0,242.0,1980.0,31.0,20.0,3.0,3.0,60.0,3.0,1.41,0.91,2.32,1.27,2.18,22.8,20.5,1.04,0.93,22.0,22.0,1980.0,24.0,1.09,92.0,69.0,76.1,11.0,4.0,7.0,9.0,40.9,2.0,2.0,0.0,0.0,22.0,0.0,3.0,1.0,29.6,0.31,6.6,0.3,41.0,124.0,33.1,412.0,103.0,23.5,28.7,153.0,17.6,23.9,323.0,12.0,3.7,13.0,0.59,12.2,101.0,7.0,35.6,4.59,0.1,0.28,0.07,8.2,7.5,8688.0,10693.0,81.2,151286.0,51777.0,3997.0,4469.0,89.4,3630.0,4173.0,87.0,853.0,1463.0,58.3,211.0,738.0,162.0,40.0,835.0,9662.0,992.0,264.0,9.0,87.0,397.0,113.0,27.0,57.0,3.0,417.0,39.0,227.0,511.0,23.23,391.0,36.0,29.0,16.0,52.0,2.36,40.0,0.0,7.0,0.0,1.0,370.0,231.0,153.0,161.0,56.0,250.0,71.0,179.0,172.0,466.0,8.0,13018.0,1249.0,3851.0,6152.0,3126.0,394.0,13015.0,7251.0,372.0,301.0,70.0,8597.0,299.0,178.0,1.0,291.0,242.0,39.0,0.0,2.0,1.0,947.0,269.0,265.0,50.4
Cuiabá,27.0,44.0,21.0,231.0,1890.0,20.0,12.0,4.0,5.0,62.0,1.0,0.95,0.57,1.52,0.76,1.33,21.3,17.4,1.01,0.83,21.0,21.0,1890.0,29.0,1.38,106.0,77.0,75.5,4.0,6.0,11.0,4.0,19.0,3.0,3.0,0.0,0.0,21.0,1.0,3.0,0.0,31.6,0.28,2.6,0.12,106.0,239.0,44.4,400.0,82.0,37.3,34.6,168.0,53.6,41.8,375.0,15.0,4.0,9.0,0.43,10.4,73.0,9.0,31.1,3.48,0.07,0.22,0.08,-1.3,-1.4,7041.0,8836.0,79.7,128863.0,48289.0,2981.0,3372.0,88.4,3039.0,3544.0,85.8,812.0,1397.0,58.1,172.0,596.0,139.0,51.0,678.0,7845.0,961.0,266.0,21.0,49.0,376.0,88.0,33.0,32.0,1.0,389.0,30.0,195.0,424.0,20.19,298.0,47.0,19.0,24.0,37.0,1.76,22.0,6.0,2.0,3.0,0.0,334.0,213.0,177.0,124.0,33.0,205.0,58.0,147.0,160.0,483.0,3.0,11052.0,1208.0,3547.0,5084.0,2539.0,342.0,11047.0,5916.0,266.0,199.0,57.0,6985.0,283.0,188.0,0.0,252.0,232.0,30.0,4.0,3.0,0.0,785.0,310.0,301.0,50.7
Flamengo,28.0,53.3,22.0,242.0,1980.0,36.0,28.0,4.0,5.0,41.0,0.0,1.64,1.27,2.91,1.45,2.73,30.0,26.1,1.36,1.18,22.0,22.0,1980.0,25.0,1.14,80.0,55.0,71.3,12.0,5.0,5.0,4.0,18.2,4.0,2.0,1.0,1.0,22.0,0.0,6.0,1.0,28.2,0.32,4.2,0.19,100.0,244.0,41.0,671.0,101.0,29.4,31.5,145.0,32.4,30.6,267.0,33.0,12.4,11.0,0.5,12.5,115.0,9.0,38.3,5.23,0.11,0.28,0.09,6.0,5.9,8863.0,10841.0,81.8,156411.0,53748.0,3978.0,4437.0,89.7,3689.0,4240.0,87.0,930.0,1532.0,60.7,228.0,803.0,195.0,42.0,940.0,9767.0,1050.0,343.0,26.0,63.0,415.0,136.0,54.0,37.0,5.0,380.0,24.0,214.0,545.0,24.77,415.0,39.0,25.0,24.0,68.0,3.09,43.0,6.0,3.0,8.0,3.0,363.0,239.0,165.0,133.0,65.0,212.0,61.0,151.0,168.0,387.0,1.0,13106.0,1272.0,3744.0,6129.0,3348.0,510.0,13101.0,7597.0,387.0,305.0,103.0,8760.0,293.0,183.0,0.0,246.0,313.0,24.0,5.0,4.0,1.0,885.0,304.0,276.0,52.4
