team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Ath Paranaense,28.0,48.5,21.0,231.0,1890.0,24.0,14.0,0.0,1.0,40.0,3.0,1.14,0.67,1.81,1.14,1.81,26.0,25.5,1.24,1.22,21.0,21.0,1890.0,25.0,1.19,105.0,81.0,77.1,8.0,5.0,8.0,5.0,23.8,1.0,1.0,0.0,0.0,21.0,1.0,1.0,1.0,28.1,0.26,4.1,0.19,93.0,245.0,38.0,540.0,109.0,29.8,31.8,201.0,41.8,36.6,379.0,32.0,8.4,10.0,0.48,11.1,90.0,15.0,32.5,4.29,0.09,0.27,0.1,-2.0,-1.5,7373.0,9316.0,79.1,135486.0,51684.0,3024.0,3463.0,87.3,3390.0,3923.0,86.4,801.0,1451.0,55.2,199.0,594.0,132.0,31.0,750.0,8282.0,1006.0,303.0,17.0,56.0,356.0,100.0,40.0,40.0,2.0,357.0,28.0,197.0,482.0,22.95,344.0,47.0,29.0,25.0,35.0,1.67,20.0,5.0,7.0,2.0,0.0,330.0,208.0,169.0,133.0,28.0,207.0,82.0,125.0,195.0,543.0,2.0,11740.0,1436.0,4111.0,5302.0,2473.0,369.0,11739.0,6139.0,327.0,240.0,74.0,7299.0,335.0,214.0,0.0,229.0,282.0,28.0,1.0,1.0,1.0,832.0,327.0,367.0,47.1
vs Atl Goianiense,36.0,54.1,23.0,253.0,2070.0,34.0,22.0,4.0,5.0,57.0,6.0,1.48,0.96,2.43,1.3,2.26,30.2,26.3,1.31,1.14,23.0,23.0,2070.0,18.0,0.78,101.0,84.0,84.2,14.0,6.0,3.0,8.0,34.8,3.0,2.0,0.0,1.0,23.0,0.0,3.0,1.0,20.9,0.19,3.9,0.17,98.0,287.0,34.1,509.0,100.0,37.3,35.3,182.0,53.3,41.4,363.0,29.0,8.0,16.0,0.7,11.5,102.0,15.0,33.0,4.43,0.1,0.29,0.09,3.8,3.7,9150.0,11399.0,80.3,166966.0,57349.0,3899.0,4377.0,89.1,3954.0,4583.0,86.3,1036.0,1791.0,57.8,224.0,793.0,185.0,51.0,930.0,10326.0,1047.0,289.0,29.0,93.0,429.0,127.0,42.0,52.0,3.0,409.0,26.0,226.0,553.0,24.04,403.0,45.0,37.0,31.0,60.0,2.61,41.0,3.0,6.0,6.0,0.0,330.0,216.0,174.0,122.0,34.0,242.0,86.0,156.0,193.0,542.0,10.0,13820.0,1417.0,4145.0,6456.0,3361.0,454.0,13815.0,7622.0,382.0,312.0,84.0,9067.0,331.0,209.0,4.0,255.0,269.0,26.0,5.0,3.0,1.0,1032.0,397.0,359.0,52.5
vs Atlético Mineiro,34.0,40.3,21.0,231.0,1890.0,29.0,17.0,2.0,3.0,65.0,2.0,1.38,0.81,2.19,1.29,2.1,23.6,21.2,1.13,1.01,21.0,21.0,1890.0,29.0,1.38,92.0,63.0,75.0,5.0,9.0,7.0,4.0,19.0,6.0,6.0,0.0,0.0,21.0,2.0,2.0,0.0,30.9,0.28,1.9,0.09,97.0,279.0,34.8,428.0,75.0,43.2,36.5,160.0,58.8,43.5,339.0,18.0,5.3,12.0,0.57,11.3,85.0,14.0,35.9,4.05,0.11,0.32,0.09,5.4,5.8,6127.0,7982.0,76.8,109944.0,43408.0,2726.0,3118.0,87.4,2532.0,3032.0,83.5,690.0,1373.0,50.3,167.0,517.0,136.0,23.0,650.0,7016.0,946.0,295.0,25.0,49.0,326.0,87.0,31.0,42.0,2.0,355.0,20.0,157.0,423.0,20.14,290.0,41.0,23.0,36.0,52.0,2.48,33.0,5.0,5.0,5.0,1.0,371.0,225.0,171.0,144.0,56.0,231.0,87.0,144.0,191.0,432.0,6.0,10248.0,1173.0,3215.0,4732.0,2423.0,332.0,10245.0,5186.0,254.0,229.0,47.0,6055.0,290.0,213.0,0.0,286.0,266.0,20.0,3.0,6.0,0.0,860.0,268.0,290.0,48.0
vs Bahia,27.0,44.2,23.0,253.0,2070.0,25.0,20.0,0.0,0.0,77.0,5.0,1.09,0.87,1.96,1.09,1.96,24.6,24.6,1.07,1.07,23.0,23.0,2068.0,33.0,1.44,102.0,69.0,68.6,7.0,5.0,11.0,3.0,13.0,1.0,1.0,0.0,0.0,23.0,1.0,3.0,0.0,34.2,0.33,1.2,0.05,77.0,213.0,36.2,387.0,89.0,38.8,34.0,154.0,40.9,35.2,276.0,16.0,5.8,28.0,1.22,15.8,98.0,18.0,32.5,4.26,0.08,0.26,0.08,0.4,0.4,8447.0,10423.0,81.0,147848.0,50181.0,3816.0,4224.0,90.3,3542.0,4058.0,87.3,832.0,1532.0,54.3,214.0,707.0,128.0,45.0,815.0,9366.0,986.0,269.0,35.0,95.0,433.0,102.0,44.0,37.0,3.0,408.0,71.0,164.0,522.0,22.7,367.0,42.0,37.0,29.0,43.0,1.87,27.0,4.0,6.0,3.0,1.0,364.0,229.0,165.0,154.0,45.0,225.0,70.0,155.0,214.0,408.0,4.0,12639.0,1156.0,3500.0,6490.0,2794.0,385.0,12639.0,7369.0,391.0,281.0,77.0,8355.0,274.0,189.0,3.0,316.0,237.0,71.0,0.0,1.0,0.0,984.0,250.0,291.0,46.2
vs Botafogo (RJ),34.0,48.7,23.0,253.0,2070.0,24.0,16.0,4.0,4.0,69.0,3.0,1.04,0.7,1.74,0.87,1.57,24.6,21.5,1.07,0.93,23.0,23.0,2070.0,41.0,1.78,122.0,80.0,69.7,5.0,4.0,14.0,1.0,4.3,6.0,4.0,1.0,1.0,23.0,1.0,9.0,0.0,39.0,0.29,-2.0,-0.09,94.0,240.0,39.2,485.0,105.0,37.9,34.4,166.0,33.7,31.1,329.0,15.0,4.6,21.0,0.91,15.6,82.0,13.0,29.3,3.57,0.07,0.24,0.08,-0.6,-1.5,8121.0,10150.0,80.0,146294.0,54048.0,3523.0,3978.0,88.6,3430.0,4011.0,85.5,920.0,1603.0,57.4,198.0,699.0,144.0,46.0,789.0,8983.0,1136.0,396.0,21.0,74.0,429.0,98.0,28.0,46.0,2.0,415.0,31.0,178.0,511.0,22.22,367.0,48.0,31.0,33.0,39.0,1.7,26.0,1.0,5.0,3.0,1.0,371.0,219.0,179.0,158.0,34.0,244.0,67.0,177.0,179.0,526.0,8.0,12597.0,1348.0,4143.0,5691.0,2883.0,396.0,12593.0,6809.0,306.0,240.0,74.0,8057.0,317.0,199.0,1.0,275.0,360.0,31.0,3.0,6.0,0.0,898.0,325.0,326.0,49.9
vs Corinthians,39.0,50.3,23.0,253.0,2070.0,27.0,18.0,4.0,5.0,77.0,7.0,1.17,0.78,1.96,1.0,1.78,27.3,23.4,1.19,1.02,23.0,23.0,2070.0,20.0,0.87,112.0,92.0,83.0,9.0,10.0,4.0,11.0,47.8,1.0,1.0,0.0,0.0,23.0,0.0,4.0,0.0,23.6,0.21,3.6,0.15,89.0,277.0,32.1,478.0,82.0,35.6,33.8,197.0,54.3,40.7,394.0,26.0,6.6,25.0,1.09,13.3,112.0,16.0,35.3,4.87,0.07,0.21,0.07,-0.3,-0.4,8100.0,10282.0,78.8,141966.0,50896.0,3625.0,4132.0,87.7,3454.0,4065.0,85.0,785.0,1513.0,51.9,242.0,659.0,136.0,41.0,773.0,9098.0,1147.0,316.0,17.0,77.0,403.0,132.0,52.0,42.0,1.0,459.0,37.0,219.0,564.0,24.52,392.0,58.0,37.0,31.0,47.0,2.04,30.0,3.0,4.0,3.0,3.0,432.0,271.0,215.0,168.0,49.0,241.0,83.0,158.0,205.0,521.0,6.0,12930.0,1405.0,4104.0,5833.0,3125.0,418.0,12925.0,7036.0,350.0,278.0,83.0,8038.0,297.0,191.0,4.0,353.0,293.0,37.0,3.0,1.0,0.0,933.0,323.0,339.0,48.8
vs Criciúma,28.0,57.0,21.0,231.0,1890.0,32.0,27.0,3.0,5.0,45.0,1.0,1.52,1.29,2.81,1.38,2.67,28.7,24.8,1.37,1.18,21.0,21.0,1889.0,30.0,1.43,103.0,73.0,70.9,8.0,7.0,6.0,1.0,4.8,0.0,0.0,0.0,0.0,21.0,2.0,4.0,0.0,33.1,0.33,3.1,0.15,56.0,157.0,35.7,421.0,78.0,29.5,31.7,152.0,21.7,27.2,281.0,14.0,5.0,19.0,0.91,14.0,98.0,17.0,29.8,4.67,0.09,0.3,0.08,3.3,4.2,9314.0,11351.0,82.1,162915.0,54286.0,4109.0,4583.0,89.7,4053.0,4661.0,87.0,890.0,1510.0,58.9,249.0,839.0,177.0,54.0,952.0,10296.0,1029.0,306.0,14.0,72.0,443.0,115.0,43.0,42.0,1.0,405.0,26.0,197.0,605.0,28.81,455.0,48.0,30.0,29.0,59.0,2.81,47.0,5.0,1.0,4.0,1.0,370.0,224.0,132.0,179.0,59.0,222.0,70.0,152.0,209.0,364.0,8.0,13657.0,1119.0,3770.0,6481.0,3539.0,457.0,13652.0,7903.0,375.0,311.0,79.0,9230.0,290.0,162.0,0.0,231.0,279.0,26.0,4.0,0.0,0.0,905.0,299.0,303.0,49.7
vs Cruzeiro,33.0,48.4,22.0,242.0,1980.0,23.0,15.0,2.0,2.0,42.0,5.0,1.05,0.68,1.73,0.95,1.64,24.6,23.2,1.12,1.06,22.0,22.0,1980.0,31.0,1.41,104.0,73.0,73.1,7.0,4.0,11.0,6.0,27.3,3.0,3.0,0.0,0.0,22.0,0.0,1.0,0.0,31.9,0.29,0.9,0.04,129.0,297.0,43.4,577.0,92.0,37.4,34.8,166.0,48.8,39.8,309.0,22.0,7.1,17.0,0.77,13.6,90.0,9.0,33.8,4.09,0.08,0.23,0.09,-1.6,-2.2,8200.0,10216.0,80.3,155203.0,56911.0,3355.0,3821.0,87.8,3664.0,4224.0,86.7,1025.0,1699.0,60.3,198.0,677.0,147.0,50.0,804.0,9103.0,1091.0,316.0,12.0,118.0,436.0,110.0,44.0,43.0,3.0,446.0,22.0,229.0,465.0,21.14,317.0,49.0,35.0,24.0,36.0,1.64,22.0,3.0,5.0,2.0,2.0,364.0,229.0,175.0,139.0,50.0,271.0,70.0,201.0,189.0,423.0,6.0,12551.0,1464.0,4328.0,5454.0,2876.0,397.0,12549.0,7070.0,298.0,212.0,72.0,8118.0,319.0,200.0,2.0,256.0,276.0,22.0,1.0,3.0,0.0,884.0,265.0,269.0,49.6
vs Cuiabá,27.0,56.0,21.0,231.0,1890.0,29.0,21.0,3.0,3.0,55.0,5.0,1.38,1.0,2.38,1.24,2.24,25.7,23.3,1.22,1.11,21.0,21.0,1890.0,21.0,1.0,78.0,57.0,78.2,11.0,6.0,4.0,9.0,42.9,5.0,4.0,1.0,0.0,21.0,0.0,3.0,1.0,24.2,0.26,4.2,0.2,82.0,203.0,40.4,466.0,84.0,31.5,32.5,149.0,37.6,35.0,281.0,19.0,6.8,16.0,0.76,12.5,103.0,10.0,36.5,4.9,0.09,0.25,0.08,3.3,2.7,9436.0,11282.0,83.6,171046.0,57551.0,4036.0,4442.0,90.9,4109.0,4618.0,89.0,1039.0,1607.0,64.7,222.0,824.0,176.0,68.0,949.0,10248.0,997.0,266.0,17.0,110.0,486.0,119.0,45.0,38.0,1.0,422.0,37.0,194.0,519.0,24.71,396.0,48.0,27.0,25.0,52.0,2.48,34.0,3.0,6.0,5.0,1.0,323.0,202.0,157.0,123.0,43.0,216.0,60.0,156.0,187.0,399.0,12.0,13508.0,1134.0,3585.0,6533.0,3483.0,394.0,13505.0,7463.0,326.0,247.0,60.0,9339.0,326.0,164.0,1.0,244.0,235.0,37.0,3.0,5.0,1.0,855.0,301.0,310.0,49.3
vs Flamengo,28.0,46.7,22.0,242.0,1980.0,24.0,19.0,2.0,4.0,68.0,8.0,1.09,0.86,1.95,1.0,1.86,25.1,22.0,1.14,1.0,22.0,22.0,1980.0,36.0,1.64,120.0,83.0,73.3,5.0,5.0,12.0,3.0,13.6,5.0,4.0,1.0,0.0,22.0,1.0,4.0,0.0,39.5,0.29,3.5,0.16,114.0,275.0,41.5,577.0,105.0,33.6,32.9,175.0,46.3,37.6,320.0,19.0,5.9,13.0,0.59,11.9,77.0,7.0,31.4,3.5,0.09,0.29,0.09,-1.1,0.0,7768.0,9648.0,80.5,141341.0,50701.0,3305.0,3730.0,88.6,3428.0,3960.0,86.6,847.0,1462.0,57.9,192.0,596.0,138.0,40.0,725.0,8662.0,946.0,252.0,17.0,70.0,347.0,90.0,44.0,29.0,2.0,373.0,40.0,179.0,445.0,20.23,327.0,38.0,30.0,21.0,42.0,1.91,28.0,5.0,5.0,2.0,0.0,365.0,226.0,166.0,156.0,43.0,252.0,70.0,182.0,188.0,516.0,8.0,12000.0,1509.0,4188.0,5413.0,2521.0,340.0,11996.0,6602.0,277.0,254.0,63.0,7692.0,290.0,210.0,4.0,319.0,233.0,40.0,3.0,5.0,0.0,871.0,276.0,304.0,47.6
