player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Oliver Abildgaard,dk DEN,MF,Como,27,1996,28.0,20.0,1865.0,2.0,3.0,0.0,0.0,5.0,0.0,0.1,0.14,0.24,0.1,0.24,0.6,0.6,0.03,0.03,20.7,6.0,0.0,28.6,0.29,0.1,0.33,0.03,1.4,1.4,707.0,941.0,75.1,12038.0,5024.0,338.0,418.0,80.9,295.0,378.0,78.0,58.0,100.0,58.0,14.0,88.0,14.0,4.0,109.0,930.0,9.0,7.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,38.0,1.83,30.0,0.0,4.0,0.0,7.0,0.34,4.0,0.0,3.0,0.0,0.0,28.0,13.0,13.0,11.0,4.0,24.0,14.0,10.0,73.0,70.0,0.0,1218.0,89.0,382.0,689.0,153.0,23.0,1218.0,526.0,10.0,24.0,1.0,596.0,17.0,12.0,0.0,40.0,24.0,1.0,0.0,0.0,0.0,122.0,90.0,28.0,76.3
Fabio Abiuso,gr GRE,"FW,MF",Modena,20,2003,23.0,11.0,1234.0,5.0,0.0,0.0,0.0,5.0,1.0,0.36,0.0,0.36,0.36,0.36,6.2,6.2,0.45,0.45,13.7,15.0,0.0,31.3,1.09,0.1,0.33,0.13,-1.2,-1.2,144.0,226.0,63.7,1844.0,304.0,88.0,122.0,72.1,34.0,55.0,61.8,7.0,11.0,63.6,14.0,9.0,1.0,0.0,16.0,217.0,8.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,31.0,2.26,18.0,0.0,8.0,3.0,3.0,0.22,0.0,0.0,1.0,0.0,0.0,19.0,13.0,4.0,6.0,9.0,18.0,2.0,16.0,6.0,5.0,0.0,403.0,8.0,33.0,138.0,235.0,87.0,403.0,209.0,17.0,11.0,12.0,288.0,39.0,20.0,0.0,30.0,37.0,4.0,0.0,0.0,0.0,36.0,40.0,62.0,39.2
Gonzalo Abrego,ar ARG,MF,Cremonese,23,2000,22.0,11.0,1102.0,1.0,0.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,1.4,1.4,0.11,0.11,12.2,4.0,1.0,25.0,0.33,0.06,0.25,0.09,-0.4,-0.4,423.0,503.0,84.1,7072.0,2051.0,208.0,235.0,88.5,156.0,182.0,85.7,46.0,59.0,78.0,11.0,53.0,8.0,1.0,70.0,494.0,7.0,2.0,0.0,4.0,11.0,4.0,2.0,1.0,0.0,0.0,2.0,5.0,27.0,2.21,25.0,0.0,0.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,30.0,20.0,11.0,11.0,8.0,20.0,4.0,16.0,10.0,12.0,0.0,632.0,19.0,117.0,332.0,186.0,31.0,632.0,332.0,19.0,17.0,7.0,403.0,16.0,17.0,0.0,23.0,2.0,1.0,0.0,0.0,0.0,64.0,21.0,35.0,37.5
Gennaro Acampora,it ITA,MF,Bari,29,1994,20.0,14.0,1174.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.15,0.15,0.0,0.15,0.5,0.5,0.04,0.04,13.0,3.0,2.0,18.8,0.23,0.0,0.0,0.03,-0.5,-0.5,446.0,566.0,78.8,9323.0,2579.0,164.0,190.0,86.3,184.0,216.0,85.2,90.0,136.0,66.2,17.0,52.0,10.0,3.0,75.0,516.0,46.0,30.0,0.0,25.0,31.0,14.0,7.0,4.0,0.0,0.0,4.0,12.0,37.0,2.84,27.0,4.0,2.0,4.0,3.0,0.23,2.0,0.0,1.0,0.0,0.0,34.0,22.0,17.0,16.0,1.0,19.0,3.0,16.0,7.0,10.0,0.0,700.0,25.0,150.0,403.0,167.0,6.0,700.0,416.0,25.0,22.0,0.0,433.0,13.0,18.0,0.0,24.0,32.0,1.0,0.0,0.0,0.0,84.0,11.0,12.0,47.8
Ismail Achik,it ITA,"FW,MF",Bari,23,2000,22.0,6.0,821.0,1.0,1.0,0.0,0.0,2.0,0.0,0.11,0.11,0.22,0.11,0.22,1.7,1.7,0.18,0.18,9.1,5.0,2.0,17.9,0.55,0.04,0.2,0.06,-0.7,-0.7,213.0,376.0,56.6,3748.0,1306.0,106.0,128.0,82.8,73.0,109.0,67.0,28.0,92.0,30.4,19.0,16.0,15.0,7.0,22.0,306.0,70.0,13.0,0.0,4.0,116.0,49.0,24.0,19.0,1.0,8.0,0.0,34.0,42.0,4.6,16.0,14.0,1.0,5.0,2.0,0.22,1.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,3.0,1.0,9.0,1.0,8.0,2.0,4.0,0.0,479.0,6.0,41.0,152.0,292.0,33.0,479.0,290.0,34.0,21.0,7.0,326.0,22.0,8.0,0.0,13.0,23.0,5.0,0.0,0.0,0.0,30.0,2.0,6.0,25.0
Claud Adjapong,it ITA,DF,Ascoli,25,1998,15.0,9.0,748.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.02,0.02,8.3,3.0,0.0,50.0,0.36,0.0,0.0,0.03,-0.2,-0.2,200.0,305.0,65.6,3694.0,1401.0,76.0,97.0,78.4,99.0,141.0,70.2,20.0,51.0,39.2,4.0,19.0,5.0,4.0,15.0,235.0,70.0,7.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,63.0,0.0,6.0,14.0,1.68,8.0,2.0,0.0,3.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,15.0,6.0,12.0,3.0,0.0,10.0,5.0,5.0,2.0,19.0,0.0,385.0,27.0,108.0,186.0,93.0,8.0,385.0,156.0,4.0,8.0,0.0,167.0,11.0,5.0,0.0,8.0,6.0,2.0,0.0,1.0,0.0,34.0,6.0,7.0,46.2
Davide Adorni,it ITA,DF,Brescia,30,1992,24.0,22.0,1938.0,1.0,0.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,1.1,1.1,0.05,0.05,21.5,3.0,0.0,21.4,0.14,0.07,0.33,0.08,-0.1,-0.1,859.0,1027.0,83.6,18264.0,7248.0,234.0,270.0,86.7,490.0,540.0,90.7,128.0,191.0,67.0,5.0,50.0,2.0,0.0,57.0,983.0,43.0,34.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,18.0,0.84,13.0,0.0,2.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,30.0,21.0,18.0,11.0,1.0,22.0,14.0,8.0,24.0,75.0,0.0,1211.0,159.0,611.0,564.0,44.0,25.0,1211.0,673.0,6.0,6.0,1.0,779.0,10.0,1.0,0.0,29.0,9.0,0.0,0.0,0.0,0.0,69.0,53.0,35.0,60.2
Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20,2003,7.0,1.0,233.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.25,0.25,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.11,-0.7,-0.7,71.0,90.0,78.9,993.0,104.0,49.0,58.0,84.5,17.0,23.0,73.9,4.0,5.0,80.0,4.0,0.0,1.0,1.0,4.0,85.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9.0,3.46,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,136.0,1.0,11.0,38.0,91.0,21.0,136.0,84.0,13.0,8.0,2.0,89.0,10.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,16.0,4.0,10.0,28.6
Vittorio Agostinelli,it ITA,FW,Calcio Lecco 1912,21,2002,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,33.3,14.0,7.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,4.0,2.0,3.0,0.0,9.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Gabriele Alesi,it ITA,MF,Sampdoria,19,2004,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,10.0,4.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
