team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ascoli,38.0,45.4,38.0,418.0,3420.0,36.0,19.0,6.0,7.0,105.0,10.0,0.95,0.5,1.45,0.79,1.29,35.6,30.1,0.94,0.79,38.0,38.0,3416.0,42.0,1.11,131.0,90.0,72.5,9.0,14.0,15.0,13.0,34.2,9.0,6.0,1.0,2.0,38.0,1.0,5.0,2.0,43.1,0.28,3.1,0.08,268.0,635.0,42.2,866.0,93.0,53.8,44.0,269.0,62.8,44.4,578.0,44.0,7.6,27.0,0.71,11.7,131.0,15.0,30.1,3.45,0.07,0.23,0.07,0.4,-0.1,10274.0,14927.0,68.8,198624.0,84025.0,4168.0,5256.0,79.3,4295.0,5642.0,76.1,1524.0,3117.0,48.9,297.0,993.0,236.0,103.0,1164.0,12798.0,2066.0,645.0,14.0,99.0,809.0,173.0,51.0,102.0,1.0,899.0,63.0,333.0,738.0,19.42,482.0,103.0,53.0,62.0,57.0,1.5,32.0,7.0,8.0,9.0,0.0,575.0,361.0,265.0,233.0,77.0,409.0,125.0,284.0,320.0,787.0,9.0,19075.0,2009.0,5894.0,8480.0,4913.0,683.0,19068.0,8763.0,488.0,333.0,98.0,10146.0,623.0,292.0,3.0,651.0,581.0,63.0,4.0,9.0,2.0,1784.0,832.0,797.0,51.1
Bari,32.0,50.2,38.0,418.0,3420.0,38.0,25.0,4.0,6.0,105.0,4.0,1.0,0.66,1.66,0.89,1.55,38.5,34.0,1.01,0.89,38.0,38.0,3420.0,49.0,1.29,141.0,94.0,68.1,8.0,17.0,13.0,7.0,18.4,5.0,4.0,0.0,1.0,38.0,3.0,5.0,2.0,40.4,0.26,-6.6,-0.17,106.0,337.0,31.5,595.0,175.0,29.9,29.7,297.0,53.5,40.2,576.0,28.0,4.9,22.0,0.58,10.2,122.0,17.0,25.2,3.21,0.07,0.28,0.07,-0.5,0.0,13275.0,17031.0,77.9,251462.0,88981.0,5189.0,5994.0,86.6,6149.0,7197.0,85.4,1669.0,2962.0,56.3,356.0,1048.0,277.0,107.0,1332.0,15060.0,1919.0,592.0,15.0,162.0,850.0,206.0,88.0,74.0,2.0,737.0,52.0,407.0,860.0,22.63,601.0,85.0,60.0,51.0,59.0,1.55,39.0,3.0,7.0,2.0,4.0,593.0,390.0,312.0,222.0,59.0,388.0,128.0,260.0,342.0,669.0,5.0,20988.0,2044.0,7059.0,9260.0,4903.0,716.0,20982.0,11680.0,604.0,417.0,137.0,13166.0,533.0,345.0,2.0,542.0,541.0,52.0,3.0,5.0,2.0,1672.0,509.0,525.0,49.2
Brescia,27.0,48.3,38.0,418.0,3420.0,41.0,25.0,3.0,3.0,95.0,2.0,1.08,0.66,1.74,1.0,1.66,40.7,38.3,1.07,1.01,38.0,38.0,3420.0,40.0,1.05,146.0,103.0,75.3,12.0,15.0,11.0,10.0,26.3,8.0,4.0,3.0,1.0,38.0,0.0,8.0,0.0,38.6,0.22,-1.4,-0.04,174.0,441.0,39.5,812.0,147.0,35.0,35.3,321.0,48.9,38.1,615.0,37.0,6.0,16.0,0.42,9.1,132.0,17.0,27.6,3.47,0.08,0.29,0.08,0.3,-0.3,12544.0,16551.0,75.8,231891.0,88714.0,5189.0,6157.0,84.3,5485.0,6611.0,83.0,1516.0,2820.0,53.8,350.0,1060.0,255.0,109.0,1251.0,14611.0,1884.0,570.0,19.0,138.0,701.0,155.0,49.0,68.0,0.0,761.0,56.0,353.0,837.0,22.03,589.0,87.0,60.0,50.0,65.0,1.71,45.0,4.0,7.0,5.0,1.0,585.0,361.0,294.0,233.0,58.0,479.0,158.0,321.0,330.0,838.0,7.0,20861.0,2346.0,6977.0,9302.0,4795.0,650.0,20858.0,11165.0,552.0,413.0,103.0,12448.0,594.0,255.0,2.0,567.0,518.0,56.0,3.0,8.0,0.0,1721.0,644.0,662.0,49.3
Calcio Lecco 1912,37.0,46.9,38.0,418.0,3420.0,34.0,26.0,3.0,6.0,101.0,4.0,0.89,0.68,1.58,0.82,1.5,45.5,40.9,1.2,1.08,38.0,38.0,3420.0,74.0,1.95,197.0,123.0,66.0,6.0,8.0,24.0,6.0,15.8,8.0,7.0,0.0,1.0,38.0,1.0,17.0,0.0,57.7,0.27,-16.3,-0.43,237.0,571.0,41.5,949.0,168.0,39.3,32.8,368.0,53.8,41.9,572.0,23.0,4.0,25.0,0.66,11.3,153.0,20.0,30.1,4.03,0.06,0.2,0.08,-11.5,-9.9,11849.0,16002.0,74.0,235079.0,92675.0,4473.0,5374.0,83.2,5363.0,6536.0,82.1,1811.0,3320.0,54.5,361.0,903.0,236.0,97.0,1139.0,13923.0,2029.0,546.0,9.0,132.0,810.0,188.0,69.0,74.0,1.0,816.0,50.0,325.0,855.0,22.5,535.0,125.0,84.0,51.0,52.0,1.37,31.0,5.0,9.0,3.0,0.0,598.0,368.0,301.0,234.0,63.0,383.0,123.0,260.0,343.0,793.0,11.0,20204.0,2487.0,7732.0,8265.0,4440.0,711.0,20198.0,9716.0,505.0,317.0,102.0,11720.0,601.0,295.0,2.0,551.0,470.0,50.0,2.0,8.0,0.0,1745.0,717.0,635.0,53.0
Catanzaro,27.0,57.3,38.0,418.0,3420.0,55.0,40.0,3.0,4.0,92.0,3.0,1.45,1.05,2.5,1.37,2.42,44.1,40.9,1.16,1.08,38.0,38.0,3420.0,50.0,1.32,172.0,122.0,75.0,17.0,9.0,12.0,10.0,26.3,8.0,7.0,1.0,0.0,38.0,0.0,6.0,1.0,56.4,0.29,7.4,0.19,169.0,474.0,35.7,1689.0,163.0,25.0,22.8,312.0,16.7,20.4,601.0,32.0,5.3,27.0,0.71,15.7,150.0,15.0,37.6,3.95,0.13,0.35,0.11,10.9,11.1,17440.0,20869.0,83.6,304386.0,101047.0,7684.0,8512.0,90.3,7922.0,8873.0,89.3,1495.0,2652.0,56.4,305.0,1062.0,233.0,66.0,1318.0,18959.0,1850.0,679.0,32.0,80.0,581.0,168.0,56.0,91.0,2.0,604.0,60.0,257.0,715.0,18.82,525.0,63.0,53.0,32.0,97.0,2.55,67.0,6.0,12.0,5.0,0.0,427.0,251.0,223.0,176.0,28.0,310.0,111.0,199.0,271.0,776.0,10.0,24508.0,3087.0,9384.0,10865.0,4431.0,642.0,24504.0,14467.0,642.0,462.0,130.0,17228.0,564.0,249.0,2.0,442.0,612.0,60.0,3.0,8.0,1.0,1597.0,411.0,482.0,46.0
Cittadella,28.0,47.0,38.0,418.0,3420.0,40.0,28.0,1.0,3.0,102.0,2.0,1.05,0.74,1.79,1.03,1.76,41.1,38.8,1.08,1.02,38.0,38.0,3420.0,47.0,1.24,159.0,113.0,73.6,11.0,13.0,14.0,11.0,28.9,5.0,5.0,0.0,0.0,38.0,1.0,5.0,1.0,43.0,0.24,-3.0,-0.08,206.0,472.0,43.6,788.0,149.0,40.9,31.2,265.0,56.6,43.6,512.0,32.0,6.3,27.0,0.71,12.0,139.0,15.0,29.0,3.66,0.08,0.28,0.08,-1.1,0.2,10895.0,15632.0,69.7,209913.0,89519.0,4266.0,5333.0,80.0,4675.0,6017.0,77.7,1596.0,3218.0,49.6,354.0,961.0,295.0,124.0,1331.0,13452.0,2128.0,578.0,14.0,116.0,908.0,191.0,61.0,108.0,0.0,1009.0,52.0,413.0,815.0,21.45,540.0,110.0,56.0,46.0,67.0,1.76,44.0,9.0,7.0,2.0,0.0,661.0,399.0,314.0,256.0,91.0,480.0,132.0,348.0,364.0,714.0,4.0,20094.0,1941.0,6093.0,8637.0,5605.0,824.0,20091.0,9713.0,541.0,359.0,131.0,10796.0,691.0,315.0,1.0,605.0,523.0,52.0,1.0,5.0,1.0,1962.0,750.0,744.0,50.2
Como,33.0,50.6,38.0,418.0,3420.0,58.0,39.0,4.0,5.0,83.0,5.0,1.53,1.03,2.55,1.42,2.45,50.3,46.5,1.32,1.22,38.0,38.0,3420.0,40.0,1.05,126.0,87.0,70.6,21.0,10.0,7.0,13.0,34.2,3.0,3.0,0.0,0.0,38.0,0.0,4.0,1.0,36.4,0.27,-2.6,-0.07,149.0,387.0,38.5,885.0,125.0,35.3,21.3,225.0,33.3,30.5,552.0,45.0,8.2,28.0,0.74,9.0,177.0,16.0,33.9,4.66,0.1,0.31,0.09,7.7,7.5,13640.0,17672.0,77.2,244629.0,95124.0,5945.0,6927.0,85.8,5958.0,7141.0,83.4,1392.0,2651.0,52.5,391.0,1087.0,312.0,104.0,1424.0,15737.0,1878.0,603.0,34.0,114.0,738.0,169.0,69.0,53.0,0.0,802.0,57.0,347.0,911.0,23.97,720.0,60.0,50.0,33.0,96.0,2.53,70.0,5.0,12.0,6.0,1.0,515.0,307.0,241.0,203.0,71.0,414.0,121.0,293.0,342.0,768.0,8.0,21743.0,2171.0,7041.0,9868.0,5069.0,753.0,21738.0,12072.0,569.0,426.0,133.0,13494.0,602.0,305.0,1.0,564.0,483.0,56.0,4.0,3.0,1.0,1818.0,584.0,576.0,50.3
Cosenza,30.0,49.3,38.0,418.0,3420.0,47.0,37.0,4.0,6.0,131.0,5.0,1.24,0.97,2.21,1.13,2.11,43.9,39.0,1.15,1.03,38.0,38.0,3420.0,42.0,1.11,155.0,112.0,74.8,11.0,14.0,13.0,11.0,28.9,5.0,3.0,2.0,0.0,38.0,2.0,5.0,1.0,45.0,0.26,4.0,0.1,213.0,600.0,35.5,1120.0,157.0,46.4,37.9,300.0,26.7,27.6,628.0,41.0,6.5,36.0,0.95,13.7,145.0,18.0,31.0,3.82,0.09,0.3,0.09,3.1,4.0,12557.0,16577.0,75.7,235217.0,87817.0,5154.0,5984.0,86.1,5534.0,6676.0,82.9,1568.0,3062.0,51.2,325.0,997.0,260.0,95.0,1257.0,14652.0,1868.0,544.0,25.0,121.0,807.0,180.0,63.0,87.0,0.0,766.0,57.0,350.0,801.0,21.08,556.0,83.0,64.0,54.0,83.0,2.18,55.0,8.0,8.0,7.0,2.0,543.0,348.0,250.0,236.0,57.0,412.0,147.0,265.0,311.0,951.0,5.0,20718.0,2395.0,7052.0,9167.0,4683.0,692.0,20712.0,10572.0,539.0,381.0,127.0,12419.0,565.0,266.0,2.0,518.0,486.0,57.0,4.0,5.0,1.0,1667.0,579.0,637.0,47.6
Cremonese,31.0,55.8,38.0,418.0,3420.0,49.0,29.0,5.0,5.0,97.0,8.0,1.29,0.76,2.05,1.16,1.92,55.6,51.7,1.46,1.36,38.0,38.0,3420.0,32.0,0.84,137.0,105.0,78.1,19.0,10.0,9.0,16.0,42.1,3.0,2.0,1.0,0.0,38.0,2.0,4.0,1.0,34.7,0.24,3.7,0.1,123.0,355.0,34.6,1013.0,223.0,28.2,30.5,226.0,30.5,31.8,507.0,47.0,9.3,20.0,0.53,9.7,177.0,22.0,28.2,4.66,0.07,0.25,0.08,-6.6,-7.7,15594.0,19368.0,80.5,285860.0,102871.0,6385.0,7276.0,87.8,7240.0,8427.0,85.9,1666.0,2768.0,60.2,477.0,1349.0,421.0,168.0,1868.0,17582.0,1722.0,513.0,26.0,114.0,920.0,214.0,76.0,51.0,1.0,699.0,64.0,324.0,1139.0,29.97,879.0,78.0,61.0,46.0,85.0,2.24,60.0,4.0,9.0,4.0,1.0,551.0,341.0,250.0,221.0,80.0,393.0,105.0,288.0,312.0,674.0,9.0,23448.0,2226.0,7149.0,10083.0,6441.0,993.0,23443.0,13213.0,841.0,538.0,194.0,15430.0,577.0,300.0,3.0,545.0,428.0,64.0,2.0,3.0,1.0,1838.0,638.0,580.0,52.4
FeralpiSalò,32.0,45.8,38.0,418.0,3420.0,43.0,29.0,4.0,4.0,82.0,4.0,1.13,0.76,1.89,1.03,1.79,39.7,36.8,1.04,0.97,38.0,38.0,3420.0,65.0,1.71,167.0,102.0,65.9,8.0,9.0,21.0,4.0,10.5,9.0,8.0,1.0,0.0,38.0,0.0,13.0,1.0,53.1,0.27,-10.9,-0.29,273.0,705.0,38.7,889.0,127.0,50.5,38.0,352.0,72.7,49.8,606.0,26.0,4.3,22.0,0.58,13.1,139.0,13.0,29.9,3.66,0.08,0.28,0.08,3.3,2.2,11704.0,15861.0,73.8,221618.0,89494.0,4833.0,5820.0,83.0,5223.0,6369.0,82.0,1442.0,2910.0,49.6,342.0,938.0,259.0,96.0,1242.0,13812.0,2001.0,563.0,17.0,100.0,709.0,176.0,38.0,106.0,0.0,807.0,48.0,341.0,821.0,21.61,547.0,96.0,70.0,51.0,77.0,2.03,50.0,6.0,11.0,6.0,0.0,530.0,333.0,292.0,191.0,47.0,430.0,147.0,283.0,364.0,782.0,5.0,20069.0,2231.0,6772.0,8840.0,4697.0,737.0,20065.0,9933.0,597.0,386.0,152.0,11605.0,591.0,317.0,2.0,481.0,499.0,48.0,2.0,9.0,1.0,1801.0,692.0,629.0,52.4
