team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Ascoli,38.0,54.6,38.0,418.0,3420.0,40.0,29.0,6.0,9.0,106.0,2.0,1.05,0.76,1.82,0.89,1.66,45.6,38.9,1.2,1.02,38.0,38.0,3420.0,38.0,1.0,138.0,101.0,76.8,15.0,14.0,9.0,13.0,34.2,7.0,6.0,1.0,0.0,38.0,1.0,6.0,2.0,37.5,0.23,1.5,0.04,223.0,594.0,37.5,1134.0,171.0,39.8,35.3,313.0,45.7,35.4,621.0,52.0,8.4,16.0,0.42,10.4,124.0,22.0,28.4,3.26,0.08,0.27,0.09,-5.6,-4.9,13474.0,17930.0,75.1,251472.0,96333.0,5563.0,6576.0,84.6,6069.0,7425.0,81.7,1579.0,3075.0,51.3,304.0,1039.0,273.0,95.0,1355.0,15888.0,1994.0,679.0,31.0,99.0,740.0,173.0,68.0,66.0,2.0,753.0,48.0,339.0,750.0,19.74,549.0,63.0,46.0,44.0,66.0,1.74,48.0,3.0,8.0,4.0,0.0,543.0,315.0,272.0,207.0,64.0,352.0,103.0,249.0,306.0,956.0,10.0,22211.0,2479.0,8182.0,9556.0,4718.0,691.0,22202.0,11478.0,575.0,393.0,115.0,13346.0,598.0,285.0,1.0,623.0,606.0,48.0,4.0,7.0,2.0,1772.0,797.0,832.0,48.9
vs Bari,32.0,49.8,38.0,418.0,3420.0,47.0,29.0,4.0,5.0,103.0,6.0,1.24,0.76,2.0,1.13,1.89,44.9,41.1,1.18,1.08,38.0,38.0,3420.0,38.0,1.0,128.0,88.0,73.4,13.0,17.0,8.0,11.0,28.9,6.0,4.0,2.0,0.0,38.0,0.0,5.0,0.0,36.4,0.24,-1.6,-0.04,204.0,476.0,42.9,872.0,125.0,38.5,35.3,287.0,48.8,39.0,642.0,31.0,4.8,32.0,0.84,12.8,137.0,26.0,29.0,3.61,0.09,0.31,0.09,2.1,1.9,13367.0,16875.0,79.2,244627.0,92937.0,5652.0,6464.0,87.4,5908.0,6930.0,85.3,1503.0,2657.0,56.6,354.0,1114.0,274.0,100.0,1436.0,15023.0,1813.0,561.0,30.0,103.0,715.0,167.0,69.0,68.0,1.0,722.0,39.0,307.0,822.0,21.63,587.0,74.0,50.0,52.0,82.0,2.16,54.0,6.0,10.0,9.0,0.0,628.0,379.0,325.0,221.0,82.0,449.0,145.0,304.0,329.0,809.0,2.0,21211.0,2190.0,6663.0,9699.0,5048.0,725.0,21206.0,11349.0,600.0,420.0,126.0,13261.0,643.0,312.0,5.0,576.0,506.0,39.0,4.0,6.0,0.0,1697.0,525.0,509.0,50.8
vs Brescia,27.0,51.7,38.0,418.0,3420.0,40.0,27.0,4.0,8.0,96.0,4.0,1.05,0.71,1.76,0.95,1.66,42.3,36.0,1.11,0.95,38.0,38.0,3420.0,44.0,1.16,135.0,94.0,69.6,11.0,15.0,12.0,13.0,34.2,3.0,3.0,0.0,0.0,38.0,2.0,3.0,3.0,38.7,0.27,-2.3,-0.06,174.0,474.0,36.7,903.0,142.0,36.4,34.9,277.0,52.3,40.0,572.0,38.0,6.6,20.0,0.53,12.2,139.0,23.0,27.3,3.66,0.07,0.26,0.07,-2.3,0.0,13729.0,17842.0,76.9,250132.0,97382.0,5907.0,7017.0,84.2,5923.0,7040.0,84.1,1576.0,2815.0,56.0,371.0,1129.0,314.0,108.0,1473.0,15828.0,1967.0,591.0,23.0,132.0,828.0,205.0,66.0,88.0,0.0,812.0,47.0,402.0,906.0,23.84,639.0,91.0,66.0,56.0,69.0,1.82,54.0,5.0,6.0,2.0,0.0,512.0,323.0,243.0,204.0,65.0,442.0,139.0,303.0,299.0,684.0,6.0,21914.0,2085.0,6830.0,9820.0,5480.0,843.0,21906.0,11451.0,620.0,437.0,147.0,13604.0,599.0,305.0,1.0,544.0,524.0,47.0,5.0,3.0,3.0,1757.0,662.0,644.0,50.7
vs Calcio Lecco 1912,37.0,53.1,38.0,418.0,3420.0,74.0,48.0,7.0,8.0,103.0,2.0,1.95,1.26,3.21,1.76,3.03,57.2,50.9,1.5,1.34,38.0,38.0,3420.0,35.0,0.92,157.0,122.0,79.6,24.0,8.0,6.0,15.0,39.5,6.0,3.0,1.0,2.0,38.0,0.0,7.0,1.0,48.8,0.29,14.8,0.39,165.0,454.0,36.3,852.0,149.0,38.6,34.9,300.0,41.7,34.6,643.0,38.0,5.9,37.0,0.97,13.0,190.0,19.0,33.6,5.0,0.12,0.35,0.09,16.8,16.1,14127.0,18229.0,77.5,259367.0,97838.0,5920.0,6866.0,86.2,6424.0,7614.0,84.4,1511.0,2893.0,52.2,414.0,1226.0,328.0,102.0,1552.0,16203.0,1954.0,571.0,23.0,112.0,741.0,171.0,56.0,68.0,2.0,840.0,72.0,309.0,987.0,25.97,728.0,81.0,66.0,60.0,123.0,3.24,81.0,15.0,9.0,7.0,2.0,543.0,340.0,257.0,225.0,61.0,388.0,121.0,267.0,304.0,808.0,12.0,22450.0,2146.0,6952.0,10040.0,5657.0,828.0,22442.0,11659.0,593.0,398.0,148.0,13993.0,648.0,339.0,1.0,505.0,520.0,72.0,5.0,6.0,1.0,1778.0,635.0,717.0,47.0
vs Catanzaro,27.0,42.7,38.0,418.0,3420.0,49.0,31.0,7.0,8.0,97.0,4.0,1.29,0.82,2.11,1.11,1.92,52.2,46.2,1.37,1.22,38.0,38.0,3420.0,59.0,1.55,154.0,98.0,63.6,12.0,9.0,17.0,9.0,23.7,4.0,3.0,1.0,0.0,38.0,1.0,8.0,4.0,49.2,0.3,-5.8,-0.15,208.0,567.0,36.7,959.0,115.0,45.0,37.1,243.0,55.6,41.2,467.0,32.0,6.9,38.0,1.0,15.7,164.0,17.0,34.2,4.32,0.09,0.26,0.1,-3.2,-4.2,11979.0,15597.0,76.8,219384.0,81376.0,5197.0,5991.0,86.7,5113.0,6120.0,83.5,1400.0,2737.0,51.2,343.0,1027.0,305.0,107.0,1284.0,13848.0,1692.0,475.0,25.0,104.0,780.0,180.0,50.0,92.0,0.0,699.0,57.0,258.0,831.0,21.87,590.0,91.0,55.0,46.0,80.0,2.11,55.0,8.0,9.0,8.0,0.0,468.0,299.0,200.0,199.0,69.0,322.0,97.0,225.0,368.0,585.0,7.0,19118.0,1942.0,5718.0,8699.0,4906.0,772.0,19110.0,9919.0,547.0,384.0,132.0,11864.0,469.0,214.0,2.0,645.0,417.0,57.0,6.0,4.0,4.0,1647.0,482.0,411.0,54.0
vs Cittadella,28.0,53.0,38.0,418.0,3420.0,46.0,33.0,5.0,5.0,79.0,1.0,1.21,0.87,2.08,1.08,1.95,43.5,39.8,1.15,1.05,38.0,38.0,3420.0,40.0,1.05,140.0,100.0,72.1,14.0,13.0,11.0,11.0,28.9,3.0,1.0,0.0,2.0,38.0,1.0,8.0,0.0,41.2,0.29,1.2,0.03,249.0,626.0,39.8,1117.0,168.0,39.2,36.2,326.0,57.7,41.4,722.0,44.0,6.1,30.0,0.79,12.7,154.0,12.0,32.2,4.05,0.09,0.27,0.09,2.5,1.2,13078.0,17727.0,73.8,245343.0,98254.0,5610.0,6778.0,82.8,5413.0,6716.0,80.6,1762.0,3268.0,53.9,357.0,983.0,281.0,98.0,1216.0,15589.0,2095.0,637.0,33.0,161.0,641.0,147.0,56.0,59.0,0.0,908.0,43.0,398.0,850.0,22.37,609.0,78.0,49.0,44.0,81.0,2.13,53.0,4.0,7.0,8.0,0.0,625.0,396.0,378.0,192.0,55.0,462.0,130.0,332.0,369.0,919.0,10.0,22378.0,2643.0,8412.0,9377.0,4808.0,695.0,22373.0,11434.0,530.0,450.0,120.0,12946.0,649.0,322.0,1.0,557.0,554.0,43.0,4.0,3.0,0.0,1952.0,744.0,750.0,49.8
vs Como,33.0,49.4,38.0,418.0,3420.0,39.0,31.0,3.0,3.0,89.0,3.0,1.03,0.82,1.84,0.95,1.76,37.7,35.4,0.99,0.93,38.0,38.0,3420.0,58.0,1.53,182.0,123.0,70.3,7.0,10.0,21.0,6.0,15.8,5.0,4.0,1.0,0.0,38.0,1.0,12.0,0.0,56.3,0.29,-1.7,-0.05,164.0,513.0,32.0,1077.0,189.0,35.1,33.9,295.0,45.8,37.5,566.0,38.0,6.7,25.0,0.66,12.0,123.0,19.0,30.3,3.24,0.09,0.29,0.09,1.3,0.6,13081.0,17259.0,75.8,247815.0,88291.0,5247.0,6138.0,85.5,5997.0,7155.0,83.8,1610.0,3124.0,51.5,279.0,956.0,231.0,76.0,1199.0,15160.0,1997.0,596.0,22.0,157.0,693.0,172.0,61.0,72.0,0.0,839.0,102.0,351.0,710.0,18.68,478.0,78.0,53.0,54.0,69.0,1.82,46.0,4.0,9.0,3.0,3.0,575.0,349.0,257.0,256.0,62.0,428.0,141.0,287.0,395.0,754.0,6.0,21257.0,2454.0,7738.0,9229.0,4490.0,669.0,21254.0,10824.0,515.0,303.0,123.0,12952.0,580.0,260.0,0.0,526.0,539.0,102.0,1.0,5.0,0.0,1736.0,576.0,584.0,49.7
vs Cosenza,30.0,50.7,38.0,418.0,3420.0,41.0,29.0,3.0,5.0,103.0,8.0,1.08,0.76,1.84,1.0,1.76,45.2,41.2,1.19,1.08,38.0,38.0,3420.0,47.0,1.24,151.0,102.0,71.5,13.0,14.0,11.0,11.0,28.9,6.0,4.0,2.0,0.0,38.0,2.0,5.0,0.0,43.0,0.25,-4.0,-0.11,226.0,528.0,42.8,970.0,170.0,39.5,35.3,289.0,50.2,37.7,637.0,49.0,7.7,23.0,0.61,12.0,150.0,25.0,28.7,3.95,0.07,0.25,0.08,-4.2,-3.2,13147.0,17280.0,76.1,243302.0,95152.0,5495.0,6470.0,84.9,5877.0,7047.0,83.4,1522.0,2945.0,51.7,374.0,1061.0,295.0,89.0,1372.0,15242.0,1996.0,538.0,22.0,101.0,817.0,213.0,71.0,92.0,0.0,872.0,42.0,341.0,928.0,24.42,624.0,104.0,74.0,59.0,72.0,1.89,48.0,5.0,8.0,6.0,1.0,481.0,293.0,246.0,179.0,56.0,410.0,120.0,290.0,290.0,770.0,3.0,21241.0,2263.0,7016.0,9194.0,5255.0,810.0,21236.0,10904.0,567.0,434.0,136.0,13017.0,578.0,301.0,5.0,524.0,482.0,42.0,2.0,6.0,0.0,1640.0,637.0,579.0,52.4
vs Cremonese,31.0,44.2,38.0,418.0,3420.0,31.0,19.0,2.0,3.0,83.0,4.0,0.82,0.5,1.32,0.76,1.26,35.6,33.3,0.94,0.88,38.0,38.0,3420.0,50.0,1.32,182.0,133.0,75.3,9.0,10.0,19.0,9.0,23.7,5.0,5.0,0.0,0.0,38.0,2.0,8.0,1.0,53.1,0.28,4.1,0.11,253.0,667.0,37.9,1133.0,159.0,41.5,36.6,376.0,52.4,38.4,710.0,54.0,7.6,18.0,0.47,10.7,134.0,13.0,34.2,3.53,0.07,0.22,0.09,-4.6,-4.3,11559.0,15380.0,75.2,213249.0,88677.0,4998.0,5772.0,86.6,4914.0,5955.0,82.5,1376.0,2772.0,49.6,300.0,861.0,252.0,79.0,1063.0,13313.0,1983.0,594.0,36.0,71.0,643.0,169.0,63.0,74.0,0.0,757.0,84.0,335.0,678.0,17.84,492.0,76.0,34.0,36.0,49.0,1.29,34.0,4.0,5.0,4.0,1.0,574.0,355.0,295.0,194.0,85.0,421.0,174.0,247.0,349.0,893.0,10.0,19542.0,2778.0,7631.0,7826.0,4319.0,679.0,19539.0,9731.0,509.0,341.0,131.0,11416.0,590.0,278.0,1.0,458.0,523.0,84.0,2.0,5.0,1.0,1685.0,580.0,638.0,47.6
vs FeralpiSalò,32.0,54.2,38.0,418.0,3420.0,64.0,46.0,8.0,9.0,99.0,2.0,1.68,1.21,2.89,1.47,2.68,53.3,46.4,1.4,1.22,38.0,38.0,3420.0,44.0,1.16,143.0,100.0,72.0,21.0,9.0,8.0,12.0,31.6,4.0,4.0,0.0,0.0,38.0,0.0,3.0,1.0,39.5,0.25,-3.5,-0.09,174.0,459.0,37.9,881.0,147.0,37.5,34.8,295.0,43.7,37.0,565.0,37.0,6.5,27.0,0.71,12.8,158.0,16.0,30.0,4.16,0.11,0.35,0.09,10.7,9.6,14680.0,18898.0,77.7,269179.0,99900.0,5913.0,6920.0,85.4,6948.0,8114.0,85.6,1511.0,2908.0,52.0,397.0,1303.0,331.0,92.0,1659.0,17099.0,1748.0,500.0,25.0,82.0,811.0,197.0,55.0,90.0,3.0,676.0,51.0,366.0,930.0,24.47,692.0,78.0,65.0,42.0,103.0,2.71,71.0,10.0,12.0,5.0,1.0,664.0,425.0,311.0,257.0,96.0,422.0,137.0,285.0,324.0,733.0,8.0,23014.0,2104.0,6812.0,10936.0,5504.0,866.0,23005.0,12602.0,709.0,486.0,166.0,14482.0,594.0,291.0,0.0,530.0,453.0,51.0,4.0,4.0,1.0,1908.0,629.0,692.0,47.6
